field_id,field_name,available_papers,subfields,sample_share_pct,openalex_count_all_2000_2024,openalex_all_share_pct,openalex_count_proxy_2000_2024,openalex_proxy_share_pct,min_available_per_year,min_available_per_5year_period
27,Medicine,403376,42,16.962569,28569642,14.712625,12816890,17.883767,15588,78327
33,Social Sciences,207257,22,8.715469,29531219,15.207813,7321161,10.215422,7636,39139
22,Engineering,157673,16,6.630387,36330714,18.709376,11648111,16.252937,6116,31001
13,"Biochemistry, Genetics and Molecular Biology",135852,14,5.712781,8848246,4.556617,4128974,5.761274,5067,25752
12,Arts and Humanities,123705,13,5.201982,12107827,6.235217,2249151,3.138304,4791,24223
17,Computer Science,109980,11,4.624825,11723936,6.037523,6185568,8.630897,4386,21980
23,Environmental Science,109936,11,4.622975,8412104,4.332016,3272920,4.566797,4358,21936
11,Agricultural and Biological Sciences,104207,11,4.382061,7945726,4.091843,3222173,4.495989,4024,20220
36,Health Professions,99687,11,4.191989,4623573,2.381020,1445182,2.016503,3719,19176
26,Mathematics,88331,10,3.714452,2305329,1.187185,1226518,1.711395,2890,15107
14,"Business, Management and Accounting",79204,9,3.330648,5915334,3.046244,2106768,2.939633,2709,14300
25,Materials Science,78777,8,3.312692,5589025,2.878203,2317169,3.233211,2913,15054
28,Neuroscience,78137,8,3.285779,2377852,1.224532,1138997,1.589275,2894,14701
19,Earth and Planetary Sciences,77009,8,3.238345,3247565,1.672412,1337490,1.866237,2886,14545
31,Physics and Astronomy,76364,8,3.211221,5002775,2.576299,2846105,3.971250,2866,14471
32,Psychology,63317,7,2.662575,5082869,2.617546,1866039,2.603737,2310,11885
16,Chemistry,60000,6,2.523090,3154800,1.624640,1490298,2.079455,2400,12000
15,Chemical Engineering,50059,6,2.105056,480317,0.247351,218377,0.304708,1807,9351
24,Immunology and Microbiology,48771,5,2.050894,1483729,0.764082,725867,1.012823,1743,8993
18,Decision Sciences,39291,4,1.652246,1836838,0.945924,735418,1.026149,1431,7342
35,Dentistry,36586,4,1.538496,633261,0.326113,318196,0.443988,1259,6459
21,Energy,36253,5,1.524493,1096800,0.564824,469250,0.654758,766,4796
29,Nursing,33850,4,1.423444,757714,0.390203,335043,0.467495,797,4487
30,"Pharmacology, Toxicology and Pharmaceutics",30841,4,1.296911,604320,0.311209,294558,0.411005,1144,5885
20,"Economics, Econometrics and Finance",30000,3,1.261545,6273051,3.230459,1846402,2.576337,1200,6000
34,Veterinary,19573,2,0.823074,249962,0.128724,105106,0.146657,658,3588
