period_start,field_a,field_b,median_rank,rank_min,rank_max,rank_iqr
2000,11,12,250.5,146.0,283.0,66.5
2000,11,13,47.5,36.0,59.0,11.5
2000,11,14,216.5,152.0,281.0,53.25
2000,11,15,112.0,90.0,172.0,27.0
2000,11,16,135.5,80.0,210.0,76.25
2000,11,17,228.0,212.0,254.0,14.0
2000,11,18,159.0,115.0,216.0,27.5
2000,11,19,91.5,80.0,143.0,19.75
2000,11,20,172.5,153.0,274.0,48.75
2000,11,21,76.0,61.0,96.0,12.25
2000,11,22,148.5,140.0,190.0,17.75
2000,11,23,14.0,6.0,23.0,6.5
2000,11,24,94.0,62.0,220.0,19.75
2000,11,25,141.5,123.0,207.0,34.0
2000,11,26,279.0,209.0,316.0,63.5
2000,11,27,72.0,59.0,160.0,24.25
2000,11,28,109.5,78.0,201.0,59.0
2000,11,29,27.0,7.0,49.0,12.25
2000,11,30,49.0,32.0,132.0,13.5
2000,11,31,253.0,192.0,310.0,32.75
2000,11,32,162.5,128.0,256.0,47.75
2000,11,33,199.0,143.0,254.0,35.75
2000,11,34,32.5,22.0,68.0,16.75
2000,11,35,118.0,51.0,305.0,112.5
2000,11,36,146.0,107.0,257.0,50.25
2000,12,13,280.5,157.0,317.0,64.5
2000,12,14,86.5,67.0,133.0,27.25
2000,12,15,288.0,270.0,310.0,20.0
2000,12,16,300.5,253.0,324.0,40.0
2000,12,17,184.5,91.0,253.0,55.5
2000,12,18,96.5,60.0,153.0,44.5
2000,12,19,204.0,147.0,252.0,48.25
2000,12,20,90.0,64.0,113.0,26.5
2000,12,21,233.5,178.0,256.0,18.25
2000,12,22,239.5,196.0,319.0,19.5
2000,12,23,178.5,122.0,230.0,54.5
2000,12,24,310.0,247.0,325.0,11.0
2000,12,25,300.0,245.0,314.0,15.0
2000,12,26,212.0,119.0,310.0,146.75
2000,12,27,240.0,186.0,315.0,85.0
2000,12,28,220.0,131.0,307.0,101.5
2000,12,29,218.5,172.0,303.0,70.5
2000,12,30,260.5,203.0,305.0,32.25
2000,12,31,278.0,234.0,311.0,31.25
2000,12,32,61.0,16.0,144.0,64.0
2000,12,33,4.5,1.0,23.0,10.75
2000,12,34,275.5,169.0,318.0,69.75
2000,12,35,310.0,185.0,321.0,88.25
2000,12,36,85.0,60.0,146.0,53.25
2000,13,14,284.0,210.0,313.0,16.0
2000,13,15,116.0,75.0,169.0,17.25
2000,13,16,63.0,42.0,176.0,51.5
2000,13,17,245.0,63.0,285.0,79.0
2000,13,18,204.5,99.0,291.0,83.0
2000,13,19,172.5,120.0,232.0,39.25
2000,13,20,259.5,219.0,308.0,39.25
2000,13,21,130.0,84.0,156.0,18.5
2000,13,22,182.0,82.0,263.0,61.0
2000,13,23,79.5,58.0,116.0,16.5
2000,13,24,4.0,1.0,29.0,2.0
2000,13,25,123.0,94.0,173.0,24.5
2000,13,26,269.5,88.0,321.0,99.25
2000,13,27,10.5,3.0,35.0,8.25
2000,13,28,28.5,10.0,43.0,18.0
2000,13,29,20.0,8.0,26.0,6.5
2000,13,30,12.5,8.0,24.0,8.5
2000,13,31,217.5,87.0,270.0,66.75
2000,13,32,181.0,111.0,277.0,69.5
2000,13,33,266.5,192.0,323.0,47.0
2000,13,34,44.0,34.0,57.0,5.75
2000,13,35,98.0,79.0,257.0,90.25
