field_a,field_b,median_rank_change,models_closer_in_rank,models_farther_in_rank,minimum_change,maximum_change
11,12,-2.0,5,5,-13.0,24.0
11,13,13.0,1,9,-1.0,22.0
11,14,-59.5,10,0,-93.0,-29.0
11,15,27.5,0,10,19.0,50.0
11,16,15.0,2,8,-24.0,23.0
11,17,-33.5,10,0,-54.0,-2.0
11,18,-21.5,9,1,-38.0,23.0
11,19,17.5,0,10,7.0,35.0
11,20,-34.0,10,0,-48.0,-18.0
11,21,49.0,0,10,29.0,69.0
11,22,-23.5,9,0,-29.0,0.0
11,23,4.0,1,8,-1.0,8.0
11,24,-12.5,6,4,-51.0,5.0
11,25,7.0,3,7,-10.0,36.0
11,26,-20.0,9,1,-68.0,2.0
11,27,18.0,1,9,-4.0,27.0
11,28,38.5,0,10,15.0,93.0
11,29,-7.0,8,2,-15.0,1.0
11,30,-8.5,8,2,-22.0,4.0
11,31,26.0,1,9,-8.0,48.0
11,32,-5.5,7,3,-9.0,25.0
11,33,-36.5,10,0,-70.0,-15.0
11,34,9.5,0,10,4.0,14.0
11,35,-1.5,5,5,-22.0,27.0
11,36,-35.5,10,0,-66.0,-28.0
12,13,11.5,0,10,1.0,41.0
12,14,9.5,2,8,-8.0,60.0
12,15,22.5,0,10,12.0,39.0
12,16,16.5,0,10,1.0,29.0
12,17,-23.5,8,2,-56.0,6.0
12,18,10.0,3,7,-18.0,54.0
12,19,15.0,1,9,-3.0,48.0
12,20,11.0,4,6,-9.0,44.0
12,21,67.0,0,10,51.0,84.0
12,22,7.5,1,9,-14.0,59.0
12,23,-6.5,7,3,-39.0,39.0
12,24,-1.0,5,5,-32.0,14.0
12,25,15.0,0,10,1.0,24.0
12,26,-8.5,8,2,-30.0,24.0
12,27,2.5,4,5,-14.0,21.0
12,28,-8.0,8,2,-28.0,30.0
12,29,13.5,3,7,-22.0,35.0
12,30,20.0,0,10,7.0,37.0
12,31,9.5,3,7,-9.0,26.0
12,32,13.5,0,10,5.0,62.0
12,33,2.0,0,9,0.0,6.0
12,34,3.5,3,6,-23.0,21.0
12,35,0.5,4,5,-18.0,15.0
12,36,10.5,4,6,-15.0,68.0
13,14,-18.0,8,2,-58.0,11.0
13,15,27.0,0,10,11.0,46.0
13,16,14.0,0,10,4.0,32.0
13,17,-47.5,9,1,-73.0,11.0
13,18,-30.0,7,3,-42.0,25.0
13,19,6.0,1,9,-11.0,40.0
13,20,-16.0,10,0,-34.0,-2.0
13,21,48.0,1,9,-6.0,80.0
13,22,-21.0,8,2,-69.0,7.0
13,23,4.0,3,7,-13.0,31.0
13,24,-1.0,6,2,-17.0,4.0
13,25,-5.0,7,3,-28.0,19.0
13,26,-8.5,9,1,-51.0,2.0
13,27,4.0,0,10,1.0,12.0
13,28,8.5,1,9,-2.0,25.0
13,29,15.5,0,10,11.0,22.0
13,30,5.5,0,10,1.0,10.0
13,31,20.5,2,8,-17.0,29.0
13,32,-18.0,9,1,-42.0,18.0
13,33,-10.0,6,3,-45.0,20.0
13,34,12.5,0,10,3.0,24.0
13,35,7.0,4,6,-29.0,29.0
13,36,-39.5,10,0,-90.0,-11.0
14,15,27.5,1,8,-5.0,60.0
14,16,-0.5,5,4,-7.0,16.0
14,17,-2.0,6,2,-41.0,12.0
14,18,-0.5,5,2,-11.0,2.0
14,19,-0.5,5,4,-36.0,46.0
14,20,-1.5,6,2,-7.0,2.0
14,21,78.0,0,10,36.0,134.0
14,22,4.5,4,6,-42.0,37.0
14,23,-39.0,10,0,-82.0,-14.0
14,24,-27.5,10,0,-39.0,-4.0
14,25,10.5,2,8,-13.0,24.0
14,26,-27.5,10,0,-65.0,-16.0
14,27,-33.5,9,1,-60.0,2.0
14,28,-46.5,10,0,-103.0,-8.0
14,29,-50.5,10,0,-97.0,-26.0
14,30,-8.0,7,3,-48.0,33.0
14,31,5.5,2,8,-16.0,25.0
14,32,-9.5,8,1,-26.0,6.0
14,33,-10.5,10,0,-14.0,-1.0
14,34,-29.5,9,1,-46.0,2.0
14,35,-27.0,9,0,-44.0,0.0
14,36,-11.0,8,2,-25.0,5.0
15,16,-4.0,8,0,-23.0,0.0
15,17,42.5,0,10,18.0,81.0
15,18,54.5,0,10,41.0,96.0
15,19,44.0,0,10,31.0,54.0
15,20,29.5,1,9,-19.0,49.0
15,21,-10.0,10,0,-17.0,-2.0
15,22,9.5,0,10,2.0,31.0
15,23,32.0,0,10,4.0,40.0
15,24,3.5,3,6,-20.0,77.0
15,25,3.0,0,10,1.0,8.0
15,26,21.0,0,9,0.0,98.0
15,27,60.5,0,10,38.0,101.0
15,28,44.0,0,10,8.0,59.0
15,29,54.5,0,10,46.0,80.0
15,30,14.0,0,10,9.0,29.0
15,31,40.5,0,10,16.0,66.0
15,32,42.0,1,9,-1.0,63.0
15,33,13.5,2,8,-17.0,37.0
15,34,58.5,0,10,35.0,127.0
15,35,53.5,0,10,2.0,95.0
15,36,19.5,3,7,-27.0,50.0
16,17,3.0,3,7,-7.0,21.0
16,18,17.5,0,8,0.0,44.0
16,19,30.0,0,10,12.0,73.0
16,20,7.0,2,8,-3.0,15.0
16,21,-27.5,10,0,-41.0,-1.0
16,22,-11.5,8,1,-43.0,6.0
16,23,20.0,1,9,-19.0,32.0
16,24,-6.5,6,4,-38.0,32.0
16,25,-4.5,9,1,-8.0,1.0
16,26,8.0,3,7,-3.0,68.0
16,27,37.0,0,10,13.0,68.0
16,28,39.0,0,10,4.0,65.0
16,29,34.5,0,10,31.0,70.0
16,30,1.0,3,6,-6.0,8.0
16,31,37.5,0,10,28.0,67.0
16,32,15.5,1,9,-1.0,38.0
16,33,0.5,3,5,-3.0,18.0
16,34,35.5,0,10,19.0,78.0
16,35,17.0,1,9,-5.0,65.0
16,36,-3.5,6,4,-22.0,18.0
17,18,-6.0,8,0,-14.0,0.0
17,19,-5.0,7,3,-20.0,14.0
17,20,-37.5,10,0,-50.0,-4.0
17,21,52.5,0,10,16.0,121.0
17,22,2.5,3,6,-5.0,17.0
17,23,-37.5,10,0,-59.0,-21.0
17,24,-32.0,10,0,-82.0,-20.0
17,25,5.0,5,5,-30.0,70.0
17,26,-7.0,7,3,-19.0,16.0
17,27,-34.0,10,0,-111.0,-18.0
17,28,-108.5,10,0,-133.0,-20.0
17,29,-17.0,10,0,-73.0,-5.0
17,30,-27.0,9,1,-39.0,5.0
17,31,0.5,5,5,-23.0,15.0
17,32,-37.0,10,0,-93.0,-10.0
17,33,-55.0,10,0,-109.0,-39.0
17,34,-32.0,10,0,-47.0,-5.0
17,35,-13.5,10,0,-45.0,-2.0
17,36,-73.0,10,0,-130.0,-22.0
18,19,13.0,1,9,-6.0,35.0
18,20,-11.0,10,0,-20.0,-5.0
18,21,68.5,0,10,54.0,129.0
