field_id,cka_biased,cka_debiased,model,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
11,0.9923925861428511,0.9922818394372525,specter/cls,native,common,2000,7.687184703724228,0.991013143497661
11,0.9869748423962517,0.9865782717887909,specter2/cls,native,common,2000,9.802316323403403,0.985401016538817
11,0.9915738803818389,0.9914352657451962,scincl/cls,native,common,2000,7.868007629574405,0.9905860540375182
11,0.9182368227057994,0.9164521672758223,scibert/mean,native,common,2000,17.531130934205176,0.9535534253027645
11,0.9612986543898533,0.9606647540821296,bert/mean,native,common,2000,15.1979348376147,0.9650259441615876
11,0.9921408514024188,0.9919075422714213,mpnet/mean,native,common,2000,7.511034036178627,0.991419706220852
11,0.9997843108060872,0.9997765949921982,minilm/mean,native,common,2000,1.2444559455524689,0.9997641332515705
11,0.9213724642798606,0.9209587299425404,pubmedbert/mean,native,common,2000,17.00310512554655,0.9562889095722408
11,0.9434099729084281,0.9420620409292914,biobert/mean,native,common,2000,15.79731306426641,0.9622307612917376
11,0.9562896925687484,0.9553332053260515,simcse/cls,native,common,2000,14.940998630686869,0.9661918377085419
12,0.989812117973067,0.9896374813945865,specter/cls,native,common,2000,7.439031854998067,0.9915831922936164
12,0.9893475185655477,0.9890226162383109,specter2/cls,native,common,2000,8.08823600684598,0.990052566747637
12,0.9869831917772853,0.9867475038458771,scincl/cls,native,common,2000,8.59479463190399,0.9887699623738364
12,0.9502613338304199,0.9494474166603131,scibert/mean,native,common,2000,14.49487421504163,0.9681700359557569
12,0.9691048857293854,0.9685809150150462,bert/mean,native,common,2000,12.452812452642592,0.9764739309173067
12,0.9907857463105292,0.9904135083975447,mpnet/mean,native,common,2000,7.0485040182523955,0.9924426269171123
12,0.9996585529792937,0.9996423804070962,minilm/mean,native,common,2000,1.427692644159467,0.9996895642622377
12,0.9597307755163628,0.9595406321797565,pubmedbert/mean,native,common,2000,13.5450855816329,0.9721859231185233
12,0.9451227805333325,0.9448705642014882,biobert/mean,native,common,2000,14.085876261747918,0.969932038314548
12,0.9722572288425223,0.9714829429539649,simcse/cls,native,common,2000,11.734799042563466,0.9790994655601113
13,0.9874707439382232,0.9871519718254937,specter/cls,native,common,2000,8.730942906943406,0.9884120534065777
13,0.982344803500926,0.9817001759989525,specter2/cls,native,common,2000,10.85815664208413,0.9820965480506105
13,0.9889378132912212,0.988675856342602,scincl/cls,native,common,2000,8.201170154667551,0.9897733177832829
13,0.9024182082603106,0.9001293010699972,scibert/mean,native,common,2000,18.66073435718504,0.9474297761086989
13,0.9608811118697861,0.9604998570259423,bert/mean,native,common,2000,16.478642124066912,0.9589255393026055
13,0.9878382646150597,0.9873842435267105,mpnet/mean,native,common,2000,8.521501746248648,0.9889603243565105
13,0.9996351587327619,0.9996204627528531,minilm/mean,native,common,2000,1.661584338043717,0.9995795260622317
13,0.9178261479482014,0.9163761521387105,pubmedbert/mean,native,common,2000,17.80895335077957,0.9520816115029104
13,0.9336608976643174,0.9324322244413804,biobert/mean,native,common,2000,17.018867778308913,0.9562084246915803
13,0.9517042886907064,0.9508413410669759,simcse/cls,native,common,2000,16.215313581734833,0.9602190847502577
14,0.9943932183368392,0.9942993621557881,specter/cls,native,common,2000,5.667598129903328,0.9951115780798707
14,0.9946604750672677,0.9945103455742977,specter2/cls,native,common,2000,6.058186212171266,0.9944152296114726
14,0.9948376090081826,0.994735828955794,scincl/cls,native,common,2000,5.616680231133811,0.9951989489904782
14,0.9662384311331657,0.9657393362958485,scibert/mean,native,common,2000,11.841060096081833,0.9787205886220806
14,0.9822320332084272,0.981963611904736,bert/mean,native,common,2000,9.931009581535458,0.9850161305341658
14,0.9962945896277053,0.996159146664475,mpnet/mean,native,common,2000,5.057044668263402,0.9961074306015493
14,0.9996823805813342,0.9996691157714164,minilm/mean,native,common,2000,1.582077382200295,0.9996188002659134
14,0.9691002945306696,0.9695829469793643,pubmedbert/mean,native,common,2000,11.770681379036544,0.9789719025544841
14,0.9654595667188178,0.9670380539592124,biobert/mean,native,common,2000,12.031522012485283,0.9780330674073563
14,0.9848092650720156,0.9844735666696492,simcse/cls,native,common,2000,8.785143155809836,0.9882680175804027
15,0.9947176211136067,0.994662441017454,specter/cls,native,common,2000,7.1688315383236105,0.9921827348254231
15,0.9914660119625944,0.9912867524580538,specter2/cls,native,common,2000,9.072227006450044,0.9874903547333853
15,0.9936700205995208,0.9936012667784172,scincl/cls,native,common,2000,7.648596142465095,0.9911030087990188
15,0.955942839554718,0.9551979540462675,scibert/mean,native,common,2000,14.36624708217965,0.9687294961525972
15,0.9797508005791868,0.9795982989331441,bert/mean,native,common,2000,12.625522876740503,0.9758194914118922
15,0.9949873600313166,0.9948997776384595,mpnet/mean,native,common,2000,7.009178021869389,0.9925266170591431
15,0.9999244210301886,0.99992260213184,minilm/mean,native,common,2000,0.9352833508947448,0.9998667701611018
15,0.9591836732736924,0.9593603099068871,pubmedbert/mean,native,common,2000,14.367690818824437,0.9687232437465664
15,0.9726511710634268,0.9723301404521569,biobert/mean,native,common,2000,12.909836791250035,0.9747228512644747
15,0.9751698488804611,0.9747980435930501,simcse/cls,native,common,2000,12.094204112091589,0.9778044362093669
16,0.9926306700202435,0.9925340177473303,specter/cls,native,common,2000,7.841015012784537,0.9906504350443212
16,0.9878179300739257,0.9874831676159506,specter2/cls,native,common,2000,9.686802990388323,0.9857422513141291
16,0.9901677726225321,0.9899787489950787,scincl/cls,native,common,2000,8.150372643248323,0.9898993991979006
16,0.9547632633634288,0.9542199666687166,scibert/mean,native,common,2000,15.310780096948184,0.9645077541500154
16,0.9760843157619676,0.9759553157127513,bert/mean,native,common,2000,13.480074752660954,0.9724510448308311
16,0.9910642990464464,0.9907998226501572,mpnet/mean,native,common,2000,7.703648686802752,0.9909746652510438
16,0.9997418976262675,0.9997328976478587,minilm/mean,native,common,2000,1.4065767933716207,0.9996986787060941
16,0.9478795548881378,0.9484781651117198,pubmedbert/mean,native,common,2000,16.07425865606777,0.9609036466779483
16,0.9686363735768625,0.9684190132614819,biobert/mean,native,common,2000,13.646057312905496,0.9717716671689351
16,0.9676641534195849,0.9672080770266935,simcse/cls,native,common,2000,13.516627346391969,0.9723021331559376
17,0.9967066254183361,0.9966271873509989,specter/cls,native,common,2000,4.4462690199972315,0.9969904729276918
17,0.9964997283118558,0.9964124909596911,specter2/cls,native,common,2000,5.120083953714301,0.9960098440012317
17,0.996832781361599,0.9967617305749609,scincl/cls,native,common,2000,4.367021604188795,0.9970967451257173
17,0.9820298941812551,0.9817404356459659,scibert/mean,native,common,2000,9.055364604058184,0.9875367177203994
17,0.9927762025784557,0.9926939279414494,bert/mean,native,common,2000,7.601961371422148,0.9912110122185398
17,0.9972902009693515,0.9971650640848382,mpnet/mean,native,common,2000,4.16930093945183,0.9973535750702807
17,0.9999477676992472,0.9999454661665059,minilm/mean,native,common,2000,0.6336577234051173,0.9999388453086928
17,0.9833069652768102,0.9833787423873511,pubmedbert/mean,native,common,2000,8.939992463872063,0.9878516372330275
17,0.9834242076355885,0.9836832158853606,biobert/mean,native,common,2000,9.181321860487627,0.9871883330922167
17,0.9926896723779548,0.9925451424419708,simcse/cls,native,common,2000,6.650430819179212,0.9932712149964436
18,0.9948023575064793,0.9946939203030488,specter/cls,native,common,2000,5.484251571062318,0.9954225051154005
18,0.9944136705869758,0.9942624773525207,specter2/cls,native,common,2000,6.2427922117347645,0.9940700257698794
18,0.9950786377818623,0.994982310613514,scincl/cls,native,common,2000,5.586556877746204,0.9952502681462773
18,0.9709169174095832,0.9703408216475092,scibert/mean,native,common,2000,11.036103683495048,0.9815067544533682
18,0.9872395700967951,0.9870856949926041,bert/mean,native,common,2000,9.544555159684739,0.9861569566705679
18,0.9961834292486187,0.9960444594849068,mpnet/mean,native,common,2000,5.133450843448562,0.9959889967389617
18,0.9997285183963153,0.9997173503487935,minilm/mean,native,common,2000,1.3567181085555806,0.9997196608899814
18,0.9734103186815438,0.9733645189233813,pubmedbert/mean,native,common,2000,10.896909791150252,0.9819689100021677
18,0.9762630538289833,0.9763254954061765,biobert/mean,native,common,2000,10.707274671242198,0.9825892150968295
18,0.9868728875047689,0.9866106353675371,simcse/cls,native,common,2000,8.631795881360084,0.9886732452368772
19,0.9922917010171152,0.9921989126500268,specter/cls,native,common,2000,7.574828769314928,0.9912735475860625
19,0.9865980867200466,0.9862269855167737,specter2/cls,native,common,2000,9.98214753834861,0.9848618112411002
19,0.9902112050292777,0.9900799874427412,scincl/cls,native,common,2000,8.455576147672526,0.9891301689908528
19,0.946118115940957,0.9452875901467622,scibert/mean,native,common,2000,16.2452810908,0.960072897988022
19,0.9698292160343612,0.969438396568689,bert/mean,native,common,2000,14.301687848553676,0.9690084547624058
19,0.9913600038521885,0.9911417505160364,mpnet/mean,native,common,2000,7.961068914715844,0.9903624048663016
19,0.9994853390016197,0.9994689392965244,minilm/mean,native,common,2000,1.8920215686348263,0.9994548231069637
19,0.9558604728583808,0.955279270201425,pubmedbert/mean,native,common,2000,15.195967273607165,0.9650349460977747
19,0.9571243907123426,0.9566356768196143,biobert/mean,native,common,2000,15.030400637645231,0.9657883632150753
19,0.9668607627094333,0.9662306901673611,simcse/cls,native,common,2000,13.660692078913534,0.9717113747828184
20,0.9943987793134342,0.9943145525190772,specter/cls,native,common,2000,6.027017344489115,0.9944724952828489
20,0.9938398961732516,0.9936546084618929,specter2/cls,native,common,2000,6.502661267616719,0.9935665965552841
20,0.9942087871033295,0.9941027353550752,scincl/cls,native,common,2000,6.195848777715741,0.9941587861859565
20,0.9673746495472803,0.966825250311587,scibert/mean,native,common,2000,11.833435199937028,0.9787478875433511
20,0.9843315787421052,0.9840680870173589,bert/mean,native,common,2000,9.89818053740199,0.9851147853720352
20,0.9951240799911202,0.9949421272960618,mpnet/mean,native,common,2000,5.562922829287436,0.9952903393152595
20,0.9999097128146841,0.9999059764007623,minilm/mean,native,common,2000,0.8339476309585565,0.9998940759370046
20,0.972180780132178,0.9720477766411346,pubmedbert/mean,native,common,2000,11.088109154387796,0.9813325977916758
20,0.9738036330943535,0.9731928856011078,biobert/mean,native,common,2000,10.581754626719798,0.9829938771171919
20,0.9844425288914526,0.9840781547847003,simcse/cls,native,common,2000,9.079846120024985,0.9874693780111206
21,0.9971979371076318,0.9971708626613242,specter/cls,native,common,2000,5.908945407923441,0.9946867563219968
21,0.9954576882533475,0.9953858590153306,specter2/cls,native,common,2000,7.550921370142742,0.9913284652585587
21,0.9967563960902278,0.9967260233676208,scincl/cls,native,common,2000,6.1455037935705965,0.9942532365868465
21,0.9796235174907507,0.9794139611595569,scibert/mean,native,common,2000,12.089657287492265,0.9778210599940047
21,0.9907240124224634,0.9906756051864907,bert/mean,native,common,2000,10.474324189730433,0.9833364735706923
21,0.997152400010109,0.9971025427109049,mpnet/mean,native,common,2000,5.958648042773665,0.994597077441402
21,0.9999339813455076,0.9999325609329054,minilm/mean,native,common,2000,0.9078866339803108,0.9998744609328173
21,0.9794295148777465,0.9799542969834318,pubmedbert/mean,native,common,2000,12.45236263480871,0.9764756237987591
21,0.9872502164736764,0.9872308048447168,biobert/mean,native,common,2000,10.942150670267283,0.9818193355251458
21,0.9864856565701846,0.986315226261859,simcse/cls,native,common,2000,10.339758696841995,0.9837607265979607
22,0.9957626143530808,0.9956694232466604,specter/cls,native,common,2000,5.035715538923966,0.9961401756907036
22,0.9947519432851355,0.994596823781255,specter2/cls,native,common,2000,6.132620802154178,0.9942772825507867
22,0.9962012699950841,0.996124496622613,scincl/cls,native,common,2000,4.935246068254437,0.9962925626055977
22,0.9769129715679494,0.9764917570606964,scibert/mean,native,common,2000,10.160199781730382,0.9843183815098803
22,0.9888768145917864,0.9887548665913027,bert/mean,native,common,2000,8.694043050852951,0.9885096078079628
22,0.9964701251587545,0.9963138948358258,mpnet/mean,native,common,2000,4.753477367251087,0.9965604749073855
22,0.9999078052126674,0.9999033349891397,minilm/mean,native,common,2000,0.771447406202357,0.9999093577192302
22,0.9762375137059754,0.977151444997954,pubmedbert/mean,native,common,2000,10.515111538287345,0.9832068094571271
22,0.9838045252630524,0.9842037082699544,biobert/mean,native,common,2000,9.41881126933483,0.9865184854860592
22,0.9882726603968953,0.9880425715280192,simcse/cls,native,common,2000,8.186621246933507,0.9898095082496989
23,0.9933377617584869,0.9932309955373997,specter/cls,native,common,2000,7.064413127580693,0.99240851634966
23,0.9896401357128012,0.9893430938681478,specter2/cls,native,common,2000,8.92090812444143,0.9879033437553068
23,0.9925201694836097,0.9923935049392624,scincl/cls,native,common,2000,7.350904035987517,0.9917811614724417
23,0.9458021890254258,0.9447382853361024,scibert/mean,native,common,2000,15.315341226182301,0.964486730578521
23,0.9723218882326431,0.9719203190981477,bert/mean,native,common,2000,13.55965861687866,0.9721263208446786
23,0.9934414346337098,0.9932384792244946,mpnet/mean,native,common,2000,6.941949758803467,0.9926691162909017
23,0.9995473956011582,0.9995307655319396,minilm/mean,native,common,2000,1.7655120292909645,0.9995252863304729
23,0.9531596416321159,0.9525095103918558,pubmedbert/mean,native,common,2000,14.367357151098622,0.968724688819675
23,0.9610044370887956,0.9606804474048181,biobert/mean,native,common,2000,14.158851560026216,0.9696212736896679
23,0.9673891400038069,0.9666990687067888,simcse/cls,native,common,2000,13.094908334007567,0.973996105104408
24,0.9884397600402356,0.9882551920802763,specter/cls,native,common,2000,9.520780575416447,0.9862256756414552
24,0.9839111748644327,0.9834624569642942,specter2/cls,native,common,2000,11.745568888768892,0.9790612186966494
24,0.9894223559599264,0.9892308719460359,scincl/cls,native,common,2000,8.978470490930945,0.9877470528076343
24,0.9074161179854237,0.9055796497921389,scibert/mean,native,common,2000,20.07305644265789,0.9392557555268488
24,0.9580197389522658,0.957658146826693,bert/mean,native,common,2000,18.252255823502157,0.9496867957221383
24,0.989516520457991,0.9892492140738388,mpnet/mean,native,common,2000,9.207752725219562,0.9871146224199271
24,0.9997723985213973,0.999766048509553,minilm/mean,native,common,2000,1.512191833596792,0.9996517322130642
24,0.9119618467255802,0.9102519206571075,pubmedbert/mean,native,common,2000,18.92986686882294,0.9459163801799546
24,0.9441818792195168,0.94265657680484,biobert/mean,native,common,2000,17.6107677133109,0.9531338259671872
24,0.9426063266971862,0.9417918889727164,simcse/cls,native,common,2000,18.238723830463403,0.949760740414751
25,0.9926052886562091,0.9924690748788365,specter/cls,native,common,2000,6.7926108353891195,0.9929807698465187
25,0.9911440727848736,0.9908826588032876,specter2/cls,native,common,2000,8.07132706268742,0.9900940459568432
25,0.9936205882184502,0.9935138240645945,scincl/cls,native,common,2000,6.616057929543548,0.9933405138713686
25,0.9502485658034608,0.9493608559124651,scibert/mean,native,common,2000,13.359032268506692,0.97294133432993
25,0.9754798693830341,0.9751534691376135,bert/mean,native,common,2000,11.932557959679375,0.9783916529199944
25,0.994117737179156,0.9939355567227415,mpnet/mean,native,common,2000,6.209734865607536,0.9941325999429994
25,0.9998418876896819,0.9998360513384875,minilm/mean,native,common,2000,1.0828871066530075,0.9998214013477107
25,0.9591411245384392,0.9593355535004602,pubmedbert/mean,native,common,2000,13.121584800728671,0.9738905127621574
25,0.9706087283996525,0.9702921565577164,biobert/mean,native,common,2000,11.881592478075719,0.9785751822050915
25,0.9729068582080969,0.9723932722951094,simcse/cls,native,common,2000,11.338856400094286,0.9804815478444436
26,0.9970313997949527,0.9969871713713133,specter/cls,native,common,2000,5.25134609027925,0.9958027775875868
