field_id,model_a,model_b,delta_common_native_n2000,median_delta_n1000,absolute_median_error,central95_width_delta_n1000,min_delta_n1000,max_delta_n1000
11,specter,specter2,-0.004061184006226348,-0.0037220545664570226,0.00033912943976932564,0.0021241268003002714,-0.005207776221799354,-0.0026653221603115673
11,specter,scincl,-0.00339976190075697,-0.0035117700867272617,0.0001120081859702915,0.0023070312318004067,-0.004496097280922595,-0.001768274512731982
11,specter,scibert,0.05174329824313939,0.052935914740091405,0.0011926164969520148,0.012365837370855587,0.044512037286501105,0.05733448874446134
11,specter,bert,0.01079669174505593,0.010822426750515313,2.57350054593819e-05,0.007000275120590444,0.006646052039323225,0.014282674495384784
11,specter,mpnet,-0.007545773906376785,-0.007375757797605076,0.00017001610877170892,0.0016033384460079677,-0.008477247828807988,-0.006820923984906191
11,specter,minilm,0.0012323300335125298,0.0013555696161354769,0.0001232395826229471,0.0024481091957592373,-0.0006121626271972103,0.0023319748329313494
11,specter,pubmedbert,0.031842464014221195,0.032778298216218416,0.000935834201997221,0.017986368922316857,0.020872461646597062,0.04181973831177793
11,specter,biobert,0.021287738431267855,0.023982050288887835,0.00269431185761998,0.017733877559557194,0.014793159011485701,0.03403212345469564
11,specter,simcse,-0.004183296731553154,-0.004224251226781522,4.0954495228368026e-05,0.005686347196429721,-0.006998992966619322,-0.00042247814916640536
11,specter2,scincl,-0.003669055419770917,-0.003512800292332252,0.00015625512743866476,0.0014251123109249942,-0.004183776824330021,-0.0026947356891013907
11,specter2,scibert,0.05262538722927468,0.054957067829298656,0.0023316806000239776,0.013051094100142678,0.044871812708509595,0.058313442503274304
11,specter2,bert,0.011764389107554396,0.01183018840827349,6.579930071909379e-05,0.007331810797692516,0.007264992586607566,0.015620128987296089
11,specter2,mpnet,-0.005155819657220007,-0.0047422138909866685,0.0004136057662333381,0.002785033195144872,-0.006340883312434986,-0.0030954634552093907
11,specter2,minilm,0.0006887690452107575,0.0007622804412757422,7.351139606498469e-05,0.001993903862099627,-0.00019005298686902705,0.0021313702964510517
11,specter2,pubmedbert,0.03272876027603144,0.03507150341584453,0.002342743139813086,0.015445174648341047,0.023137005690248236,0.040854763208010014
11,specter2,biobert,0.021633755340731198,0.024932556347768225,0.0032988010070370277,0.016165285730716274,0.014629966013859852,0.03252806564461219
