model_a,model_b,cell_mean_overlap,cell_median_overlap,cell_mean_adjusted,corpus_article_weighted_mean
specter,specter2,0.37471958661686194,0.37566943674976916,0.36888825244775575,0.36319535999999997
specter,scincl,0.46924772721429364,0.4728531855955679,0.4643062272476982,0.45651383999999995
specter,scibert,0.2402478437428975,0.254275161588181,0.23317988990714683,0.216628
specter,bert,0.20865461078769248,0.21094182825484764,0.2012886546857306,0.18514640000000002
specter,mpnet,0.43430224933454725,0.444134586139119,0.42902797321663644,0.4239714400000001
specter,minilm,0.4001471866574319,0.40333939373628036,0.39455197641013606,0.38895240000000003
specter,pubmedbert,0.2173012267676762,0.23845558375634518,0.21002092584892865,0.19385552000000003
specter,biobert,0.22679092716842889,0.24521902017291067,0.21960280755323427,0.20334968000000003
specter,simcse,0.2009595843900178,0.20436882985742474,0.19351940745641788,0.17822368000000002
specter2,scincl,0.426106519755526,0.4221856492462458,0.42074463353541397,0.41752328000000005
specter2,scibert,0.2336518748416467,0.23913580457952632,0.2265088185606264,0.21267984
specter2,bert,0.18621584244364284,0.19061587192737545,0.17862376702506674,0.16623664000000002
specter2,mpnet,0.42038461565481194,0.4193905817174516,0.4149745293062842,0.41042816
specter2,minilm,0.3785216111770858,0.37768236380424747,0.37271877100525264,0.36786904000000004
specter2,pubmedbert,0.20037766659045272,0.2090522995228054,0.19292703218797486,0.17936928000000002
specter2,biobert,0.20748973995791414,0.21712898272496697,0.20010849483550688,0.18635872000000003
specter2,simcse,0.1803822714883786,0.18625473336807366,0.17273528721498718,0.16071095999999999
scincl,scibert,0.23475963008173967,0.24493074792243769,0.22763425808987092,0.21173776
scincl,bert,0.19848189714183653,0.20191135734072022,0.1910147080645504,0.17599568
scincl,mpnet,0.4850799803288627,0.4883656509695291,0.4802697943822487,0.4785178400000001
scincl,minilm,0.44097318879120717,0.44049691589323803,0.4357513986755226,0.43271680000000007
scincl,pubmedbert,0.20552769625023237,0.22279902987354563,0.19813119859147188,0.18295104
scincl,biobert,0.21392070525243817,0.23085872576177285,0.20660565313502952,0.19138336000000006
scincl,simcse,0.19463671117083398,0.19888470848445255,0.18713257864699587,0.1726272
scibert,bert,0.384526336062778,0.39374743998171713,0.37884172975485797,0.3535336
scibert,mpnet,0.23430451600343163,0.2419482917820868,0.22717153211068755,0.2115904
scibert,minilm,0.231584754721098,0.23541906729873183,0.22442778437859423,0.20887032
scibert,pubmedbert,0.5192934024491993,0.5305608641023019,0.5148662049027087,0.49379464
scibert,biobert,0.49942099403620566,0.5132132963988919,0.49481259534276345,0.47289752
scibert,simcse,0.26137028281777724,0.2693740322466084,0.2545140988872275,0.23442616
bert,mpnet,0.22026679626242793,0.2274997413505987,0.2130019571408769,0.19690336
bert,minilm,0.22416586819153908,0.22892890120036935,0.21694106218098125,0.20024832
bert,pubmedbert,0.3786742413790255,0.38939058171745156,0.3729345847287173,0.3467692
bert,biobert,0.40480700379157436,0.414883261759194,0.39931436005520593,0.37277368000000005
bert,simcse,0.3716719662675892,0.383787117711756,0.3658545948154513,0.34265184
mpnet,minilm,0.5645731043042166,0.5696675900277008,0.5605125247071341,0.5557153599999999
mpnet,pubmedbert,0.21378223290849116,0.22320817473135954,0.20646179164854267,0.19074560000000004
mpnet,biobert,0.22598137006155455,0.23528162511542017,0.2187795272198883,0.20248424
mpnet,simcse,0.21633127899088064,0.22471484777337777,0.20902882901656897,0.19354224
minilm,pubmedbert,0.21088262288592458,0.21924284395198523,0.20353492407700993,0.18806832
minilm,biobert,0.22412621609367786,0.23228070175438598,0.2169065595658211,0.20088760000000003
minilm,simcse,0.22596611517680545,0.23883511449955785,0.2187591710638986,0.20211384000000002
pubmedbert,biobert,0.5215903142558184,0.5338134810710988,0.5171885340149509,0.49488808
pubmedbert,simcse,0.2527129362197378,0.2592797783933518,0.24577689640996805,0.225426
biobert,simcse,0.26346324943780597,0.269332770360324,0.25662901710243957,0.23590496000000002
