k,mean_chance_adjusted_overlap,mean_overlap,median_overlap,model_a,model_b,q05_overlap,q95_overlap,queries
10,0.22737299198569208,0.22739230769230773,0.2,specter,specter2,0.0,0.5,13000
25,0.24388197331580852,0.24392923076923076,0.24,specter,specter2,0.04,0.48,13000
50,0.2571594524731582,0.2572523076923077,0.24,specter,specter2,0.06,0.48,13000
10,0.3103519895408666,0.31036923076923073,0.3,specter,scincl,0.0,0.6,13000
25,0.334647646179416,0.33468923076923085,0.32,specter,scincl,0.08,0.6,13000
50,0.3541869655467568,0.35426769230769234,0.36,specter,scincl,0.12,0.6,13000
10,0.09813129939970854,0.09815384615384615,0.1,specter,scibert,0.0,0.3,13000
25,0.11530470645436296,0.11536000000000002,0.08,specter,scibert,0.0,0.32,13000
50,0.13124832894163752,0.1313569230769231,0.12,specter,scibert,0.0,0.32,13000
10,0.07525380438458214,0.07527692307692307,0.0,specter,bert,0.0,0.3,13000
25,0.08913999423436875,0.08919692307692308,0.08,specter,bert,0.0,0.28,13000
50,0.10271091560588576,0.10282307692307695,0.08,specter,bert,0.0,0.26,13000
10,0.2795666045203935,0.2795846153846154,0.3,specter,mpnet,0.0,0.6,13000
25,0.301380951622966,0.3014246153846154,0.28,specter,mpnet,0.04,0.56,13000
50,0.3181670784382106,0.31825230769230767,0.32,specter,mpnet,0.1,0.56,13000
10,0.24805812449950687,0.24807692307692308,0.2,specter,minilm,0.0,0.6,13000
25,0.26819426206714697,0.26824000000000003,0.24,specter,minilm,0.04,0.52,13000
50,0.2836766132773863,0.28376615384615383,0.28,specter,minilm,0.08,0.52,13000
10,0.08486942939084338,0.08489230769230768,0.1,specter,pubmedbert,0.0,0.3,13000
25,0.10033454004811582,0.10039076923076923,0.08,specter,pubmedbert,0.0,0.28,13000
50,0.1145154680996467,0.11462615384615388,0.1,specter,pubmedbert,0.0,0.3,13000
10,0.08933877189379538,0.08936153846153846,0.1,specter,biobert,0.0,0.3,13000
25,0.10502098679763337,0.10507692307692308,0.08,specter,biobert,0.0,0.28,13000
50,0.11973458202832399,0.11984461538461538,0.1,specter,biobert,0.0,0.3,13000
10,0.07478456188426964,0.07480769230769231,0.0,specter,simcse,0.0,0.3,13000
25,0.08708755826457208,0.08714461538461539,0.08,specter,simcse,0.0,0.24,13000
50,0.09883350785223664,0.09894615384615386,0.08,specter,simcse,0.0,0.26,13000
10,0.2754126545177218,0.2754307692307692,0.3,specter2,scincl,0.0,0.6,13000
25,0.29301119774364376,0.29305538461538466,0.28,specter2,scincl,0.08,0.56,13000
50,0.3084258607849082,0.3085123076923077,0.3,specter2,scincl,0.1,0.54,13000
10,0.09646202689869023,0.0964846153846154,0.1,specter2,scibert,0.0,0.3,13000
25,0.1115937052859173,0.11164923076923078,0.08,specter2,scibert,0.0,0.28,13000
50,0.12535990057990523,0.12546923076923078,0.1,specter2,scibert,0.02,0.3,13000
10,0.06884595188036906,0.06886923076923078,0.0,specter2,bert,0.0,0.3,13000
25,0.07956401111919276,0.07962153846153848,0.08,specter2,bert,0.0,0.24,13000
50,0.0902816696403273,0.09039538461538463,0.08,specter2,bert,0.0,0.24,13000
10,0.2855898320244734,0.28560769230769234,0.3,specter2,mpnet,0.0,0.6,13000
25,0.29800843314824116,0.2980523076923077,0.28,specter2,mpnet,0.08,0.56,13000
50,0.3089566963703905,0.3090430769230769,0.3,specter2,mpnet,0.1,0.54,13000
10,0.24695809699883325,0.24697692307692307,0.2,specter2,minilm,0.0,0.5,13000
25,0.25855673664418877,0.25860307692307694,0.24,specter2,minilm,0.04,0.48,13000
50,0.2693594390131828,0.2694507692307692,0.26,specter2,minilm,0.08,0.48,13000
10,0.07722308438586728,0.07724615384615385,0.0,specter2,pubmedbert,0.0,0.3,13000
25,0.08953386500507413,0.08959076923076924,0.08,specter2,pubmedbert,0.0,0.24,13000
50,0.10094915692396056,0.10106153846153848,0.08,specter2,pubmedbert,0.0,0.26,13000
10,0.08056162938805916,0.08058461538461538,0.1,specter2,biobert,0.0,0.3,13000
25,0.0931217815578462,0.09317846153846156,0.08,specter2,biobert,0.0,0.24,13000
50,0.10498196871847967,0.10509384615384616,0.08,specter2,biobert,0.0,0.26,13000
10,0.06878441188032723,0.0688076923076923,0.0,specter2,simcse,0.0,0.3,13000
25,0.07855164015359441,0.07860923076923078,0.04,specter2,simcse,0.0,0.24,13000
50,0.08772750421523033,0.08784153846153848,0.08,specter2,simcse,0.0,0.24,13000
10,0.09680818939890126,0.09683076923076925,0.1,scincl,scibert,0.0,0.3,13000
25,0.11272608375184837,0.11278153846153847,0.08,scincl,scibert,0.0,0.32,13000
50,0.1273955396500731,0.1275046153846154,0.1,scincl,scibert,0.0,0.32,13000
10,0.07338452688336336,0.0734076923076923,0.0,scincl,bert,0.0,0.3,13000
25,0.08541976171949422,0.0854769230769231,0.08,scincl,bert,0.0,0.24,13000
50,0.09785492399066162,0.09796769230769233,0.08,scincl,bert,0.0,0.26,13000
10,0.33783729205912,0.33785384615384617,0.3,scincl,mpnet,0.0,0.7,13000
25,0.36254785148343566,0.36258769230769233,0.36,scincl,mpnet,0.08,0.64,13000
50,0.38052256519442695,0.3806,0.38,scincl,mpnet,0.12,0.62,13000
10,0.29698242453200047,0.297,0.3,scincl,minilm,0.0,0.6,13000
25,0.3187543451543686,0.31879692307692314,0.32,scincl,minilm,0.08,0.6,13000
50,0.33397366965044584,0.3340569230769231,0.34,scincl,minilm,0.1,0.58,13000
10,0.0792000568871202,0.07922307692307692,0.0,scincl,pubmedbert,0.0,0.3,13000
25,0.09328794578919672,0.09334461538461539,0.08,scincl,pubmedbert,0.0,0.28,13000
50,0.10616057758300503,0.10627230769230771,0.08,scincl,pubmedbert,0.0,0.28,13000
10,0.08346939438995393,0.0834923076923077,0.1,scincl,biobert,0.0,0.3,13000
25,0.0976851436914055,0.09774153846153846,0.08,scincl,biobert,0.0,0.28,13000
50,0.11071037707800836,0.11082153846153849,0.09,scincl,biobert,0.0,0.3,13000
10,0.07382299938367491,0.07384615384615385,0.0,scincl,simcse,0.0,0.3,13000
25,0.0853428338346202,0.0854,0.08,scincl,simcse,0.0,0.24,13000
50,0.09665631262563665,0.09676923076923077,0.08,scincl,simcse,0.0,0.26,13000
10,0.204703194470846,0.20472307692307692,0.2,scibert,bert,0.0,0.5,13000
25,0.2285240903700753,0.22857230769230774,0.2,scibert,bert,0.04,0.48,13000
50,0.24868454695523903,0.24877846153846153,0.24,scibert,bert,0.08,0.48,13000
10,0.09230807689592285,0.09233076923076923,0.1,scibert,mpnet,0.0,0.3,13000
25,0.10843658488862659,0.1084923076923077,0.08,scibert,mpnet,0.0,0.28,13000
50,0.123608912475144,0.12371846153846155,0.1,scibert,mpnet,0.0,0.3,13000
10,0.09073111439488821,0.09075384615384617,0.1,scibert,minilm,0.0,0.3,13000
25,0.10631029814934961,0.10636615384615386,0.08,scibert,minilm,0.0,0.28,13000
50,0.12052083415718352,0.12063076923076924,0.1,scibert,minilm,0.0,0.3,13000
10,0.33286793705590356,0.3328846153846154,0.3,scibert,pubmedbert,0.1,0.6,13000
25,0.3655080364954258,0.36554769230769235,0.36,scibert,pubmedbert,0.16,0.6,13000
50,0.3908530872811684,0.39092923076923075,0.38,scibert,pubmedbert,0.18,0.62,13000
10,0.30786731203925455,0.30788461538461537,0.3,scibert,biobert,0.0,0.6,13000
25,0.34089111331980265,0.34093230769230776,0.32,scibert,biobert,0.12,0.6,13000
50,0.3657776451533195,0.365856923076923,0.36,scibert,biobert,0.14,0.6,13000
10,0.10412375690383363,0.10414615384615385,0.1,scibert,simcse,0.0,0.3,13000
25,0.12300672629323084,0.12306153846153847,0.12,scibert,simcse,0.0,0.32,13000
50,0.1388831294477655,0.13899076923076925,0.12,scibert,simcse,0.02,0.32,13000
10,0.08477711939100349,0.0848,0.1,bert,mpnet,0.0,0.3,13000
25,0.09800824080863742,0.09806461538461539,0.08,bert,mpnet,0.0,0.28,13000
50,0.11232442498942824,0.11243538461538462,0.1,bert,mpnet,0.0,0.28,13000
10,0.08616946189193042,0.0861923076923077,0.1,bert,minilm,0.0,0.3,13000
25,0.09923908696740504,0.0992953846153846,0.08,bert,minilm,0.0,0.28,13000
50,0.11325069461948205,0.11336153846153847,0.1,bert,minilm,0.0,0.28,13000
10,0.19066438196143953,0.1906846153846154,0.2,bert,pubmedbert,0.0,0.5,13000
25,0.21548019820242673,0.21552923076923078,0.2,bert,pubmedbert,0.04,0.44,13000
50,0.23697077503916988,0.23706615384615384,0.22,bert,pubmedbert,0.06,0.46,13000
10,0.210057174474412,0.21007692307692308,0.2,bert,biobert,0.0,0.5,13000
25,0.23793698636937147,0.2379846153846154,0.24,bert,biobert,0.04,0.48,13000
50,0.2604490944491568,0.26054153846153844,0.24,bert,biobert,0.08,0.48,13000
10,0.17727173945263638,0.1772923076923077,0.2,bert,simcse,0.0,0.4,13000
25,0.2047626052749442,0.2048123076923077,0.2,bert,simcse,0.04,0.4,13000
50,0.2280604304751559,0.22815692307692312,0.22,bert,simcse,0.08,0.42,13000
10,0.4358166646244515,0.4358307692307692,0.4,mpnet,minilm,0.1,0.7,13000
25,0.45632602032120256,0.45636000000000004,0.48,mpnet,minilm,0.2,0.68,13000
50,0.47021531526874494,0.4702815384615385,0.48,mpnet,minilm,0.24,0.68,13000
10,0.08124626188850484,0.08126923076923077,0.1,mpnet,pubmedbert,0.0,0.3,13000
25,0.09576502368387814,0.09582153846153844,0.08,mpnet,pubmedbert,0.0,0.28,13000
50,0.10902555109016997,0.10913692307692308,0.08,mpnet,pubmedbert,0.0,0.28,13000
10,0.08718487189246169,0.08720769230769229,0.1,mpnet,biobert,0.0,0.3,13000
25,0.1021038814015687,0.10216000000000001,0.08,mpnet,biobert,0.0,0.28,13000
50,0.11642186024561989,0.1165323076923077,0.1,mpnet,biobert,0.0,0.3,13000
10,0.08663870439225928,0.08666153846153846,0.1,mpnet,simcse,0.0,0.3,13000
25,0.0996021865842162,0.09965846153846156,0.08,mpnet,simcse,0.0,0.28,13000
50,0.11172742728758184,0.11183846153846154,0.1,mpnet,simcse,0.0,0.28,13000
10,0.07933082938723174,0.07935384615384616,0.0,minilm,pubmedbert,0.0,0.3,13000
25,0.09264790578679703,0.09270461538461539,0.08,minilm,pubmedbert,0.0,0.28,13000
50,0.10562820334427572,0.10573999999999999,0.08,minilm,pubmedbert,0.0,0.26,13000
10,0.08551559939136212,0.08553846153846154,0.1,minilm,biobert,0.0,0.3,13000
25,0.09972834831515752,0.09978461538461539,0.08,minilm,biobert,0.0,0.28,13000
50,0.1140923382858369,0.11420307692307695,0.1,minilm,biobert,0.0,0.28,13000
10,0.09176960189565121,0.0917923076923077,0.1,minilm,simcse,0.0,0.3,13000
25,0.10523023064522675,0.10528615384615386,0.08,minilm,simcse,0.0,0.28,13000
50,0.11778972353736274,0.1179,0.1,minilm,simcse,0.0,0.28,13000
10,0.3243600320501784,0.32437692307692306,0.3,pubmedbert,biobert,0.1,0.6,13000
25,0.3579075614648945,0.35794769230769236,0.36,pubmedbert,biobert,0.12,0.6,13000
50,0.3845446064120836,0.38462153846153846,0.38,pubmedbert,biobert,0.18,0.6,13000
10,0.0964158718986883,0.09643846153846154,0.1,pubmedbert,simcse,0.0,0.3,13000
25,0.11477851972172246,0.11483384615384616,0.08,pubmedbert,simcse,0.0,0.28,13000
50,0.13023435604162747,0.13034307692307692,0.12,pubmedbert,simcse,0.02,0.3,13000
10,0.10166215690221196,0.10168461538461539,0.1,biobert,simcse,0.0,0.3,13000
25,0.11994807358870409,0.12000307692307692,0.12,biobert,simcse,0.0,0.32,13000
50,0.13608431805733248,0.1361923076923077,0.12,biobert,simcse,0.02,0.3,13000
