field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2000,specter,specter2,10,100,0.227
11,2000,specter,specter2,25,100,0.2232
11,2000,specter,specter2,50,100,0.2336
11,2000,specter,scincl,10,100,0.34900000000000003
11,2000,specter,scincl,25,100,0.354
11,2000,specter,scincl,50,100,0.3732
11,2000,specter,scibert,10,100,0.12
11,2000,specter,scibert,25,100,0.1396
11,2000,specter,scibert,50,100,0.1578
11,2000,specter,bert,10,100,0.10200000000000001
11,2000,specter,bert,25,100,0.11599999999999999
11,2000,specter,bert,50,100,0.132
11,2000,specter,mpnet,10,100,0.28700000000000003
11,2000,specter,mpnet,25,100,0.2844
11,2000,specter,mpnet,50,100,0.304
11,2000,specter,minilm,10,100,0.236
11,2000,specter,minilm,25,100,0.2444
11,2000,specter,minilm,50,100,0.2648
11,2000,specter,pubmedbert,10,100,0.11399999999999999
11,2000,specter,pubmedbert,25,100,0.1276
11,2000,specter,pubmedbert,50,100,0.15039999999999998
11,2000,specter,biobert,10,100,0.11699999999999999
11,2000,specter,biobert,25,100,0.13119999999999998
11,2000,specter,biobert,50,100,0.1518
11,2000,specter,simcse,10,100,0.088
11,2000,specter,simcse,25,100,0.0932
11,2000,specter,simcse,50,100,0.1066
11,2000,specter2,scincl,10,100,0.267
11,2000,specter2,scincl,25,100,0.2756
11,2000,specter2,scincl,50,100,0.2894
11,2000,specter2,scibert,10,100,0.098
11,2000,specter2,scibert,25,100,0.12119999999999999
11,2000,specter2,scibert,50,100,0.136
11,2000,specter2,bert,10,100,0.08499999999999999
11,2000,specter2,bert,25,100,0.09
11,2000,specter2,bert,50,100,0.1074
11,2000,specter2,mpnet,10,100,0.288
11,2000,specter2,mpnet,25,100,0.2796
11,2000,specter2,mpnet,50,100,0.2874
11,2000,specter2,minilm,10,100,0.252
11,2000,specter2,minilm,25,100,0.254
11,2000,specter2,minilm,50,100,0.2634
11,2000,specter2,pubmedbert,10,100,0.08299999999999999
11,2000,specter2,pubmedbert,25,100,0.11
11,2000,specter2,pubmedbert,50,100,0.1186
11,2000,specter2,biobert,10,100,0.1
11,2000,specter2,biobert,25,100,0.1152
11,2000,specter2,biobert,50,100,0.1222
11,2000,specter2,simcse,10,100,0.072
11,2000,specter2,simcse,25,100,0.07919999999999999
11,2000,specter2,simcse,50,100,0.0932
11,2000,scincl,scibert,10,100,0.11599999999999999
11,2000,scincl,scibert,25,100,0.1404
11,2000,scincl,scibert,50,100,0.1578
11,2000,scincl,bert,10,100,0.097
11,2000,scincl,bert,25,100,0.1092
11,2000,scincl,bert,50,100,0.1258
11,2000,scincl,mpnet,10,100,0.34700000000000003
11,2000,scincl,mpnet,25,100,0.3576
11,2000,scincl,mpnet,50,100,0.37020000000000003
11,2000,scincl,minilm,10,100,0.288
11,2000,scincl,minilm,25,100,0.2968
11,2000,scincl,minilm,50,100,0.3154
11,2000,scincl,pubmedbert,10,100,0.101
11,2000,scincl,pubmedbert,25,100,0.1264
11,2000,scincl,pubmedbert,50,100,0.1376
11,2000,scincl,biobert,10,100,0.101
11,2000,scincl,biobert,25,100,0.12560000000000002
11,2000,scincl,biobert,50,100,0.1444
11,2000,scincl,simcse,10,100,0.08199999999999999
11,2000,scincl,simcse,25,100,0.0916
11,2000,scincl,simcse,50,100,0.1076
11,2000,scibert,bert,10,100,0.22999999999999998
11,2000,scibert,bert,25,100,0.2408
11,2000,scibert,bert,50,100,0.2606
11,2000,scibert,mpnet,10,100,0.096
11,2000,scibert,mpnet,25,100,0.114
11,2000,scibert,mpnet,50,100,0.1396
11,2000,scibert,minilm,10,100,0.098
11,2000,scibert,minilm,25,100,0.1148
11,2000,scibert,minilm,50,100,0.13119999999999998
11,2000,scibert,pubmedbert,10,100,0.355
11,2000,scibert,pubmedbert,25,100,0.3776
11,2000,scibert,pubmedbert,50,100,0.4152
11,2000,scibert,biobert,10,100,0.374
11,2000,scibert,biobert,25,100,0.3724
11,2000,scibert,biobert,50,100,0.385
11,2000,scibert,simcse,10,100,0.099
11,2000,scibert,simcse,25,100,0.1272
11,2000,scibert,simcse,50,100,0.1374
11,2000,bert,mpnet,10,100,0.10200000000000001
11,2000,bert,mpnet,25,100,0.122
