field_id,period_start,k,mean_chance_adjusted_overlap,mean_overlap,median_overlap,model_a,model_b,q05_overlap,q95_overlap,queries
11,2000,10,0.3227258217591849,0.325854108956602,0.3,specter,specter2,0.1,0.6,2166
11,2000,25,0.3598097185906231,0.36720221606648207,0.36,specter,specter2,0.16,0.6,2166
11,2000,50,0.3912315409651415,0.4052908587257617,0.4,specter,specter2,0.2,0.6,2166
11,2000,10,0.4530136704565174,0.45554016620498616,0.5,specter,scincl,0.1,0.8,2166
11,2000,25,0.4970921031057723,0.5028993536472762,0.52,specter,scincl,0.28,0.72,2166
11,2000,50,0.5339930234944086,0.5447553093259465,0.56,specter,scincl,0.32,0.74,2166
11,2000,10,0.24619504555747654,0.24967682363804244,0.2,specter,scibert,0.0,0.6,2166
11,2000,25,0.28660988427783674,0.29484764542936287,0.28,specter,scibert,0.08,0.56,2166
11,2000,50,0.3167222211307789,0.33250230840258543,0.32,specter,scibert,0.12,0.56,2166
11,2000,10,0.21372744353250941,0.21735918744228994,0.2,specter,bert,0.0,0.5,2166
11,2000,25,0.2513738231461586,0.26001846722068334,0.24,specter,bert,0.04,0.48,2166
11,2000,50,0.2819959441966868,0.2985780240073869,0.3,specter,bert,0.1,0.52,2166
11,2000,10,0.3969838658191455,0.3997691597414589,0.4,specter,mpnet,0.1,0.7,2166
11,2000,25,0.4372132187330106,0.44371191135734067,0.44,specter,mpnet,0.2,0.68,2166
11,2000,50,0.47361429266833877,0.4857710064635273,0.5,specter,mpnet,0.26,0.68,2166
11,2000,10,0.34990584288294313,0.3529085872576177,0.3,specter,minilm,0.1,0.7,2166
11,2000,25,0.39321484971651954,0.4002216066481995,0.4,specter,minilm,0.16,0.64,2166
11,2000,50,0.42474797482695165,0.4380332409972299,0.44,specter,minilm,0.22,0.64,2166
11,2000,10,0.2297757153905646,0.2333333333333333,0.2,specter,pubmedbert,0.0,0.5,2166
11,2000,25,0.26213520766993725,0.2706555863342567,0.24,specter,pubmedbert,0.08,0.52,2166
11,2000,50,0.2910319596427925,0.30740535549399817,0.3,specter,pubmedbert,0.1,0.54,2166
11,2000,10,0.23469223798291677,0.23822714681440443,0.2,specter,biobert,0.0,0.5,2166
11,2000,25,0.2711403940249048,0.2795567867036011,0.28,specter,biobert,0.04,0.52,2166
11,2000,50,0.29975606242182534,0.3159279778393352,0.32,specter,biobert,0.1,0.54,2166
11,2000,10,0.1895622711682124,0.1933056325023084,0.2,specter,simcse,0.0,0.5,2166
11,2000,25,0.22471324030686654,0.23366574330563253,0.24,specter,simcse,0.04,0.48,2166
11,2000,50,0.2517498673896387,0.26903047091412746,0.26,specter,simcse,0.08,0.48,2166
11,2000,10,0.3729114580320627,0.37580794090489383,0.4,specter2,scincl,0.1,0.7,2166
11,2000,25,0.40829199782535536,0.41512465373961216,0.4,specter2,scincl,0.2,0.64,2166
11,2000,50,0.4362225802156255,0.44924284395198527,0.46,specter2,scincl,0.26,0.62,2166
11,2000,10,0.20830071576547918,0.21195752539242846,0.2,specter2,scibert,0.0,0.5,2166
11,2000,25,0.23939804627160619,0.24818097876269618,0.24,specter2,scibert,0.08,0.48,2166
11,2000,50,0.2677802880973742,0.2846906740535549,0.28,specter2,scibert,0.12,0.48,2166
11,2000,10,0.1621039563128116,0.1659741458910434,0.1,specter2,bert,0.0,0.4,2166
11,2000,25,0.19078498632217533,0.20012927054478302,0.2,specter2,bert,0.04,0.4,2166
11,2000,50,0.21486855748304443,0.23300092336103417,0.22,specter2,bert,0.08,0.44,2166
11,2000,10,0.3531062207968328,0.3560941828254848,0.3,specter2,mpnet,0.1,0.7,2166
11,2000,25,0.3806785840646871,0.38783010156971376,0.4,specter2,mpnet,0.16,0.64,2166
11,2000,50,0.4090105629882844,0.42265927977839335,0.42,specter2,mpnet,0.24,0.62,2166
11,2000,10,0.3138668046352296,0.3170360110803324,0.3,specter2,minilm,0.1,0.6,2166
11,2000,25,0.3382495836245804,0.3458910433979686,0.32,specter2,minilm,0.12,0.6,2166
11,2000,50,0.36287584395853384,0.37759002770083105,0.38,specter2,minilm,0.18,0.58,2166
11,2000,10,0.18534148290496666,0.1891043397968606,0.2,specter2,pubmedbert,0.0,0.5,2166
11,2000,25,0.20890745678756653,0.21804247460757156,0.2,specter2,pubmedbert,0.04,0.44,2166
11,2000,50,0.23322414534532174,0.250932594644506,0.24,specter2,pubmedbert,0.1,0.44,2166
11,2000,10,0.1884954785302492,0.1922437673130194,0.2,specter2,biobert,0.0,0.5,2166
11,2000,25,0.21539044364477353,0.22445060018467225,0.2,specter2,biobert,0.04,0.44,2166
11,2000,50,0.24034142529398023,0.2578855032317636,0.26,specter2,biobert,0.1,0.44,2166
11,2000,10,0.15064753102685888,0.1545706371191136,0.1,specter2,simcse,0.0,0.4,2166
11,2000,25,0.1752220812730301,0.18474607571560478,0.16,specter2,simcse,0.04,0.4,2166
11,2000,50,0.19525586705347417,0.21384118190212376,0.2,specter2,simcse,0.06,0.4,2166
11,2000,10,0.22875530504120847,0.23231763619575255,0.2,scincl,scibert,0.0,0.5,2166
11,2000,25,0.2640408695126897,0.27253924284395203,0.28,scincl,scibert,0.08,0.52,2166
11,2000,50,0.2934705495853607,0.3097876269621422,0.3,scincl,scibert,0.10500000000000001,0.54,2166
11,2000,10,0.19573111555295616,0.1994459833795014,0.2,scincl,bert,0.0,0.5,2166
11,2000,25,0.229234516443593,0.23813481071098797,0.24,scincl,bert,0.04,0.48,2166
11,2000,50,0.25667430676978625,0.27384118190212375,0.26,scincl,bert,0.08,0.48,2166
11,2000,10,0.4439691241781338,0.4465373961218837,0.4,scincl,mpnet,0.1,0.7,2166
11,2000,25,0.4846305692909105,0.4905817174515235,0.48,scincl,mpnet,0.24,0.72,2166
11,2000,50,0.5131610380935541,0.524404432132964,0.54,scincl,mpnet,0.32,0.715,2166
11,2000,10,0.39090778601161597,0.39372114496768235,0.4,scincl,minilm,0.1,0.7,2166
11,2000,25,0.42805856870410164,0.43466297322253,0.44,scincl,minilm,0.2,0.68,2166
11,2000,50,0.4537842085617178,0.466398891966759,0.48,scincl,minilm,0.24,0.68,2166
11,2000,10,0.20519310242880373,0.20886426592797783,0.2,scincl,pubmedbert,0.0,0.5,2166
11,2000,25,0.23616589432262408,0.24498614958448758,0.24,scincl,pubmedbert,0.04,0.48,2166
11,2000,50,0.2623738018681143,0.2794090489381348,0.28,scincl,pubmedbert,0.1,0.48,2166
11,2000,10,0.21066621248444106,0.21431209602954757,0.2,scincl,biobert,0.0,0.5,2166
11,2000,25,0.24343356546802325,0.25216989843028625,0.24,scincl,biobert,0.04,0.48,2166
11,2000,50,0.269169717250698,0.2860480147737765,0.28,scincl,biobert,0.085,0.5,2166
11,2000,10,0.17833775732529517,0.18213296398891968,0.2,scincl,simcse,0.0,0.5,2166
11,2000,25,0.2102899957715242,0.21940904893813482,0.2,scincl,simcse,0.04,0.44,2166
11,2000,50,0.23517123653977542,0.2528347183748846,0.24,scincl,simcse,0.08,0.46,2166
11,2000,10,0.3857593519762283,0.3885964912280702,0.4,scibert,bert,0.1,0.7,2166
11,2000,25,0.41759611152820564,0.4243213296398892,0.4,scibert,bert,0.2,0.68,2166
11,2000,50,0.4456272197228171,0.4584302862419206,0.46,scibert,bert,0.24,0.68,2166
11,2000,10,0.21363467895529523,0.21726685133887352,0.2,scibert,mpnet,0.0,0.5,2166
11,2000,25,0.25273767917087353,0.26136657433056326,0.24,scibert,mpnet,0.04,0.48,2166
11,2000,50,0.28270483662185203,0.2992705447830102,0.3,scibert,mpnet,0.12,0.5,2166
11,2000,10,0.20500757327437533,0.20867959372114497,0.2,scibert,minilm,0.0,0.5,2166
11,2000,25,0.24001458392661434,0.24879039704524475,0.24,scibert,minilm,0.04,0.48,2166
11,2000,50,0.27017161854493144,0.2870267774699908,0.28,scibert,minilm,0.1,0.5,2166
11,2000,10,0.5155369954988828,0.5177746999076639,0.5,scibert,pubmedbert,0.2,0.8,2166
11,2000,25,0.5518705396052848,0.5570452446906741,0.56,scibert,pubmedbert,0.32,0.76,2166
11,2000,50,0.5754017930230578,0.585207756232687,0.58,scibert,pubmedbert,0.4,0.76,2166
11,2000,10,0.4966130217471876,0.49893813481071103,0.5,scibert,biobert,0.2,0.8,2166
11,2000,25,0.5369802210888756,0.5423268698060942,0.56,scibert,biobert,0.28,0.76,2166
11,2000,50,0.5626511812690866,0.5727516158818098,0.58,scibert,biobert,0.36,0.76,2166
11,2000,10,0.23520244315759484,0.23873499538319484,0.2,scibert,simcse,0.0,0.5,2166
11,2000,25,0.2725229330088625,0.2809233610341644,0.28,scibert,simcse,0.08,0.52,2166
11,2000,50,0.3000963307859047,0.3162603878116344,0.3,scibert,simcse,0.14,0.54,2166
11,2000,10,0.20881092094015724,0.21246537396121887,0.2,bert,mpnet,0.0,0.5,2166
11,2000,25,0.24933738058870736,0.258005540166205,0.24,bert,mpnet,0.04,0.48,2166
11,2000,50,0.2821377226817198,0.29871652816251154,0.3,bert,mpnet,0.1,0.5,2166
11,2000,10,0.20259569426680638,0.20627885503231766,0.2,bert,minilm,0.0,0.5,2166
11,2000,25,0.24584366721032783,0.25455216989843027,0.24,bert,minilm,0.08,0.48,2166
11,2000,50,0.2796896808401494,0.2963250230840259,0.3,bert,minilm,0.12,0.5,2166
11,2000,10,0.3756480130598814,0.37853185595567873,0.4,bert,pubmedbert,0.1,0.7,2166
11,2000,25,0.4075446794556485,0.4143859649122807,0.4,bert,pubmedbert,0.2,0.64,2166
11,2000,50,0.4393228030883479,0.4522714681440443,0.44,bert,pubmedbert,0.26,0.66,2166
11,2000,10,0.3983289521887513,0.4011080332409972,0.4,bert,biobert,0.1,0.7,2166
11,2000,25,0.4365406322002744,0.4430470914127424,0.44,bert,biobert,0.2,0.68,2166
11,2000,50,0.4685102672071494,0.48078485687903977,0.48,bert,biobert,0.26,0.68,2166
11,2000,10,0.332929925252746,0.33601108033241,0.3,bert,simcse,0.1,0.6,2166
11,2000,25,0.37903448365133197,0.3862049861495845,0.4,bert,simcse,0.17,0.6,2166
11,2000,50,0.41562689228982624,0.42912280701754385,0.42,bert,simcse,0.24,0.64,2166
11,2000,10,0.5037095119040733,0.5060018467220684,0.5,mpnet,minilm,0.2,0.8,2166
11,2000,25,0.5371296847628171,0.5424746075715605,0.56,mpnet,minilm,0.32,0.76,2166
11,2000,50,0.5566586773016902,0.5668975069252078,0.58,mpnet,minilm,0.36,0.76,2166
11,2000,10,0.20598160133512436,0.20964912280701756,0.2,mpnet,pubmedbert,0.0,0.5,2166
11,2000,25,0.2407432193370785,0.24951061865189292,0.24,mpnet,pubmedbert,0.04,0.48,2166
11,2000,50,0.26813946025945784,0.28504155124653746,0.28,mpnet,pubmedbert,0.1,0.48,2166
11,2000,10,0.20895006780597852,0.21260387811634351,0.2,mpnet,biobert,0.0,0.5,2166
11,2000,25,0.2494681613034061,0.258134810710988,0.24,mpnet,biobert,0.04,0.48,2166
11,2000,50,0.2787255871419247,0.2953831948291782,0.3,mpnet,biobert,0.1,0.5,2166
11,2000,10,0.18775336191253564,0.1915050784856879,0.2,mpnet,simcse,0.0,0.5,2166
11,2000,25,0.22402197081488767,0.23298245614035087,0.24,mpnet,simcse,0.04,0.44,2166
11,2000,50,0.25265724969385017,0.26991689750692516,0.26,mpnet,simcse,0.1,0.475,2166
11,2000,10,0.19596302699599163,0.19967682363804248,0.2,minilm,pubmedbert,0.0,0.5,2166
11,2000,25,0.228150904807518,0.23706371191135736,0.24,minilm,pubmedbert,0.04,0.48,2166
11,2000,50,0.25485009026236116,0.27205909510618653,0.26,minilm,pubmedbert,0.1,0.48,2166
11,2000,10,0.1996272277959522,0.2033240997229917,0.2,minilm,biobert,0.0,0.5,2166
11,2000,25,0.23749238442885373,0.24629732225300094,0.24,minilm,biobert,0.04,0.48,2166
11,2000,50,0.26637195514604606,0.28331486611265005,0.28,minilm,biobert,0.1,0.48,2166
11,2000,10,0.19712258421116902,0.20083102493074792,0.2,minilm,simcse,0.0,0.5,2166
11,2000,25,0.23317662084379664,0.2420313942751616,0.24,minilm,simcse,0.04,0.48,2166
11,2000,50,0.2630732423942774,0.28009233610341644,0.28,minilm,simcse,0.1,0.495,2166
11,2000,10,0.5198969306279498,0.5221144967682364,0.5,pubmedbert,biobert,0.2,0.8,2166
11,2000,25,0.550488000621327,0.5556786703601109,0.56,pubmedbert,biobert,0.32,0.76,2166
11,2000,50,0.5800237716351349,0.5897229916897507,0.6,pubmedbert,biobert,0.4,0.76,2166
11,2000,10,0.23065697887409944,0.23421052631578948,0.2,pubmedbert,simcse,0.0,0.5,2166
11,2000,25,0.2657783847222582,0.27425669436749767,0.28,pubmedbert,simcse,0.08,0.52,2166
11,2000,50,0.290682239379711,0.3070637119113573,0.3,pubmedbert,simcse,0.14,0.52,2166
11,2000,10,0.23905217311198382,0.24256694367497697,0.2,biobert,simcse,0.0,0.5,2166
11,2000,25,0.2747835710772258,0.2831578947368421,0.28,biobert,simcse,0.08,0.52,2166
11,2000,50,0.3032154574566315,0.3193074792243768,0.3,biobert,simcse,0.14,0.54,2166
11,2005,10,0.3146136964841609,0.31732594936708863,0.3,specter,specter2,0.1,0.6,2528
11,2005,25,0.350249129810076,0.35667721518987344,0.36,specter,specter2,0.16,0.6,2528
11,2005,50,0.3831185610144979,0.3953243670886076,0.4,specter,specter2,0.2,0.6,2528
11,2005,10,0.44670286356572764,0.44889240506329114,0.4,specter,scincl,0.2,0.7,2528
11,2005,25,0.4972892635258882,0.5022626582278481,0.52,specter,scincl,0.28,0.72,2528
11,2005,50,0.5313279768809759,0.5406012658227849,0.54,specter,scincl,0.32,0.74,2528
11,2005,10,0.2401100051296752,0.24311708860759498,0.2,specter,scibert,0.0,0.6,2528
11,2005,25,0.27748815504558383,0.2846360759493671,0.28,specter,scibert,0.08,0.52,2528
11,2005,50,0.3083399171108374,0.32202531645569615,0.32,specter,scibert,0.1,0.56,2528
11,2005,10,0.2075841398741721,0.21071993670886077,0.2,specter,bert,0.0,0.5,2528
11,2005,25,0.24520676496777258,0.2526740506329114,0.24,specter,bert,0.04,0.48,2528
11,2005,50,0.27712094305586077,0.2914240506329114,0.28,specter,bert,0.1,0.52,2528
11,2005,10,0.3857019734162128,0.388132911392405,0.4,specter,mpnet,0.1,0.7,2528
11,2005,25,0.43280638780115155,0.4384177215189874,0.44,specter,mpnet,0.2,0.68,2528
11,2005,50,0.47089165895862184,0.4813607594936709,0.48,specter,mpnet,0.26,0.68,2528
11,2005,10,0.33812445622928644,0.3407436708860759,0.3,specter,minilm,0.1,0.6,2528
11,2005,25,0.3810922401319451,0.38721518987341774,0.4,specter,minilm,0.16,0.64,2528
11,2005,50,0.41641180506226905,0.4279588607594937,0.42,specter,minilm,0.22,0.64,2528
11,2005,10,0.2221195082301112,0.22519778481012662,0.2,specter,pubmedbert,0.0,0.5,2528
11,2005,25,0.2545236216090419,0.2618987341772152,0.24,specter,pubmedbert,0.04,0.52,2528
11,2005,50,0.2865156911944318,0.30063291139240506,0.3,specter,pubmedbert,0.1,0.52,2528
11,2005,10,0.2292680500445075,0.23231803797468353,0.2,specter,biobert,0.0,0.5,2528
11,2005,25,0.2661417258598185,0.27340189873417725,0.28,specter,biobert,0.04,0.52,2528
11,2005,50,0.29706460512665894,0.3109731012658228,0.3,specter,biobert,0.1,0.54,2528
11,2005,10,0.1822465305542564,0.18548259493670885,0.2,specter,simcse,0.0,0.5,2528
11,2005,25,0.21842279973489562,0.22615506329113924,0.2,specter,simcse,0.04,0.44,2528
11,2005,50,0.245643694137968,0.26056962025316455,0.26,specter,simcse,0.08,0.48,2528
11,2005,10,0.36675833760806265,0.3692642405063291,0.4,specter2,scincl,0.1,0.7,2528
11,2005,25,0.4027303600157848,0.4086392405063291,0.4,specter2,scincl,0.2,0.64,2528
11,2005,50,0.43370814978817784,0.4449129746835443,0.44,specter2,scincl,0.26,0.62,2528
11,2005,10,0.20214330527099272,0.20530063291139242,0.2,specter2,scibert,0.0,0.5,2528
11,2005,25,0.23138329842455146,0.2389873417721519,0.24,specter2,scibert,0.08,0.46600000000000363,2528
11,2005,50,0.2572822051481222,0.27197784810126585,0.26,specter2,scibert,0.1,0.4730000000000018,2528
11,2005,10,0.1612774745653606,0.1645965189873418,0.1,specter2,bert,0.0,0.4,2528
11,2005,25,0.18521451825881066,0.1932753164556962,0.16,specter2,bert,0.04,0.4,2528
11,2005,50,0.2099371943398251,0.22556962025316457,0.22,specter2,bert,0.08,0.42,2528
11,2005,10,0.34797355828467685,0.35055379746835447,0.3,specter2,mpnet,0.1,0.7,2528
11,2005,25,0.38155568583108196,0.3876740506329114,0.4,specter2,mpnet,0.16,0.6,2528
11,2005,50,0.4091720378111538,0.4208623417721519,0.42,specter2,mpnet,0.22,0.62,2528
11,2005,10,0.30436745321685954,0.30712025316455693,0.3,specter2,minilm,0.0,0.6,2528
11,2005,25,0.32912239828390455,0.33575949367088603,0.32,specter2,minilm,0.12,0.6,2528
11,2005,50,0.35369943991046743,0.3664873417721519,0.36,specter2,minilm,0.16,0.58,2528
11,2005,10,0.1801416821311286,0.1833860759493671,0.2,specter2,pubmedbert,0.0,0.5,2528
11,2005,25,0.20611751737850223,0.2139715189873418,0.2,specter2,pubmedbert,0.04,0.44,2528
11,2005,50,0.2303166952417941,0.24554588607594938,0.24,specter2,pubmedbert,0.1,0.44,2528
11,2005,10,0.18232595879663857,0.1855617088607595,0.2,specter2,biobert,0.0,0.5,2528
11,2005,25,0.20896211511803214,0.2167879746835443,0.2,specter2,biobert,0.04,0.44,2528
11,2005,50,0.23415853382767024,0.24931170886075948,0.24,specter2,biobert,0.08,0.44,2528
11,2005,10,0.1455506825736888,0.14893196202531644,0.1,specter2,simcse,0.0,0.4,2528
11,2005,25,0.16995277195964748,0.17816455696202532,0.16,specter2,simcse,0.04,0.4,2528
11,2005,50,0.19134140420987003,0.20734177215189878,0.2,specter2,simcse,0.06,0.4,2528
11,2005,10,0.21687724423288723,0.21997626582278482,0.2,scincl,scibert,0.0,0.5,2528
11,2005,25,0.25460352603992753,0.26197784810126584,0.24,scincl,scibert,0.08,0.52,2528
11,2005,50,0.2822864403141816,0.2964873417721519,0.28,scincl,scibert,0.1,0.52,2528
11,2005,10,0.18689308273361396,0.1901107594936709,0.2,scincl,bert,0.0,0.5,2528
11,2005,25,0.2231531420433273,0.23083860759493668,0.2,scincl,bert,0.04,0.44,2528
11,2005,50,0.2527866083154899,0.26757120253164557,0.26,scincl,bert,0.08,0.48,2528
11,2005,10,0.4337957741786233,0.43603639240506337,0.4,scincl,mpnet,0.1,0.7,2528
11,2005,25,0.47247094729279865,0.47768987341772157,0.48,scincl,mpnet,0.24,0.72,2528
11,2005,50,0.5013519506037826,0.5112183544303798,0.52,scincl,mpnet,0.3,0.72,2528
11,2005,10,0.37505858893700056,0.37753164556962027,0.4,scincl,minilm,0.1,0.7,2528
11,2005,25,0.4073328552347995,0.4131962025316456,0.4,scincl,minilm,0.16,0.68,2528
11,2005,50,0.43632318277520277,0.4474762658227848,0.44,scincl,minilm,0.22,0.66,2528
11,2005,10,0.19737761072806184,0.20055379746835442,0.2,scincl,pubmedbert,0.0,0.5,2528
11,2005,25,0.22809123587206184,0.23572784810126585,0.2,scincl,pubmedbert,0.04,0.48,2528
11,2005,50,0.25560341853916796,0.2703322784810127,0.26,scincl,pubmedbert,0.1,0.5,2528
11,2005,10,0.20440701017888488,0.20755537974683547,0.2,scincl,biobert,0.0,0.5,2528
11,2005,25,0.23672091440771434,0.24427215189873416,0.24,scincl,biobert,0.04,0.48,2528
11,2005,50,0.2656680671034275,0.2801977848101265,0.26,scincl,biobert,0.1,0.5130000000000018,2528
11,2005,10,0.16906144231881434,0.17234968354430383,0.1,scincl,simcse,0.0,0.4,2528
11,2005,25,0.20194650608627024,0.20984177215189875,0.2,scincl,simcse,0.04,0.44,2528
11,2005,50,0.2279518660282191,0.24322784810126585,0.24,scincl,simcse,0.06,0.46,2528
11,2005,10,0.3687837577888083,0.3712816455696203,0.4,scibert,bert,0.1,0.7,2528
11,2005,25,0.4098578352507868,0.4156962025316455,0.4,scibert,bert,0.16,0.68,2528
11,2005,50,0.43768719689497815,0.44881329113924046,0.44,scibert,bert,0.22,0.68,2528
11,2005,10,0.21358097217402675,0.21669303797468353,0.2,scibert,mpnet,0.0,0.5,2528
11,2005,25,0.25102380753624953,0.2584335443037975,0.24,scibert,mpnet,0.04,0.52,2528
11,2005,50,0.28052694281056606,0.29476265822784814,0.28,scibert,mpnet,0.1,0.52,2528
11,2005,10,0.19670247066781332,0.1998813291139241,0.2,scibert,minilm,0.0,0.5,2528
11,2005,25,0.23552234794442925,0.24308544303797466,0.24,scibert,minilm,0.04,0.48,2528
11,2005,50,0.2652160860933244,0.27975474683544305,0.26,scibert,minilm,0.1,0.5,2528
11,2005,10,0.5194988477089966,0.5214003164556962,0.5,scibert,pubmedbert,0.2,0.8,2528
11,2005,25,0.5546766257879773,0.5590822784810127,0.56,scibert,pubmedbert,0.36,0.76,2528
11,2005,50,0.5815220822708155,0.5898022151898734,0.6,scibert,pubmedbert,0.4,0.76,2528
11,2005,10,0.5042089110504266,0.5061708860759493,0.5,scibert,biobert,0.2,0.8,2528
11,2005,25,0.5424033052039381,0.5469303797468353,0.56,scibert,biobert,0.32,0.76,2528
