model,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
scibert,11,2000,0.715071066900849,0.7111116348903904,scibert/mean,scibert/cls,2166,40.999183350838216,0.7547189310976231
scibert,11,2000,0.664623785463735,0.6589590893634355,scibert/mean,scibert/sep,2166,41.438449654726476,0.7496671121771107
scibert,11,2000,0.8406310063012251,0.838438814077651,scibert/cls,scibert/sep,2166,24.993597833963094,0.906355004268463
scibert,11,2005,0.721098405332249,0.7180271590109831,scibert/mean,scibert/cls,2528,41.315869973829024,0.7510812952504103
scibert,11,2005,0.6851448642221615,0.6810435887124189,scibert/mean,scibert/sep,2528,41.764237358228144,0.7458918879087335
scibert,11,2005,0.8519059628600515,0.8502837637817885,scibert/cls,scibert/sep,2528,25.51754765790184,0.9024533917961132
scibert,11,2010,0.7100575608158362,0.7080317950492453,scibert/mean,scibert/cls,3940,42.392114433391946,0.7385481372629658
scibert,11,2010,0.6743541813710511,0.6717196150009123,scibert/mean,scibert/sep,3940,42.973264352016294,0.7316718595282358
scibert,11,2010,0.8508354777948306,0.8497901112074644,scibert/cls,scibert/sep,3940,26.06781437911261,0.8982745677116819
scibert,11,2015,0.7223707195859113,0.7205558467433294,scibert/mean,scibert/cls,4298,42.458870241453035,0.7377621190386717
scibert,11,2015,0.693584589979312,0.6913424270995845,scibert/mean,scibert/sep,4298,42.96768268877142,0.7317382619931762
scibert,11,2015,0.8415666654281333,0.8405410807318182,scibert/cls,scibert/sep,4298,26.8412270827222,0.8922611592285998
scibert,11,2020,0.7104408735083638,0.7091520295857252,scibert/mean,scibert/cls,6491,43.51605283233374,0.7251814829538556
scibert,11,2020,0.671692651310701,0.6700525127621842,scibert/mean,scibert/sep,6491,43.95713263855243,0.719859326095401
scibert,11,2020,0.8259471659773202,0.825200115223702,scibert/cls,scibert/sep,6491,27.923182594800704,0.8835762274499133
scibert,12,2000,0.7204532410094742,0.716869512429635,scibert/mean,scibert/cls,2166,39.91854536349657,0.7669574887201419
scibert,12,2000,0.65622843251555,0.6511722249424441,scibert/mean,scibert/sep,2166,41.55021395772757,0.7483747137596645
scibert,12,2000,0.8500541770045148,0.8480987855722784,scibert/cls,scibert/sep,2166,25.577963001061224,0.90199864773454
scibert,12,2005,0.7411860780285958,0.7383436603730065,scibert/mean,scibert/cls,2166,39.66860847292688,0.7697494111788336
scibert,12,2005,0.6642913397248942,0.6597552786499888,scibert/mean,scibert/sep,2166,41.277242950175406,0.7515262172961285
scibert,12,2005,0.8399885735969196,0.8381055949993529,scibert/cls,scibert/sep,2166,25.636614712701704,0.9015562190506925
scibert,12,2010,0.7249733197493938,0.7214187596233029,scibert/mean,scibert/cls,2186,40.295312592388505,0.7627212414655227
