stage,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
primary,11,2000,0.7151125714147715,0.7106489702168494,specter/cls,specter2/cls,2166,45.54683535959007,0.7003259970003676,0.5832995697419346
primary,11,2000,0.8377883597024975,0.8355608919338784,specter/cls,scincl/cls,2166,37.84698355898032,0.7896521520775557,0.7878754786350335
primary,11,2000,0.5503774874271281,0.5436471494610364,specter/cls,scibert/mean,2166,48.09787979848158,0.6678600978884024,0.44281759305396357
primary,11,2000,0.5492738667931565,0.5434142807232268,specter/cls,bert/mean,2166,50.29198707835495,0.6388754132315819,0.42404213538367086
primary,11,2000,0.7762764555317204,0.7728974500185749,specter/cls,mpnet/mean,2166,44.0775728381969,0.7183986423677478,0.7357863629132676
primary,11,2000,0.7122549181608784,0.7076537872306045,specter/cls,minilm/mean,2166,48.6864778828314,0.6601789520209546,0.6928507770383986
primary,11,2000,0.48186644856047306,0.4751538367312943,specter/cls,pubmedbert/mean,2166,49.496780536766174,0.6494907746937169,0.4159927723680467
primary,11,2000,0.5181027014292493,0.5114747170548818,specter/cls,biobert/mean,2166,50.196121474678534,0.6401617054632883,0.41733213479739556
primary,11,2000,0.5077765445109387,0.4999972500722478,specter/cls,simcse/cls,2166,52.37139449947128,0.610540646502995,0.3715271199373468
primary,11,2000,0.7820833800124932,0.7788275334523628,specter2/cls,scincl/cls,2166,38.11548217975282,0.7867682608774325,0.6171294807065417
primary,11,2000,0.5364184691798964,0.5262563656891183,specter2/cls,scibert/mean,2166,46.880736184332434,0.6835192280342837,0.27012861307917235
primary,11,2000,0.4974532238640046,0.4884523274431655,specter2/cls,bert/mean,2166,54.16954950484214,0.5853886414681377,0.1779988603233797
primary,11,2000,0.7392892401437214,0.7318683314378559,specter2/cls,mpnet/mean,2166,47.354317929454425,0.6774626465557521,0.5948801594253956
primary,11,2000,0.6826502105687133,0.6725803987710574,specter2/cls,minilm/mean,2166,51.16850074052261,0.6270321700015804,0.5234188510816865
primary,11,2000,0.45499573678613886,0.4450261624161957,specter2/cls,pubmedbert/mean,2166,52.3962238203457,0.6101973798258894,0.1975478683152662
primary,11,2000,0.4862976618323395,0.47543026233317587,specter2/cls,biobert/mean,2166,53.03185417927606,0.6013709205220054,0.20898897858588045
primary,11,2000,0.4439276809402579,0.4308238437136267,specter2/cls,simcse/cls,2166,55.63629924067449,0.5644441466281453,0.14966196085501754
primary,11,2000,0.5257616908852322,0.5183432552374787,scincl/cls,scibert/mean,2166,46.6768537927936,0.686112300794817,0.38834264304875427
primary,11,2000,0.5291381774396152,0.5227773652683412,scincl/cls,bert/mean,2166,51.13681965962324,0.6274628100693925,0.37851882911183005
primary,11,2000,0.7972409722017938,0.7940017166719836,scincl/cls,mpnet/mean,2166,43.713225236701604,0.7228076544615547,0.7706964647960661
primary,11,2000,0.7300905094465957,0.7255175388997491,scincl/cls,minilm/mean,2166,48.35592068667671,0.6645013189863481,0.7156035097072975
primary,11,2000,0.44848794814715337,0.44106349525851263,scincl/cls,pubmedbert/mean,2166,50.78405251610202,0.6322449732079091,0.3306704286206737
primary,11,2000,0.4886910653448752,0.48122606152427577,scincl/cls,biobert/mean,2166,51.44219761253916,0.6233038476777532,0.33815462720888784
primary,11,2000,0.4789034089100931,0.4702611258989925,scincl/cls,simcse/cls,2166,53.31754023892576,0.5973796674516795,0.34626717406317836
primary,11,2000,0.728461209659365,0.7239665635246065,scibert/mean,bert/mean,2166,39.95223084983813,0.7665800874563143,0.7222703072466925
primary,11,2000,0.5135663507985141,0.502867832032622,scibert/mean,mpnet/mean,2166,52.007236094029736,0.6155619496492298,0.3986530022205322
primary,11,2000,0.5076206399401957,0.49579278743190935,scibert/mean,minilm/mean,2166,54.17935941042588,0.5852498197211372,0.42127274108958834
primary,11,2000,0.8234825734677153,0.8205079917167187,scibert/mean,pubmedbert/mean,2166,33.61856648472568,0.8327418725044878,0.8441004569048196
primary,11,2000,0.8218397427162266,0.8184691124237629,scibert/mean,biobert/mean,2166,35.94708371882148,0.8095595061720593,0.8340688022997347
primary,11,2000,0.5988203725179975,0.591203817252353,scibert/mean,simcse/cls,2166,47.92257916993411,0.6701341684320168,0.5046395166985379
primary,11,2000,0.5479673961433177,0.539853392553155,bert/mean,mpnet/mean,2166,51.35867758916802,0.6244430764457715,0.4599948264050811
primary,11,2000,0.5739413702923429,0.5659396205988177,bert/mean,minilm/mean,2166,52.82657291746126,0.6042296313024422,0.5210462453777557
primary,11,2000,0.7075867387738776,0.7030853460528722,bert/mean,pubmedbert/mean,2166,39.734075149010465,0.7690195287426804,0.7829672561337554
primary,11,2000,0.7414950875553522,0.7372238392612926,bert/mean,biobert/mean,2166,39.73444015775391,0.769015456475683,0.7969858934598085
primary,11,2000,0.7520310661589658,0.7480478090065106,bert/mean,simcse/cls,2166,37.63345829845616,0.7919332094612027,0.7696891326415459
primary,11,2000,0.8095646427642212,0.803761399764019,mpnet/mean,minilm/mean,2166,42.772787855047554,0.7340524766270636,0.8155723882547901
primary,11,2000,0.45420064014901707,0.44414267603024354,mpnet/mean,pubmedbert/mean,2166,52.71101033087787,0.6058355257027048,0.37464044110963085
primary,11,2000,0.49627109798891506,0.48565245671806584,mpnet/mean,biobert/mean,2166,52.63390602819447,0.6069056212086755,0.38736864966496104
primary,11,2000,0.499704308811098,0.4880178303000401,mpnet/mean,simcse/cls,2166,52.84496765688223,0.60397378522252,0.4399025153368369
primary,11,2000,0.4524484108647822,0.44145554770092593,minilm/mean,pubmedbert/mean,2166,54.95233727620414,0.5742576670197369,0.4129183949818541
primary,11,2000,0.4918946291462943,0.48002787417314,minilm/mean,biobert/mean,2166,54.71719189543412,0.5776127120625372,0.41774973691793627
primary,11,2000,0.5359019741834025,0.5241162610321374,minilm/mean,simcse/cls,2166,53.76485266441845,0.5911005755595385,0.5111953645616213
primary,11,2000,0.848876152356367,0.8463092346752873,pubmedbert/mean,biobert/mean,2166,34.244394431179536,0.8266448075471191,0.8843492459862821
primary,11,2000,0.5696288923986678,0.5626765579732765,pubmedbert/mean,simcse/cls,2166,48.28797278868933,0.6653870701306608,0.5708788922343777
primary,11,2000,0.5827954554585452,0.5751424820869974,biobert/mean,simcse/cls,2166,48.49205202716212,0.6627239357006118,0.5575064954894365
primary,11,2005,0.7255084424035524,0.7220198601480174,specter/cls,specter2/cls,2528,45.664442672890466,0.6988593044040783,0.563747245245866
primary,11,2005,0.8421639186653898,0.8403648864323948,specter/cls,scincl/cls,2528,37.8869768696854,0.7892236893277561,0.7819350944403348
primary,11,2005,0.5594834588752927,0.5541469984865347,specter/cls,scibert/mean,2528,48.44391888579942,0.6633528086149202,0.4425094175572771
primary,11,2005,0.5558207764215579,0.5513586506558481,specter/cls,bert/mean,2528,50.80175579756392,0.632005554621625,0.43240784597952
