field_id,period_start,n,cka_debiased_median,procrustes_similarity_median,rsa_spearman_median
11,2000,2166,0.5434142807232268,0.6494907746937169,0.4599948264050811
11,2005,2528,0.5513586506558481,0.6460550697087684,0.4694370654845931
11,2010,3940,0.5281727410056378,0.6302869863854761,0.4762036809655103
11,2015,4298,0.5865601035247852,0.645482939527632,0.5381558247883889
11,2020,6491,0.5697440880844776,0.6358681293768725,0.5156344555670879
12,2000,2166,0.4962409005910598,0.6015898256251168,0.4174981974923091
12,2005,2166,0.52454615103779,0.6084237401575204,0.4650317003985794
12,2010,2186,0.5516429067214295,0.6110083163765377,0.49724847783412257
12,2015,2732,0.5676974639797724,0.603627505811151,0.5217890856054729
12,2020,3380,0.6026911839935102,0.6101229426455849,0.5336119329065294
13,2000,2739,0.5540722377659579,0.6470107582268358,0.4823654426204133
13,2005,4071,0.5448720724167814,0.6371705198732045,0.47503959914659993
13,2010,5251,0.552389107461005,0.6315456564378046,0.4817043350307621
13,2015,5596,0.5665771841938619,0.6307362506874679,0.4901406474673511
13,2020,6840,0.5767981118951976,0.6383353270277684,0.5022215947035502
14,2000,2166,0.5483383483572831,0.6373935061240198,0.4773010409992524
14,2005,2166,0.5408294578291618,0.6362667350059273,0.4654889996982226
14,2010,2186,0.5289229584555194,0.6369527552089943,0.4757596641809027
14,2015,2660,0.5221974758524144,0.6284903341903513,0.4885982858011144
14,2020,4040,0.5301354386292119,0.6194477987032838,0.47020716120852074
15,2000,2166,0.6567319807492844,0.660958699398234,0.5458164579499964
15,2005,2166,0.6587855442014615,0.6637513516882654,0.5503869017134653
15,2010,2166,0.6715404240073534,0.667193527552596,0.5547918818841472
15,2015,2166,0.6916157541505669,0.6752270044765571,0.5715559852928951
15,2020,2166,0.6705419989854507,0.6762103860873732,0.576717658047291
16,2000,2166,0.6498249236591369,0.6304996869229114,0.5592547794736372
16,2005,2166,0.6738905618257691,0.6393898918110612,0.5816574526941432
16,2010,2166,0.668411030147892,0.6440333781422157,0.5770008248335053
16,2015,2166,0.6686320825632223,0.6423514871154947,0.5848837301382088
16,2020,2166,0.6614538727495226,0.6545088951442335,0.5740193991235448
17,2000,3310,0.5631221792701954,0.6367748142840176,0.45586822884567374
17,2005,5594,0.573383747914332,0.6262006131977724,0.43487284576468166
17,2010,7094,0.556999186177955,0.6201973357910154,0.432926716023815
17,2015,6858,0.5523621442917653,0.6184643471698509,0.44760084362550095
17,2020,9972,0.5795339557556051,0.6154231214223718,0.4952838616897101
18,2000,2166,0.5708155027743165,0.6337984268808008,0.46451415189778633
18,2005,2166,0.5624196497928853,0.6336408587402893,0.46730186414675445
18,2010,2166,0.552843349474491,0.6354464455774586,0.4540038216400098
18,2015,2166,0.57625684401026,0.6418990200713571,0.48769406004723476
18,2020,2166,0.5792193759600084,0.6458048868423583,0.5056604573651529
19,2000,2166,0.6284321139603573,0.664008165943759,0.5069450002618626
19,2005,2166,0.6426338790837154,0.6691060136757909,0.5510631182751569
19,2010,2166,0.6292569666889529,0.6692138402861622,0.5189625048194053
19,2015,2166,0.6450679230523781,0.6739386230985204,0.5200990187172467
19,2020,2166,0.6566523969927083,0.6825199737281978,0.5685887450514706
20,2000,2166,0.5528247691575885,0.637477832199462,0.4811238771013101
20,2005,2166,0.5561592694044271,0.639748439447503,0.5082840161177097
20,2010,2166,0.5499204126348796,0.642452880493846,0.5144131244135314
20,2015,2166,0.5533187506730851,0.6439916488510037,0.4922803994377016
20,2020,2845,0.5548655817061943,0.640395338784471,0.5437079332247693
21,2000,2166,0.722704887226585,0.6742712694030041,0.576352046165379
21,2005,2166,0.7359176613169567,0.6815694236166264,0.6066652322626631
21,2010,2166,0.762076662799633,0.6887393688320906,0.6341904512399752
21,2015,2166,0.7795594002060194,0.6935433179544,0.6722890428277228
21,2020,2166,0.7721799997610462,0.6958717777964744,0.6966933139622347
22,2000,6990,0.5498010089179285,0.5981581720760218,0.4270681740581704
22,2005,11310,0.5564535481550509,0.5942992913346881,0.44679195993548054
22,2010,15203,0.5551213915289585,0.598118216609014,0.4177595514408983
22,2015,14738,0.57125068070976,0.614755439082286,0.41906534024016323
22,2020,18907,0.5764808021737694,0.6256691773644731,0.45027033147367274
23,2000,2166,0.5993079802311805,0.6568819412148564,0.47269057413572496
23,2005,2876,0.6150499989830377,0.6503943061565052,0.49584779691361774
23,2010,4005,0.5997348697539586,0.6373406411231579,0.4930684054001701
23,2015,4018,0.5972958621377575,0.6432594693495037,0.49176880891441993
23,2020,5919,0.5915241292417365,0.6439764377289007,0.49752003994079924
24,2000,2166,0.5895315800343199,0.6487862136482875,0.5266702951811753
24,2005,2166,0.5860399265179851,0.6489795632934192,0.5122273279240686
24,2010,2166,0.5962970970386355,0.6534061957914817,0.5122695318191732
24,2015,2166,0.6013498581239757,0.6587598701900341,0.5049200983823003
24,2020,2166,0.6250069315166789,0.6620452671441998,0.49909050246572556
