model_a,model_b,cells,cka_debiased_mean,cka_debiased_median,cka_debiased_min,cka_debiased_max,cka_debiased_q05,cka_debiased_q95,procrustes_similarity_mean,procrustes_similarity_median,procrustes_similarity_min,procrustes_similarity_max,procrustes_similarity_q05,procrustes_similarity_q95,rsa_spearman_mean,rsa_spearman_median,rsa_spearman_min,rsa_spearman_max,rsa_spearman_q05,rsa_spearman_q95
specter,specter2,130,0.7479692632273178,0.744193862456932,0.6618637706211049,0.8755705275814448,0.6879978297697499,0.8109306026941703,0.7169193698535117,0.7160087422925749,0.6721901487776705,0.759213102308368,0.6833116413601463,0.7495344479922361,0.6366722606779678,0.6333783654479213,0.5107037170877576,0.8326168641340393,0.5568239557210343,0.7306040070310076
specter,scincl,130,0.807217616215905,0.8008050578163981,0.7485672439738043,0.8956758017336967,0.7598496794274381,0.8691878034006236,0.7765000618174621,0.7768969517355188,0.7359833122494022,0.812050899894534,0.7485382256252464,0.8032253838276812,0.7271578867766711,0.7472967022214956,0.5243810680274509,0.8502061364010147,0.5862232424349544,0.8124192240999498
specter,scibert,130,0.5689129103673343,0.5601973946321789,0.41607357850050036,0.8133196159638891,0.44429446036899384,0.7119456413758684,0.6532597059820636,0.6600095291172337,0.5905673683578755,0.7091988630453219,0.6017408084452472,0.6843794720106551,0.46175695427626307,0.46437204627142775,0.3227736204309243,0.7163736620264348,0.34670617031984147,0.5685677724821444
specter,bert,130,0.5653965847759165,0.5538969186452299,0.4248740393061656,0.8222623189853131,0.46343908610429024,0.7007463316122817,0.6191038707569346,0.6200618713235074,0.5535056739922523,0.6958717777964744,0.5718310295068977,0.6732637854366136,0.453714616404459,0.44777474303443765,0.28342453566956277,0.7308503633581263,0.3298990136494984,0.6063963359910166
specter,mpnet,130,0.7694841285744235,0.774192089322356,0.5890457884447747,0.8939436059234377,0.67123424688026,0.8472210093280206,0.7151090873485956,0.7156736254680668,0.6297601740076921,0.7635690854570854,0.6560274729683161,0.7578450207301622,0.6963675235478548,0.7104511942501244,0.5332858840422164,0.8632169394295403,0.5770695853322005,0.802870543948891
specter,minilm,130,0.7280959983675267,0.7262157942502925,0.5802847257546555,0.8637655364998288,0.6572998794939215,0.8085830951667212,0.6663837242204411,0.6713337653220051,0.6015898256251168,0.7129711750245844,0.6221760299337948,0.7019867318767206,0.668874261679061,0.6682297196971992,0.5480255887070657,0.8356678227116712,0.5611260798973646,0.7645456831067147
specter,pubmedbert,130,0.518484283443174,0.519718081717715,0.3549338320166256,0.786594211889766,0.3792987401034809,0.6825489909672624,0.6307879011741667,0.6442973717518793,0.5648279410059238,0.6929210605555103,0.5761544264361796,0.6716567373364783,0.4307660624307854,0.4298042738571731,0.2985747383139366,0.6962844989227129,0.3136803886533009,0.5512677667169688
specter,biobert,130,0.5489668531732865,0.5551187257792705,0.3731799024940757,0.81206291257399,0.39860730130324984,0.705854934486232,0.6250180375173694,0.6365689709280266,0.5564393963306704,0.6867534069251371,0.5618400959550907,0.6726959174194991,0.4232681320382838,0.4222098483002743,0.24701963027448343,0.6966933139622347,0.30238401819700983,0.5385697859379986
specter,simcse,130,0.5449156381801453,0.5312852907936789,0.4374878895175201,0.7453321681138996,0.46951275213650295,0.6773020165827528,0.6011226667899016,0.6044531119844961,0.5259664446466493,0.6611042302854704,0.5549557455428538,0.6406820144401734,0.39444604143540773,0.39366983163542413,0.25037418186043514,0.6316566077201449,0.27262100323472793,0.532419111315205
specter2,scincl,130,0.8074390777523668,0.80976573258034,0.7259185345412751,0.9027593050113802,0.7495560009079363,0.8609562573066591,0.8002100188322425,0.8008719741233266,0.7543107759112864,0.8416788142464791,0.7686509587793834,0.8283455750575861,0.6872610095065342,0.685696935844007,0.5592547794736372,0.8545267788303134,0.5839045728174338,0.7768464998993118
