outcome,field_id,biomedical_models_in_pair,model_pairs,mean
cka_primary,11,0,28,0.6323648478937336
cka_primary,11,1,16,0.579777666243235
cka_primary,11,2,1,0.8481501239377766
cka_primary,12,0,28,0.6001471030666344
cka_primary,12,1,16,0.5404365025069104
cka_primary,12,2,1,0.8255503096668828
cka_primary,13,0,28,0.6113272025167544
cka_primary,13,1,16,0.5930558078445229
cka_primary,13,2,1,0.8523165506328944
cka_primary,14,0,28,0.6044578766301303
cka_primary,14,1,16,0.522871164404163
cka_primary,14,2,1,0.8266059870339717
cka_primary,15,0,28,0.7144546771076488
cka_primary,15,1,16,0.6793574399960292
cka_primary,15,2,1,0.8763799490753638
cka_primary,16,0,28,0.6711665041243581
cka_primary,16,1,16,0.6763439288340166
cka_primary,16,2,1,0.894817686437071
cka_primary,17,0,28,0.6397641062608084
cka_primary,17,1,16,0.5928698020650266
cka_primary,17,2,1,0.8634167621145453
cka_primary,18,0,28,0.6397422127099561
cka_primary,18,1,16,0.5950556352502203
cka_primary,18,2,1,0.8511093934388946
cka_primary,19,0,28,0.6862396070455226
cka_primary,19,1,16,0.6489636706881994
cka_primary,19,2,1,0.8691787876395795
cka_primary,20,0,28,0.6261647916254337
cka_primary,20,1,16,0.5299046057885822
cka_primary,20,2,1,0.8344796621166424
cka_primary,21,0,28,0.7870555522585254
cka_primary,21,1,16,0.7682287946457919
cka_primary,21,2,1,0.9136601098305045
cka_primary,22,0,28,0.6291065690160332
cka_primary,22,1,16,0.5983047083642969
cka_primary,22,2,1,0.8535991331087069
cka_primary,23,0,28,0.6617989038575526
cka_primary,23,1,16,0.6098679062081149
cka_primary,23,2,1,0.8560622304768659
cka_primary,24,0,28,0.6443766335996187
cka_primary,24,1,16,0.6238665966476253
cka_primary,24,2,1,0.8634351820065496
cka_primary,25,0,28,0.6255286065017109
cka_primary,25,1,16,0.6235180835452242
cka_primary,25,2,1,0.8554068471195277
cka_primary,26,0,28,0.6921228084565688
cka_primary,26,1,16,0.6213837823182441
cka_primary,26,2,1,0.8892794197808837
cka_primary,27,0,28,0.570576345026936
cka_primary,27,1,16,0.5066657448321746
cka_primary,27,2,1,0.8383012347876923
cka_primary,28,0,28,0.6567132873864933
cka_primary,28,1,16,0.6422290553104597
cka_primary,28,2,1,0.8637291583113331
cka_primary,29,0,28,0.6853822997752047
cka_primary,29,1,16,0.6260347019668006
cka_primary,29,2,1,0.8626168255669991
cka_primary,30,0,28,0.6513217413153196
cka_primary,30,1,16,0.6309502073473678
cka_primary,30,2,1,0.8755239937169046
cka_primary,31,0,28,0.6694240428563749
cka_primary,31,1,16,0.6484374795009534
cka_primary,31,2,1,0.8796493564188828
cka_primary,32,0,28,0.6231581769328074
cka_primary,32,1,16,0.5655113842494257
cka_primary,32,2,1,0.8632364255365435
cka_primary,33,0,28,0.6182903964245945
cka_primary,33,1,16,0.568161616920907
cka_primary,33,2,1,0.8409367076255603
cka_primary,34,0,28,0.6380937270593962
cka_primary,34,1,16,0.5798893664780491
cka_primary,34,2,1,0.8529616037247976
cka_primary,35,0,28,0.6473945083260445
cka_primary,35,1,16,0.5989677071935535
cka_primary,35,2,1,0.8555815153724359
cka_primary,36,0,28,0.595119965522923
cka_primary,36,1,16,0.5384538134130132
cka_primary,36,2,1,0.8576333662819454
rsa_spearman_primary,11,0,28,0.5431256634978622
rsa_spearman_primary,11,1,16,0.5225951320565793
rsa_spearman_primary,11,2,1,0.8762476986773999
rsa_spearman_primary,12,0,28,0.5326674460689971
rsa_spearman_primary,12,1,16,0.52481664046568
rsa_spearman_primary,12,2,1,0.8799823681956396
rsa_spearman_primary,13,0,28,0.5251899484604928
rsa_spearman_primary,13,1,16,0.5275369186118859
rsa_spearman_primary,13,2,1,0.8642896530979245
rsa_spearman_primary,14,0,28,0.5454242467766204
rsa_spearman_primary,14,1,16,0.4983202855535589
rsa_spearman_primary,14,2,1,0.8528424910482061
rsa_spearman_primary,15,0,28,0.609923632308775
rsa_spearman_primary,15,1,16,0.5684591896526507
rsa_spearman_primary,15,2,1,0.8855148850545886
rsa_spearman_primary,16,0,28,0.6033787038159036
rsa_spearman_primary,16,1,16,0.5308831037253453
rsa_spearman_primary,16,2,1,0.8795210691109047
rsa_spearman_primary,17,0,28,0.4934840229406419
rsa_spearman_primary,17,1,16,0.5035535053679341
rsa_spearman_primary,17,2,1,0.8999268107500201
rsa_spearman_primary,18,0,28,0.5160460121751723
rsa_spearman_primary,18,1,16,0.5047827218682819
rsa_spearman_primary,18,2,1,0.8765100680427741
rsa_spearman_primary,19,0,28,0.5733230477015933
rsa_spearman_primary,19,1,16,0.5761832758489958
rsa_spearman_primary,19,2,1,0.8923423913823558
rsa_spearman_primary,20,0,28,0.5586695549139024
rsa_spearman_primary,20,1,16,0.5377161956503596
rsa_spearman_primary,20,2,1,0.873976075852838
rsa_spearman_primary,21,0,28,0.6723908444774487
rsa_spearman_primary,21,1,16,0.6568957434433894
rsa_spearman_primary,21,2,1,0.8899843011187609
rsa_spearman_primary,22,0,28,0.493103785970245
rsa_spearman_primary,22,1,16,0.4873004402438694
rsa_spearman_primary,22,2,1,0.8662765615727922
rsa_spearman_primary,23,0,28,0.547940594325416
rsa_spearman_primary,23,1,16,0.534672876484907
rsa_spearman_primary,23,2,1,0.8817498886691736
rsa_spearman_primary,24,0,28,0.554707386471608
rsa_spearman_primary,24,1,16,0.5405301286191504
rsa_spearman_primary,24,2,1,0.8605845161833635
rsa_spearman_primary,25,0,28,0.5707925924031206
rsa_spearman_primary,25,1,16,0.5654197041955932
rsa_spearman_primary,25,2,1,0.8739066287062653
rsa_spearman_primary,26,0,28,0.5949671626710501
rsa_spearman_primary,26,1,16,0.549394664073537
rsa_spearman_primary,26,2,1,0.9007500038328742
rsa_spearman_primary,27,0,28,0.4662562806217302
rsa_spearman_primary,27,1,16,0.4481949103141743
rsa_spearman_primary,27,2,1,0.8594005691125999
rsa_spearman_primary,28,0,28,0.5569921642904341
rsa_spearman_primary,28,1,16,0.5589163754645285
rsa_spearman_primary,28,2,1,0.8671940157799849
rsa_spearman_primary,29,0,28,0.5920006827964611
rsa_spearman_primary,29,1,16,0.5495310378545573
rsa_spearman_primary,29,2,1,0.8677191808223143
rsa_spearman_primary,30,0,28,0.566815201043324
rsa_spearman_primary,30,1,16,0.5621436366908905
rsa_spearman_primary,30,2,1,0.8865017341990538
rsa_spearman_primary,31,0,28,0.536554687742915
rsa_spearman_primary,31,1,16,0.5389870480774489
rsa_spearman_primary,31,2,1,0.8847572497856909
rsa_spearman_primary,32,0,28,0.5231376764711085
rsa_spearman_primary,32,1,16,0.4868220601721922
rsa_spearman_primary,32,2,1,0.8686038695935083
rsa_spearman_primary,33,0,28,0.4880194419346525
rsa_spearman_primary,33,1,16,0.485760638951889
rsa_spearman_primary,33,2,1,0.8625055457863642
rsa_spearman_primary,34,0,28,0.512505163279403
rsa_spearman_primary,34,1,16,0.48674957881953307
rsa_spearman_primary,34,2,1,0.8610323749205543
