outcome,feature,coefficient,r_squared,rank,design_condition_number,reference_fraction_R2_ge_observed
cka_primary,intercept,0.6035084226518458,0.3991358683742148,4,4.009829031732691,0.019770563827190626
cka_primary,same_objective,0.186636658489882,0.3991358683742148,4,4.009829031732691,0.019770563827190626
cka_primary,same_broad_domain,-0.011846064266967585,0.3991358683742148,4,4.009829031732691,0.019770563827190626
cka_primary,same_primary_pooling,-0.028619046399602634,0.3991358683742148,4,4.009829031732691,0.019770563827190626
cka_equal2048,intercept,0.6035291213294288,0.39911769631326655,4,4.009829031732691,0.019770563827190626
cka_equal2048,same_objective,0.18660466153265373,0.39911769631326655,4,4.009829031732691,0.019770563827190626
cka_equal2048,same_broad_domain,-0.011858936508737195,0.39911769631326655,4,4.009829031732691,0.019770563827190626
cka_equal2048,same_primary_pooling,-0.028605170137049562,0.39911769631326655,4,4.009829031732691,0.019770563827190626
cka_cls,intercept,0.5255519423832999,0.3153096243128467,4,3.9075676259446483,0.016597510373443983
cka_cls,same_objective,0.21008308986900903,0.3153096243128467,4,3.9075676259446483,0.016597510373443983
cka_cls,same_broad_domain,-0.020963888255213406,0.3153096243128467,4,3.9075676259446483,0.016597510373443983
cka_cls,same_primary_pooling,-0.05320024682870441,0.3153096243128467,4,3.9075676259446483,0.016597510373443983
cka_sep,intercept,0.539741191620552,0.027164033307862434,4,5.4193900286813355,0.6106907493287772
cka_sep,same_objective,0.07941167727409539,0.027164033307862434,4,5.4193900286813355,0.6106907493287772
cka_sep,same_broad_domain,-0.03869692930011401,0.027164033307862434,4,5.4193900286813355,0.6106907493287772
cka_sep,same_primary_pooling,0.0021044472311735657,0.027164033307862434,4,5.4193900286813355,0.6106907493287772
cka_quality,intercept,0.6228977527287124,0.39713175730545147,4,4.009829031732691,0.019282401757383452
cka_quality,same_objective,0.1772146807839001,0.39713175730545147,4,4.009829031732691,0.019282401757383452
cka_quality,same_broad_domain,-0.014308985764708732,0.39713175730545147,4,4.009829031732691,0.019282401757383452
cka_quality,same_primary_pooling,-0.02689042320360265,0.39713175730545147,4,4.009829031732691,0.019282401757383452
neighbors_2048_mean_k25,intercept,0.2867414470645066,0.3709831533799447,4,4.009829031732691,0.020990969001708566
neighbors_2048_mean_k25,same_objective,0.1708453497967839,0.3709831533799447,4,4.009829031732691,0.020990969001708566
neighbors_2048_mean_k25,same_broad_domain,-0.0214957435989414,0.3709831533799447,4,4.009829031732691,0.020990969001708566
neighbors_2048_mean_k25,same_primary_pooling,-0.016059554584481717,0.3709831533799447,4,4.009829031732691,0.020990969001708566
neighbors_2048_cls_k25,intercept,0.24480883126971012,0.2555581123606251,4,3.9075676259446483,0.035635831095923845
neighbors_2048_cls_k25,same_objective,0.14596746894526472,0.2555581123606251,4,3.9075676259446483,0.035635831095923845
neighbors_2048_cls_k25,same_broad_domain,0.0007867622634313297,0.2555581123606251,4,3.9075676259446483,0.035635831095923845
neighbors_2048_cls_k25,same_primary_pooling,-0.07009309612602536,0.2555581123606251,4,3.9075676259446483,0.035635831095923845
neighbors_2048_sep_k25,intercept,0.25920216494011694,0.06899524435174054,4,5.4193900286813355,0.22235782279716865
neighbors_2048_sep_k25,same_objective,0.07194224294318678,0.06899524435174054,4,5.4193900286813355,0.22235782279716865
neighbors_2048_sep_k25,same_broad_domain,-0.010243157545543047,0.06899524435174054,4,5.4193900286813355,0.22235782279716865
neighbors_2048_sep_k25,same_primary_pooling,0.00283446589403116,0.06899524435174054,4,5.4193900286813355,0.22235782279716865
