outcome,composition_feature,spearman_across_26_fields
cka_primary,effective_subfields,-0.372991452991453
cka_primary,largest_subfield_share,0.2574358974358974
cka_primary,mean_abstract_words,-0.3011965811965812
cka_primary,duplicate_text_rate,0.08680790595108567
cka_primary,ambiguous_language_rate,-0.08854700854700855
rsa_spearman_primary,effective_subfields,-0.4666666666666667
rsa_spearman_primary,largest_subfield_share,0.31897435897435894
rsa_spearman_primary,mean_abstract_words,-0.23282051282051283
rsa_spearman_primary,duplicate_text_rate,0.11425704617277284
rsa_spearman_primary,ambiguous_language_rate,0.04752136752136752
procrustes_similarity_primary,effective_subfields,-0.7080341880341879
procrustes_similarity_primary,largest_subfield_share,0.5842735042735042
procrustes_similarity_primary,mean_abstract_words,0.24649572649572649
procrustes_similarity_primary,duplicate_text_rate,0.44398984308578987
procrustes_similarity_primary,ambiguous_language_rate,-0.3435897435897436
cka_raw,effective_subfields,-0.3791452991452991
cka_raw,largest_subfield_share,0.26974358974358975
cka_raw,mean_abstract_words,-0.30461538461538457
cka_raw,duplicate_text_rate,0.08200430641229042
cka_raw,ambiguous_language_rate,-0.0988034188034188
cka_cls,effective_subfields,-0.20615384615384613
cka_cls,largest_subfield_share,0.13777777777777778
cka_cls,mean_abstract_words,-0.47965811965811966
cka_cls,duplicate_text_rate,0.030537168496626972
cka_cls,ambiguous_language_rate,0.21094017094017092
cka_sep,effective_subfields,-0.36615384615384616
cka_sep,largest_subfield_share,0.3107692307692307
cka_sep,mean_abstract_words,-0.13777777777777778
cka_sep,duplicate_text_rate,0.17395892615494243
cka_sep,ambiguous_language_rate,-0.14393162393162393
cka_quality,effective_subfields,-0.29299145299145296
cka_quality,largest_subfield_share,0.15829059829059827
cka_quality,mean_abstract_words,-0.30735042735042734
cka_quality,duplicate_text_rate,0.1712140121327737
cka_quality,ambiguous_language_rate,-0.012649572649572649
cka_equal2048,effective_subfields,-0.3627350427350427
cka_equal2048,largest_subfield_share,0.24786324786324784
cka_equal2048,mean_abstract_words,-0.305982905982906
cka_equal2048,duplicate_text_rate,0.08474922043445914
cka_equal2048,ambiguous_language_rate,-0.08512820512820513
neighbors_all_k10,effective_subfields,-0.6772649572649572
neighbors_all_k10,largest_subfield_share,0.6184615384615384
neighbors_all_k10,mean_abstract_words,0.42905982905982903
neighbors_all_k10,duplicate_text_rate,0.3118908557689204
neighbors_all_k10,ambiguous_language_rate,-0.4947008547008547
neighbors_all_k25,effective_subfields,-0.6752136752136751
neighbors_all_k25,largest_subfield_share,0.5952136752136752
neighbors_all_k25,mean_abstract_words,0.35521367521367525
neighbors_all_k25,duplicate_text_rate,0.2961076001414504
neighbors_all_k25,ambiguous_language_rate,-0.427008547008547
