field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,10,specter,title,specter2,title,model,0.3075,0.3004979777553084
11,10,specter,title,scincl,title,model,0.38,0.3737310414560162
11,10,specter,title,scibert,title,model,0.19190000000000002,0.18372912032355918
11,10,specter,title,bert,title,model,0.1824,0.1741330637007078
11,10,specter,title,mpnet,title,model,0.3194,0.31251830131445907
11,10,specter,title,minilm,title,model,0.2764,0.26908351870576336
11,10,specter,title,pubmedbert,title,model,0.2339,0.22615379170879676
11,10,specter,title,biobert,title,model,0.1758,0.16746632962588476
11,10,specter,title,simcse,title,model,0.1715,0.16312285136501517
11,10,specter,title,specter,abstract,input,0.30110000000000003,0.294033265925177
11,10,specter,title,specter,title_abstract,input,0.41130000000000005,0.4053475227502528
11,10,specter2,title,scincl,title,model,0.3767,0.3703976744186046
11,10,specter2,title,scibert,title,model,0.1759,0.16756734074823054
11,10,specter2,title,bert,title,model,0.1635,0.15504196157735087
11,10,specter2,title,mpnet,title,model,0.3358,0.32908412537917087
11,10,specter2,title,minilm,title,model,0.2887,0.2815078867542973
11,10,specter2,title,pubmedbert,title,model,0.21280000000000002,0.20484044489383219
11,10,specter2,title,biobert,title,model,0.15860000000000002,0.1500924165824065
11,10,specter2,title,simcse,title,model,0.15960000000000002,0.15110252780586453
11,10,specter2,title,specter2,abstract,input,0.2827,0.27544721941354905
11,10,specter2,title,specter2,title_abstract,input,0.3901,0.3839331648129424
11,10,scincl,title,scibert,title,model,0.20929999999999999,0.201305055611729
11,10,scincl,title,bert,title,model,0.18819999999999998,0.17999170879676438
11,10,scincl,title,mpnet,title,model,0.3514,0.3448418604651163
11,10,scincl,title,minilm,title,model,0.314,0.30706370070778566
11,10,scincl,title,pubmedbert,title,model,0.23900000000000002,0.2313053589484328
11,10,scincl,title,biobert,title,model,0.182,0.17372901921132458
11,10,scincl,title,simcse,title,model,0.1728,0.16443599595551062
11,10,scincl,title,scincl,abstract,input,0.3393,0.332619514661274
11,10,scincl,title,scincl,title_abstract,input,0.4321,0.42635783619817996
11,10,scibert,title,bert,title,model,0.22949999999999998,0.2217093023255814
11,10,scibert,title,mpnet,title,model,0.1638,0.15534499494438828
11,10,scibert,title,minilm,title,model,0.15209999999999999,0.1435266936299292
11,10,scibert,title,pubmedbert,title,model,0.3216,0.3147405460060667
11,10,scibert,title,biobert,title,model,0.21539999999999998,0.20746673407482305
11,10,scibert,title,simcse,title,model,0.1496,0.14100141557128415
11,10,scibert,title,scibert,abstract,input,0.132,0.12322345803842266
11,10,scibert,title,scibert,title_abstract,input,0.1518,0.1432236602628918
11,10,bert,title,mpnet,title,model,0.2105,0.20251718907987867
11,10,bert,title,minilm,title,model,0.2042,0.196153488372093
11,10,bert,title,pubmedbert,title,model,0.2779,0.27059868554095046
11,10,bert,title,biobert,title,model,0.22000000000000003,0.21211324570273007
11,10,bert,title,simcse,title,model,0.27349999999999997,0.26615419615773506
11,10,bert,title,bert,abstract,input,0.13720000000000002,0.12847603640040448
11,10,bert,title,bert,title_abstract,input,0.1612,0.15271870576339738
11,10,mpnet,title,minilm,title,model,0.487,0.4818129423660263
11,10,mpnet,title,pubmedbert,title,model,0.2254,0.21756784630940343
11,10,mpnet,title,biobert,title,model,0.1726,0.16423397371081902
11,10,mpnet,title,simcse,title,model,0.20099999999999998,0.1929211324570273
11,10,mpnet,title,mpnet,abstract,input,0.41369999999999996,0.40777178968655203
11,10,mpnet,title,mpnet,title_abstract,input,0.4894,0.4842372093023256
11,10,minilm,title,pubmedbert,title,model,0.2004,0.19231506572295248
11,10,minilm,title,biobert,title,model,0.1565,0.1479711830131446
11,10,minilm,title,simcse,title,model,0.2042,0.196153488372093
11,10,minilm,title,minilm,abstract,input,0.3403,0.33362962588473205
11,10,minilm,title,minilm,title_abstract,input,0.40540000000000004,0.3993878665318504
11,10,pubmedbert,title,biobert,title,model,0.2771,0.269790596562184
11,10,pubmedbert,title,simcse,title,model,0.1774,0.16908250758341759
11,10,pubmedbert,title,pubmedbert,abstract,input,0.1646,0.1561530839231547
11,10,pubmedbert,title,pubmedbert,title_abstract,input,0.1906,0.1824159757330637
11,10,biobert,title,simcse,title,model,0.15760000000000002,0.14908230535894845
11,10,biobert,title,biobert,abstract,input,0.1305,0.1217082912032356
11,10,biobert,title,biobert,title_abstract,input,0.16399999999999998,0.15554701718907987
11,10,simcse,title,simcse,abstract,input,0.1234,0.11453650151668351
