recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
mean,cka,specter,title,0.3620591513099777,0.2075151304597385,0.1545440208502392
mean,cka,specter,abstract,0.3620591513099777,0.044662853527773855,0.31739629778220385
mean,cka,specter2,title,0.37365168821929473,0.20327087271038424,0.1703808155089105
mean,cka,specter2,abstract,0.37365168821929473,0.04812202109681871,0.325529667122476
mean,cka,scincl,title,0.35965108599251894,0.2053150277594626,0.1543360582330563
mean,cka,scincl,abstract,0.35965108599251894,0.028361903686807573,0.3312891823057113
mean,cka,scibert,title,0.35614564653981284,0.5310266189133112,-0.17488097237349828
mean,cka,scibert,abstract,0.35614564653981284,0.013683812575792183,0.3424618339640207
mean,cka,bert,title,0.3578962742272245,0.4185301443716932,-0.06063387014446883
mean,cka,bert,abstract,0.3578962742272245,0.012529849637971645,0.3453664245892528
mean,cka,mpnet,title,0.35627533299363656,0.18997345089228262,0.16630188210135394
mean,cka,mpnet,abstract,0.35627533299363656,0.022072497312031505,0.334202835681605
mean,cka,minilm,title,0.3707476219911189,0.24735312934099923,0.12339449265011966
mean,cka,minilm,abstract,0.3707476219911189,0.03079865749905205,0.3399489644920669
mean,cka,pubmedbert,title,0.38532330127621156,0.5264935522243991,-0.14117025094818753
mean,cka,pubmedbert,abstract,0.38532330127621156,0.016833336354448027,0.3684899649217635
mean,cka,biobert,title,0.362586244326426,0.6351181455307289,-0.2725319012043028
mean,cka,biobert,abstract,0.362586244326426,0.023592501436123323,0.3389937428903026
mean,cka,simcse,title,0.40989032866199443,0.49406914218312364,-0.0841788135211292
mean,cka,simcse,abstract,0.40989032866199443,0.027792771108903498,0.382097557553091
mean,cka,mean_of_ten_fixed_models,title,0.36942266755382164,0.3658665214386123,0.0035561461152092896
mean,cka,mean_of_ten_fixed_models,abstract,0.36942266755382164,0.02684502042357224,0.3425776471302494
mean,neighbors10,specter,title,0.6976713675213675,0.6296923076923077,0.06797905982905982
mean,neighbors10,specter,abstract,0.6976713675213675,0.3333692307692307,0.36430213675213674
mean,neighbors10,specter2,title,0.7181094017094017,0.6262461538461538,0.09186324786324787
mean,neighbors10,specter2,abstract,0.7181094017094017,0.3303038461538462,0.38780555555555557
mean,neighbors10,scincl,title,0.6886465811965811,0.5904230769230769,0.09822350427350426
