field_id,recipe,k,model_a,input_a,model_b,input_b,kind,mean_overlap
11,mean,10,specter,title,specter2,title,model,0.3075
11,mean,10,specter,title,scincl,title,model,0.38
11,mean,10,specter,title,scibert,title,model,0.19190000000000002
11,mean,10,specter,title,bert,title,model,0.1824
11,mean,10,specter,title,mpnet,title,model,0.3194
11,mean,10,specter,title,minilm,title,model,0.2764
11,mean,10,specter,title,pubmedbert,title,model,0.2339
11,mean,10,specter,title,biobert,title,model,0.1758
11,mean,10,specter,title,simcse,title,model,0.1715
11,mean,10,specter,title,specter,abstract,input,0.30110000000000003
11,mean,10,specter,title,specter,title_abstract,input,0.41130000000000005
11,mean,10,specter2,title,scincl,title,model,0.3767
11,mean,10,specter2,title,scibert,title,model,0.1759
11,mean,10,specter2,title,bert,title,model,0.1635
11,mean,10,specter2,title,mpnet,title,model,0.3358
11,mean,10,specter2,title,minilm,title,model,0.2887
11,mean,10,specter2,title,pubmedbert,title,model,0.21280000000000002
11,mean,10,specter2,title,biobert,title,model,0.15860000000000002
11,mean,10,specter2,title,simcse,title,model,0.15960000000000002
11,mean,10,specter2,title,specter2,abstract,input,0.2827
11,mean,10,specter2,title,specter2,title_abstract,input,0.3901
11,mean,10,scincl,title,scibert,title,model,0.20929999999999999
11,mean,10,scincl,title,bert,title,model,0.18819999999999998
11,mean,10,scincl,title,mpnet,title,model,0.3514
11,mean,10,scincl,title,minilm,title,model,0.314
11,mean,10,scincl,title,pubmedbert,title,model,0.23900000000000002
11,mean,10,scincl,title,biobert,title,model,0.182
11,mean,10,scincl,title,simcse,title,model,0.1728
11,mean,10,scincl,title,scincl,abstract,input,0.3393
11,mean,10,scincl,title,scincl,title_abstract,input,0.4321
11,mean,10,scibert,title,bert,title,model,0.22949999999999998
11,mean,10,scibert,title,mpnet,title,model,0.1638
11,mean,10,scibert,title,minilm,title,model,0.15209999999999999
11,mean,10,scibert,title,pubmedbert,title,model,0.3216
11,mean,10,scibert,title,biobert,title,model,0.21539999999999998
11,mean,10,scibert,title,simcse,title,model,0.1496
11,mean,10,scibert,title,scibert,abstract,input,0.132
11,mean,10,scibert,title,scibert,title_abstract,input,0.1518
11,mean,10,bert,title,mpnet,title,model,0.2105
11,mean,10,bert,title,minilm,title,model,0.2042
11,mean,10,bert,title,pubmedbert,title,model,0.2779
11,mean,10,bert,title,biobert,title,model,0.22000000000000003
11,mean,10,bert,title,simcse,title,model,0.27349999999999997
11,mean,10,bert,title,bert,abstract,input,0.13720000000000002
11,mean,10,bert,title,bert,title_abstract,input,0.1612
11,mean,10,mpnet,title,minilm,title,model,0.487
11,mean,10,mpnet,title,pubmedbert,title,model,0.2254
11,mean,10,mpnet,title,biobert,title,model,0.1726
11,mean,10,mpnet,title,simcse,title,model,0.20099999999999998
11,mean,10,mpnet,title,mpnet,abstract,input,0.41369999999999996
11,mean,10,mpnet,title,mpnet,title_abstract,input,0.4894
11,mean,10,minilm,title,pubmedbert,title,model,0.2004
11,mean,10,minilm,title,biobert,title,model,0.1565
