field_id,recipe,model_a,input_a,model_b,input_b,kind,cka_debiased
11,mean,specter,title,specter2,title,model,0.6855926823473547
11,mean,specter,title,scincl,title,model,0.7478716742386604
11,mean,specter,title,scibert,title,model,0.5299664177039338
11,mean,specter,title,bert,title,model,0.5314822044992765
11,mean,specter,title,mpnet,title,model,0.666426898667159
11,mean,specter,title,minilm,title,model,0.6138630943281637
11,mean,specter,title,pubmedbert,title,model,0.5448129045886962
11,mean,specter,title,biobert,title,model,0.3104934344999597
11,mean,specter,title,simcse,title,model,0.47133570217357795
11,mean,specter,title,specter,abstract,input,0.728902441964843
11,mean,specter,title,specter,title_abstract,input,0.8223097509415274
11,mean,specter2,title,scincl,title,model,0.7798579227522489
11,mean,specter2,title,scibert,title,model,0.5181091679253601
11,mean,specter2,title,bert,title,model,0.5191135732468398
11,mean,specter2,title,mpnet,title,model,0.6863591271093221
11,mean,specter2,title,minilm,title,model,0.6293841822596403
11,mean,specter2,title,pubmedbert,title,model,0.5178781897525385
11,mean,specter2,title,biobert,title,model,0.28723345192456695
11,mean,specter2,title,simcse,title,model,0.43514489702861525
11,mean,specter2,title,specter2,abstract,input,0.7139017860004094
11,mean,specter2,title,specter2,title_abstract,input,0.8146842129888694
11,mean,scincl,title,scibert,title,model,0.5513905101892657
11,mean,scincl,title,bert,title,model,0.5377687991330925
11,mean,scincl,title,mpnet,title,model,0.6761126084870793
11,mean,scincl,title,minilm,title,model,0.624289866431201
11,mean,scincl,title,pubmedbert,title,model,0.5409762738290457
11,mean,scincl,title,biobert,title,model,0.3030449051245201
11,mean,scincl,title,simcse,title,model,0.45664964312079653
11,mean,scincl,title,scincl,abstract,input,0.7404000706361827
11,mean,scincl,title,scincl,title_abstract,input,0.8158053542456849
11,mean,scibert,title,bert,title,model,0.5770368180915848
11,mean,scibert,title,mpnet,title,model,0.4621998235235492
11,mean,scibert,title,minilm,title,model,0.4349577036684375
11,mean,scibert,title,pubmedbert,title,model,0.6790370932375533
11,mean,scibert,title,biobert,title,model,0.34720476624632907
11,mean,scibert,title,simcse,title,model,0.4104658902844086
11,mean,scibert,title,scibert,abstract,input,0.3883844547042901
11,mean,scibert,title,scibert,title_abstract,input,0.4425369008884893
11,mean,bert,title,mpnet,title,model,0.5403562319387117
11,mean,bert,title,minilm,title,model,0.5402407877635738
11,mean,bert,title,pubmedbert,title,model,0.6343143275375682
11,mean,bert,title,biobert,title,model,0.35378248112383937
11,mean,bert,title,simcse,title,model,0.6292260309645001
11,mean,bert,title,bert,abstract,input,0.5238819256505749
11,mean,bert,title,bert,title_abstract,input,0.574678929500503
11,mean,mpnet,title,minilm,title,model,0.7505083888545061
11,mean,mpnet,title,pubmedbert,title,model,0.502671820245921
11,mean,mpnet,title,biobert,title,model,0.2886357872593563
11,mean,mpnet,title,simcse,title,model,0.480578173256011
11,mean,mpnet,title,mpnet,abstract,input,0.7705540017775279
11,mean,mpnet,title,mpnet,title_abstract,input,0.8325443250533908
11,mean,minilm,title,pubmedbert,title,model,0.4714639000945801
11,mean,minilm,title,biobert,title,model,0.27388407302299694
