field_id,model_a,input_a,model_b,input_b,kind,rows,cka_debiased,rsa_spearman
11,specter,title,specter2,title,model,1000,0.6855926823473263,0.5274517348876298
11,specter,title,scincl,title,model,1000,0.7478716742386778,0.6520639029521595
11,specter,title,scibert,title,model,1000,0.5299664177039386,0.36623292782908234
11,specter,title,bert,title,model,1000,0.5314822044992515,0.363021956337055
11,specter,title,mpnet,title,model,1000,0.6664268986671524,0.5875097611322739
11,specter,title,minilm,title,model,1000,0.613863094328161,0.5599605455899014
11,specter,title,pubmedbert,title,model,1000,0.5448129045886907,0.3589491121518726
11,specter,title,biobert,title,model,1000,0.3104934344999597,0.25137120110242844
11,specter,title,simcse,title,model,1000,0.47133570217357795,0.36168683221771847
11,specter,title,specter,abstract,input,1000,0.728902441964843,0.6845941124954887
11,specter,title,specter,title_abstract,input,1000,0.8223097509415274,0.775951538743877
11,specter2,title,scincl,title,model,1000,0.7798579227522401,0.6170056765505145
11,specter2,title,scibert,title,model,1000,0.5181091679253679,0.3104816432992039
11,specter2,title,bert,title,model,1000,0.5191135732468528,0.2830102976080258
11,specter2,title,mpnet,title,model,1000,0.6863591271093001,0.5961526844558817
11,specter2,title,minilm,title,model,1000,0.6293841822596375,0.5284913054637279
11,specter2,title,pubmedbert,title,model,1000,0.5178781897525294,0.2904796812406991
11,specter2,title,biobert,title,model,1000,0.28723345192456695,0.19532151008480417
11,specter2,title,simcse,title,model,1000,0.43514489702861525,0.29596233093940577
11,specter2,title,specter2,abstract,input,1000,0.7139017860004094,0.6575967227639918
11,specter2,title,specter2,title_abstract,input,1000,0.8146842129888694,0.769521776298806
11,scincl,title,scibert,title,model,1000,0.5513905101892673,0.3836579213301447
11,scincl,title,bert,title,model,1000,0.5377687991330937,0.42910184263675466
11,scincl,title,mpnet,title,model,1000,0.6761126084870526,0.6380208440795521
11,scincl,title,minilm,title,model,1000,0.6242898664312465,0.6070605646691526
11,scincl,title,pubmedbert,title,model,1000,0.5409762738290328,0.3940083917365208
11,scincl,title,biobert,title,model,1000,0.3030449051245201,0.2735443355563603
11,scincl,title,simcse,title,model,1000,0.45664964312079653,0.40314294235785547
11,scincl,title,scincl,abstract,input,1000,0.7404000706361827,0.7308787895386971
11,scincl,title,scincl,title_abstract,input,1000,0.8158053542456849,0.8004364316235915
11,scibert,title,bert,title,model,1000,0.5770368180916012,0.5388424630921066
11,scibert,title,mpnet,title,model,1000,0.4621998235235507,0.3756940199312352
11,scibert,title,minilm,title,model,1000,0.43495770366844705,0.3670515569981284
11,scibert,title,pubmedbert,title,model,1000,0.6790370932375845,0.5885715641039293
11,scibert,title,biobert,title,model,1000,0.34720476624632907,0.3962007024020002
11,scibert,title,simcse,title,model,1000,0.4104658902844086,0.3924906015692254
11,scibert,title,scibert,abstract,input,1000,0.3883844547042901,0.2777259355468131
11,scibert,title,scibert,title_abstract,input,1000,0.4425369008884893,0.32174962079737324
11,bert,title,mpnet,title,model,1000,0.5403562319387296,0.47866209020665557
11,bert,title,minilm,title,model,1000,0.5402407877635528,0.49903045594307593
11,bert,title,pubmedbert,title,model,1000,0.6343143275375694,0.6505613744974035
11,bert,title,biobert,title,model,1000,0.35378248112383937,0.5325750255309417
11,bert,title,simcse,title,model,1000,0.6292260309645001,0.6871154032952868
