model,input_condition,fields,pass,max_median_change,max_central95_width
specter,title,26,25,0.005215831074216193,0.04987437752806535
specter,abstract,26,26,0.003709340112831916,0.03272985754897334
specter2,title,26,26,0.006264923656674665,0.03635793527552862
specter2,abstract,26,26,0.003462364513970695,0.030723515559039793
scincl,title,26,26,0.006179641224892396,0.039451707688044166
scincl,abstract,26,26,0.0025106641592383405,0.034671236941743455
scibert,title,26,25,0.0038343025836304334,0.04043886799905394
scibert,abstract,26,26,0.004564648482481615,0.03551292903911779
bert,title,26,21,0.0064268743191844,0.048497892154822295
bert,abstract,26,26,0.0032175132550595342,0.031379635162357145
mpnet,title,26,26,0.004453351953325579,0.036178757369642295
mpnet,abstract,26,26,0.0031749310497710126,0.028429296562463235
minilm,title,26,26,0.0038644894153154197,0.03458123787566874
minilm,abstract,26,26,0.002929942108632011,0.027399499479076384
pubmedbert,title,26,16,0.006014462750540711,0.06489742853302694
pubmedbert,abstract,26,25,0.012020913042929071,0.04355514605167221
biobert,title,26,20,0.004267518641641321,0.04740753687144139
biobert,abstract,26,19,0.011010238114823045,0.0907540776511988
simcse,title,26,26,0.004283203261103485,0.039201425108814386
simcse,abstract,26,26,0.003441656461436793,0.03234016283854191
mean_of_ten_fixed_models,title,26,26,0.003424679046755079,0.023137282298447952
mean_of_ten_fixed_models,abstract,26,26,0.003310090867226445,0.03311593311284777
