model,condition,rows,truncated_rows,original_tokens,lost_tokens,native_exact_reuse
specter,title,26000,0,517688,0,0
specter,abstract,26000,1204,6671483,348602,0
specter,title_abstract,26000,1425,7163171,378100,26000
specter2,title,26000,0,495874,0,0
specter2,abstract,26000,1086,6475410,314910,0
specter2,title_abstract,26000,1287,6945284,339642,26000
scincl,title,26000,0,495869,0,0
scincl,abstract,26000,1086,6475089,314899,0
scincl,title_abstract,26000,1287,6944958,339631,26000
scibert,title,26000,0,495874,0,0
scibert,abstract,26000,1086,6475410,314910,0
scibert,title_abstract,26000,1280,6919284,338355,26000
bert,title,26000,0,544367,0,0
bert,abstract,26000,1394,6889103,375385,0
bert,title_abstract,26000,1674,7381470,410860,26000
mpnet,title,26000,0,544367,0,0
mpnet,abstract,26000,4033,6889103,688486,0
mpnet,title_abstract,26000,4929,7381470,795325,26000
minilm,title,26000,0,544367,0,0
minilm,abstract,26000,11012,6889103,1608885,0
minilm,title_abstract,26000,12414,7381470,1866966,26000
pubmedbert,title,26000,0,495269,0,0
pubmedbert,abstract,26000,1050,6457201,316854,0
pubmedbert,title_abstract,26000,1216,6900470,338981,26000
biobert,title,26000,0,667269,0,0
biobert,abstract,26000,1712,7240779,432415,0
biobert,title_abstract,26000,2179,7856048,489838,26000
simcse,title,26000,0,544367,0,0
simcse,abstract,26000,1394,6889103,375385,0
simcse,title_abstract,26000,1674,7381470,410860,26000
