outcome,field_a,field_b,biomedical_models_in_pair,model_pairs,group_difference,weighted_contribution,total_difference
cka_primary,27,21,0,28,-0.21647920723158917,-0.13469817338854437,-0.22937301054544862
cka_primary,27,21,1,16,-0.2615630498136172,-0.09300019548928613,-0.22937301054544862
cka_primary,27,21,2,1,-0.07535887504281225,-0.00167464166761805,-0.22937301054544862
cka_primary,27,31,0,28,-0.09884769782943918,-0.06150523420498438,-0.11283180923457664
cka_primary,27,31,1,16,-0.1417717346687788,-0.05040772788223246,-0.11283180923457664
cka_primary,27,31,2,1,-0.041348121631190504,-0.0009188471473597891,-0.11283180923457664
cka_primary,27,26,0,28,-0.121546463429633,-0.07562891057843832,-0.11755039468444502
cka_primary,27,26,1,16,-0.11471803748606947,-0.04078863555060248,-0.11755039468444502
cka_primary,27,26,2,1,-0.0509781849931914,-0.0011328485554042533,-0.11755039468444502
rsa_spearman_primary,27,21,0,28,-0.20613456385571843,-0.12826150639911368,-0.20314588555630486
rsa_spearman_primary,27,21,1,16,-0.20870083312921509,-0.07420474066816536,-0.20314588555630486
rsa_spearman_primary,27,21,2,1,-0.030583732006161046,-0.0006796384890258011,-0.20314588555630486
rsa_spearman_primary,27,31,0,28,-0.07029840712118483,-0.04374123109762612,-0.0765863618728591
rsa_spearman_primary,27,31,1,16,-0.09079213776327456,-0.03228164898249762,-0.0765863618728591
rsa_spearman_primary,27,31,2,1,-0.025356680673091048,-0.0005634817927353566,-0.0765863618728591
rsa_spearman_primary,27,26,0,28,-0.12871088204931982,-0.08008677105291011,-0.11698778205002291
rsa_spearman_primary,27,26,1,16,-0.10119975375936265,-0.03598213466999561,-0.11698778205002291
rsa_spearman_primary,27,26,2,1,-0.0413494347202743,-0.0009188763271172068,-0.11698778205002291
procrustes_similarity_primary,27,21,0,28,-0.08901674285158438,-0.05538819555209695,-0.08507632851843772
procrustes_similarity_primary,27,21,1,16,-0.08166383367415911,-0.02903602975081213,-0.08507632851843772
procrustes_similarity_primary,27,21,2,1,-0.02934464469878917,-0.0006521032155286482,-0.08507632851843772
procrustes_similarity_primary,27,31,0,28,-0.04623729084499696,-0.02876986985910922,-0.045809809115841205
procrustes_similarity_primary,27,31,1,16,-0.04661776874495475,-0.0165752066648728,-0.045809809115841205
procrustes_similarity_primary,27,31,2,1,-0.020912966633663155,-0.0004647325918591812,-0.045809809115841205
procrustes_similarity_primary,27,26,0,28,-0.043962714001604244,-0.027354577600998197,-0.034682812091677034
procrustes_similarity_primary,27,26,1,16,-0.020219617900436575,-0.007189197475710782,-0.034682812091677034
procrustes_similarity_primary,27,26,2,1,-0.00625666567356209,-0.00013903701496804645,-0.034682812091677034
cka_raw,27,21,0,28,-0.21773408203616193,-0.1354789843780563,-0.2314280707114767
cka_raw,27,21,1,16,-0.26446223186517004,-0.09403101577428269,-0.2314280707114767
cka_raw,27,21,2,1,-0.08631317516119597,-0.0019180705591376882,-0.2314280707114767
cka_raw,27,31,0,28,-0.09662698207942219,-0.06012345551608492,-0.11317892782902471
cka_raw,27,31,1,16,-0.14593475965917854,-0.051887914545485705,-0.11317892782902471
cka_raw,27,31,2,1,-0.05254009953543359,-0.00116755776745408,-0.11317892782902471
cka_raw,27,26,0,28,-0.11782867983933347,-0.07331562301114082,-0.11547083295260942
cka_raw,27,26,1,16,-0.11474784397145557,-0.040799233412073095,-0.11547083295260942
cka_raw,27,26,2,1,-0.06101894382279571,-0.0013559765293954603,-0.11547083295260942
cka_cls,27,21,0,28,-0.22049012916601596,-0.13719385814774326,-0.2302256774971882
cka_cls,27,21,1,16,-0.2523783802203954,-0.08973453518947391,-0.2302256774971882
cka_cls,27,21,2,1,-0.148377787198694,-0.0032972841599709776,-0.2302256774971882
cka_cls,27,31,0,28,-0.09136083742796752,-0.05684674328851313,-0.10722751325954749
cka_cls,27,31,1,16,-0.13631534569233394,-0.04846767846838541,-0.10722751325954749
cka_cls,27,31,2,1,-0.08608911761920401,-0.0019130915026489782,-0.10722751325954749
cka_cls,27,26,0,28,-0.14666856184516533,-0.09126043848143621,-0.14564122275923094
cka_cls,27,26,1,16,-0.14677685870814153,-0.05218732754067255,-0.14564122275923094
cka_cls,27,26,2,1,-0.09870555317049812,-0.0021934567371221804,-0.14564122275923094
cka_sep,27,21,0,28,-0.20030705917979905,-0.12463550348965274,-0.19917043288466085
cka_sep,27,21,1,16,-0.20188778854559408,-0.07178232481621123,-0.19917043288466085
cka_sep,27,21,2,1,-0.12386720604585932,-0.002752604578796874,-0.19917043288466085
cka_sep,27,31,0,28,-0.07363702650052047,-0.04581859426699051,-0.06525471261116329
cka_sep,27,31,1,16,-0.051836234166161135,-0.018430661036857292,-0.06525471261116329
cka_sep,27,31,2,1,-0.045245578829196664,-0.0010054573073154814,-0.06525471261116329
cka_sep,27,26,0,28,-0.11605985669038744,-0.07221502194068552,-0.08446132822804375
cka_sep,27,26,1,16,-0.03262677597097946,-0.011600631456348253,-0.08446132822804375
cka_sep,27,26,2,1,-0.02905536739544945,-0.0006456748310099878,-0.08446132822804375
cka_quality,27,21,0,28,-0.21756270777247436,-0.13537235150287294,-0.22899164851043083
cka_quality,27,21,1,16,-0.2589924272510216,-0.0920861963559188,-0.22899164851043083
cka_quality,27,21,2,1,-0.06898952932375924,-0.0015331006516390942,-0.22899164851043083
cka_quality,27,31,0,28,-0.1058617225727971,-0.0658695162675182,-0.11785639511585308
cka_quality,27,31,1,16,-0.14409985067096426,-0.05123550246078729,-0.11785639511585308
cka_quality,27,31,2,1,-0.033811937439642725,-0.0007513763875476162,-0.11785639511585308
cka_quality,27,26,0,28,-0.1509570355631747,-0.09392882212819759,-0.1524341337334681
cka_quality,27,26,1,16,-0.16100353785250976,-0.057245702347559026,-0.1524341337334681
cka_quality,27,26,2,1,-0.05668241659701767,-0.001259609257711504,-0.1524341337334681
cka_equal2048,27,21,0,28,-0.21649342327709403,-0.13470701892796963,-0.22926910716117155
cka_equal2048,27,21,1,16,-0.26126196091568055,-0.09289314165890865,-0.22926910716117155
cka_equal2048,27,21,2,1,-0.07510259584319912,-0.0016689465742933138,-0.22926910716117155
cka_equal2048,27,31,0,28,-0.09917245699209147,-0.06170730657285692,-0.11323157092175408
cka_equal2048,27,31,1,16,-0.14232866607007638,-0.05060574793602716,-0.11323157092175408
cka_equal2048,27,31,2,1,-0.041333238579150056,-0.0009185164128700013,-0.11323157092175408
cka_equal2048,27,26,0,28,-0.12157002849784837,-0.0756435732875501,-0.1175297562538406
cka_equal2048,27,26,1,16,-0.11462346539722673,-0.04075500991901395,-0.1175297562538406
cka_equal2048,27,26,2,1,-0.05090278712744434,-0.0011311730472765408,-0.1175297562538406
neighbors_all_k10,27,21,0,28,-0.05943909824596412,-0.03698432779748879,-0.06009624732908479
neighbors_all_k10,27,21,1,16,-0.06305691332744165,-0.022420235849757032,-0.06009624732908479
neighbors_all_k10,27,21,2,1,-0.031125765682753492,-0.0006916836818389665,-0.06009624732908479
neighbors_all_k10,27,31,0,28,-0.04186839276275544,-0.026051444385714495,-0.04491516932092006
neighbors_all_k10,27,31,1,16,-0.051508499055197804,-0.018314132997403663,-0.04491516932092006
neighbors_all_k10,27,31,2,1,-0.024731637201085677,-0.0005495919378019039,-0.04491516932092006
neighbors_all_k10,27,26,0,28,-0.027556431051662576,-0.017146223765478936,-0.02144497001298752
neighbors_all_k10,27,26,1,16,-0.014035098923009519,-0.0049902573948478295,-0.02144497001298752
neighbors_all_k10,27,26,2,1,0.03111800163026579,0.0006915111473392398,-0.02144497001298752
