outcome,field_id,model,mean_agreement_other_nine,pair_and_field_adjusted_residual
cka_primary,11,specter,0.6382310235681111,0.01188647256522626
cka_primary,11,specter2,0.5993436612580691,-0.015091025861002342
cka_primary,11,scincl,0.6359324324069001,0.008545711792683437
cka_primary,11,scibert,0.6358569192956242,0.00330589014885041
cka_primary,11,bert,0.6323396850948602,0.003211832067599094
cka_primary,11,mpnet,0.6382052098586459,0.007125947646398944
cka_primary,11,minilm,0.6212285032344635,0.004898623272931446
cka_primary,11,pubmedbert,0.5992335030774152,-0.004281693688120863
cka_primary,11,biobert,0.6199601533411752,-0.005717602478650312
cka_primary,11,simcse,0.5642930254989754,-0.013884155465915728
cka_primary,12,specter,0.5556121937627847,-0.036195573035414444
cka_primary,12,specter2,0.5658438287037278,-0.014054074210657888
cka_primary,12,scincl,0.5896056480282417,-0.003244288381289231
cka_primary,12,scibert,0.6198783788265897,0.021864133884501726
cka_primary,12,bert,0.6379993850911346,0.04340831626855943
cka_primary,12,mpnet,0.5685855664157294,-0.02795691159183189
cka_primary,12,minilm,0.5656353903675017,-0.016157705389344676
cka_primary,12,pubmedbert,0.5657468827354365,-0.003231529825413662
cka_primary,12,biobert,0.5784847460917116,-0.012656225523428218
cka_primary,12,simcse,0.5918642545645232,0.04822385780431784
cka_primary,13,specter,0.625091895332599,0.007023730512818522
cka_primary,13,specter2,0.582469220131498,-0.02368908080446898
cka_primary,13,scincl,0.6321506936770851,0.01304035924597291
cka_primary,13,scibert,0.6300417453551411,0.005767102391471934
cka_primary,13,bert,0.6128089849066036,-0.008042481937552895
cka_primary,13,mpnet,0.6222495408562403,-0.0005533351729022362
cka_primary,13,minilm,0.6080350059881199,-1.848779030781215e-05
cka_primary,13,pubmedbert,0.6070302557566158,0.011791445174184314
cka_primary,13,biobert,0.636694858329846,0.019293488693124788
cka_primary,13,simcse,0.5452880544694468,-0.02461274031233973
cka_primary,14,specter,0.5632804950986918,-0.024987536755085235
cka_primary,14,specter2,0.6017183295805361,0.02536016161057233
cka_primary,14,scincl,0.5822916524798604,-0.0070185489852484274
cka_primary,14,scibert,0.590094001733487,-0.0043805082641789304
cka_primary,14,bert,0.5933563003210002,0.002304966442847081
cka_primary,14,mpnet,0.6071590119850916,0.014156268921952332
cka_primary,14,minilm,0.588242952489837,0.00998959167741282
cka_primary,14,pubmedbert,0.5423838174086996,-0.02305486020772856
cka_primary,14,biobert,0.5708551386506949,-0.016746098020022693
cka_primary,14,simcse,0.5644772253952629,0.024376563579479555
cka_primary,15,specter,0.7410112285939576,0.027555090409474473
cka_primary,15,specter2,0.7002875464165552,-0.0012587278841145312
cka_primary,15,scincl,0.7197554247867359,0.00525711699092108
cka_primary,15,scibert,0.7089017047352326,-0.010760911593139287
cka_primary,15,bert,0.6872390821759842,-0.02900035803287504
cka_primary,15,mpnet,0.7257052871344456,0.0075144377406003195
cka_primary,15,minilm,0.7060781262153947,0.0026366590722644145
cka_primary,15,pubmedbert,0.6857370948361506,-0.004889689110983432
cka_primary,15,biobert,0.7167605649513152,0.003971221949891425
cka_primary,15,simcse,0.6642639286044498,-0.001024839542039419
cka_primary,16,specter,0.7127852787342742,0.026925746877849703
cka_primary,16,specter2,0.6527207365568658,-0.02122893141574527
cka_primary,16,scincl,0.6581472171528403,-0.02875448431491602
cka_primary,16,scibert,0.7158974101283019,0.023831400127988605
cka_primary,16,bert,0.6827572932876275,-0.005885540593173083
cka_primary,16,mpnet,0.6738876941862191,-0.016706548879567486
cka_primary,16,minilm,0.6552037187789747,-0.020641142036097078
cka_primary,16,pubmedbert,0.6988028586811242,0.03577268106204867
cka_primary,16,biobert,0.7024347228986989,0.017241986225333843
cka_primary,16,simcse,0.6271369947647093,-0.01055516705372154
cka_primary,17,specter,0.6209340705199187,-0.015008703718600056
cka_primary,17,specter2,0.6415424663461285,0.017509555991423058
cka_primary,17,scincl,0.6372283011196154,0.00024335726976495073
cka_primary,17,scibert,0.6252119736184009,-0.016937278764006698
cka_primary,17,bert,0.6325059575526449,-0.006220118710249929
cka_primary,17,mpnet,0.6427833824417407,0.0021058969938598914
cka_primary,17,minilm,0.6320607108126642,0.006132607615498214
cka_primary,17,pubmedbert,0.6207270487388001,0.007613628737630347
cka_primary,17,biobert,0.6251341020689237,-0.010141876986535594
cka_primary,17,simcse,0.6024783357717404,0.014702931571215395
cka_primary,18,specter,0.6162826867781728,-0.020150152857314436
cka_primary,18,specter2,0.6407072212118041,0.01618424546013027
cka_primary,18,scincl,0.642534956125992,0.005059946879173068
cka_primary,18,scibert,0.6278189686520944,-0.014820349127281744
cka_primary,18,bert,0.6338536895177528,-0.005362452142110581
cka_primary,18,mpnet,0.6500167983749858,0.00884924753013642
cka_primary,18,minilm,0.6279026644060521,0.001484495811917736
cka_primary,18,pubmedbert,0.614335906425677,0.000732421027538726
cka_primary,18,biobert,0.6326761992278022,-0.0030898452246257055
cka_primary,18,simcse,0.5993779122399309,0.011112442642437381
cka_primary,19,specter,0.6915928239445871,0.006659428695672758
cka_primary,19,specter2,0.6590902677542725,-0.013933263610828374
cka_primary,19,scincl,0.6871625788844351,0.001187014024189143
cka_primary,19,scibert,0.6898500785244007,-0.001289794868402404
cka_primary,19,bert,0.7121250444592486,0.024408347185958253
cka_primary,19,mpnet,0.680013325807176,-0.00965478065110048
cka_primary,19,minilm,0.6726026276660325,-0.0023160965415289533
cka_primary,19,pubmedbert,0.6818440285335537,0.01973998752198843
cka_primary,19,biobert,0.6650200054987072,-0.01924659456714771
cka_primary,19,simcse,0.6312117780221201,-0.005554247188800364
cka_primary,20,specter,0.5764999026525712,-0.02795040380346963
cka_primary,20,specter2,0.6084231374573578,0.015882694885130094
cka_primary,20,scincl,0.6036232595600208,-0.0018692165073518835
cka_primary,20,scibert,0.6208320381892004,0.010175253589270739
cka_primary,20,bert,0.6293164704275108,0.02208286194709372
cka_primary,20,mpnet,0.6188259963178759,0.009640978652472931
cka_primary,20,minilm,0.6016377368223117,0.007202101407623624
cka_primary,20,pubmedbert,0.5563887785693468,-0.02523217364934523
cka_primary,20,biobert,0.5711037788584977,-0.032679732414483915
cka_primary,20,simcse,0.5790305723111067,0.02274763589305948
cka_primary,21,specter,0.8081966046059978,0.017139436657606248
cka_primary,21,specter2,0.7817956426913226,0.002648338626744431
cka_primary,21,scincl,0.7841819377553475,-0.007917399804375842
cka_primary,21,scibert,0.7870379653851061,-0.010225680707174433
cka_primary,21,bert,0.7955770525542855,0.0017365825815177773
cka_primary,21,mpnet,0.7962580025544113,0.0004661233966574881
cka_primary,21,minilm,0.7780024115298543,-0.003040085377184488
cka_primary,21,pubmedbert,0.7753090679029508,0.007081254191908217
cka_primary,21,biobert,0.7934665914296801,0.0030762186643478926
cka_primary,21,simcse,0.7319250096803507,-0.010964788230047047
cka_primary,22,specter,0.629261876327291,-0.0017637829985339569
cka_primary,22,specter2,0.6307009277465982,0.011585132304586588
cka_primary,22,scincl,0.634031584647866,0.0019637557107092065
cka_primary,22,scibert,0.6203693212312419,-0.016862816238471953
cka_primary,22,bert,0.6373590473419269,0.003550085991725781
cka_primary,22,mpnet,0.6279405788259913,-0.00781979170919579
cka_primary,22,minilm,0.6026189153827561,-0.01839207290171606
cka_primary,22,pubmedbert,0.6199787658007301,0.011782460712254035
cka_primary,22,biobert,0.6333627453155104,0.0030038811727447984
cka_primary,22,simcse,0.5958114372437295,0.012953147955898216
cka_primary,23,specter,0.6569430980711398,0.0014094467801638465
cka_primary,23,specter2,0.6493850043228891,0.005761216915726532
cka_primary,23,scincl,0.6603261632575985,0.003750342355290765
cka_primary,23,scibert,0.6498044176158224,-0.011935711819042405
cka_primary,23,bert,0.6766804492724696,0.01836349595711744
cka_primary,23,mpnet,0.6622904404643114,0.0020220779639733813
cka_primary,23,minilm,0.6497061325907941,0.004187152341171051
cka_primary,23,pubmedbert,0.6320512317102432,-0.0006530653433837679
cka_primary,23,biobert,0.6423944305434869,-0.01247242556442977
cka_primary,23,simcse,0.5969337516663954,-0.010432529586586704
cka_primary,24,specter,0.6563180744601307,0.006483791361605768
cka_primary,24,specter2,0.6249334942983258,-0.012990924916385748
cka_primary,24,scincl,0.6592170549625489,0.008340602252692139
cka_primary,24,scibert,0.6687467332196255,0.012705971977211584
cka_primary,24,bert,0.6327121718442461,-0.019905413278655002
cka_primary,24,mpnet,0.6580965297465349,0.0035275354386477492
cka_primary,24,minilm,0.6503073077610504,0.010487695703878173
cka_primary,24,pubmedbert,0.632306279715734,0.005301350854557987
cka_primary,24,biobert,0.668664376992611,0.01949688907714542
cka_primary,24,simcse,0.5682194145898332,-0.033447498470697945
cka_primary,25,specter,0.6483028230983572,0.010498524516873485
cka_primary,25,specter2,0.6226310457748139,-0.0032633889228563437
cka_primary,25,scincl,0.6423921325806936,0.003545664387878166
cka_primary,25,scibert,0.6565317373714299,0.01252096064605738
cka_primary,25,bert,0.6120029600308327,-0.028584640575027062
cka_primary,25,mpnet,0.6434083519723841,0.0008693421815382488
cka_primary,25,minilm,0.618962882377752,-0.008826745162378876
cka_primary,25,pubmedbert,0.6403892680690949,0.025414323724960084
cka_primary,25,biobert,0.6581777353711987,0.021040231972774406
cka_primary,25,simcse,0.55642265577367,-0.03321427276981978
cka_primary,26,specter,0.6746118979670676,-0.004622654120320381
cka_primary,26,specter2,0.6840368564723343,0.016712168268759528
cka_primary,26,scincl,0.6805381909812491,0.0002614692825293474
cka_primary,26,scibert,0.7091406556202745,0.0236996253889976
cka_primary,26,bert,0.6905296996314978,0.008511845519733682
cka_primary,26,mpnet,0.6571300483957918,-0.026839214900958332
cka_primary,26,minilm,0.6521750875391247,-0.01704479350691051
cka_primary,26,pubmedbert,0.6671070559985626,0.010701858148523424
cka_primary,26,biobert,0.6351928725185121,-0.04337488438581653
cka_primary,26,simcse,0.6630617623548561,0.031994580305462
cka_primary,27,specter,0.5705251322669838,0.00884097486404107
cka_primary,27,specter2,0.5494103457730931,-0.00036394774603646746
cka_primary,27,scincl,0.5669036320026162,0.004177304988341605
cka_primary,27,scibert,0.5649868502372795,-0.00290378530955224
cka_primary,27,bert,0.5677405109199245,0.003273051492605619
cka_primary,27,mpnet,0.565840712879858,-0.0005781557324470166
cka_primary,27,minilm,0.5560332545675665,0.004363768205976454
cka_primary,27,pubmedbert,0.5268021149071446,-0.012052688258449443
cka_primary,27,biobert,0.5602261503028754,-0.0007912119170082363
cka_primary,27,simcse,0.509551476777479,-0.003965310587470159
cka_primary,28,specter,0.6563398291730508,-0.007706001057532398
cka_primary,28,specter2,0.6572382915444138,0.005102325197643975
cka_primary,28,scincl,0.6718140030847538,0.006726003242838847
cka_primary,28,scibert,0.6555728691854057,-0.014679439189066371
cka_primary,28,bert,0.656076589472233,-0.010752542782726218
cka_primary,28,mpnet,0.6801548020327806,0.011374260592835183
cka_primary,28,minilm,0.6622764791894808,0.00824532000025053
cka_primary,28,pubmedbert,0.6412115527086512,-4.9232845831495255e-06
cka_primary,28,biobert,0.6924688030235736,0.02908976797604981
cka_primary,28,simcse,0.5884836894968787,-0.027394770695710675
cka_primary,29,specter,0.6933704159174555,0.017268799894849234
cka_primary,29,specter2,0.6614624103838292,-0.002729341754963668
cka_primary,29,scincl,0.6872127598703012,0.01006897423636303
cka_primary,29,scibert,0.6664267299693099,-0.015881364197185357
cka_primary,29,bert,0.6670587223769958,-0.01182619566998671
cka_primary,29,mpnet,0.6924004953793372,0.01156416814736869
cka_primary,29,minilm,0.6770535561269766,0.010966611145723048
cka_primary,29,pubmedbert,0.6284223218408844,-0.02484993994437306
cka_primary,29,biobert,0.6762208873372053,0.0007860664976583579
cka_primary,29,simcse,0.6325664676291587,0.004632221644546192
cka_primary,30,specter,0.6837253987894764,0.02678245793659917
cka_primary,30,specter2,0.6319675692900667,-0.013065507678997144
cka_primary,30,scincl,0.657285951395007,-0.000699159069201865
cka_primary,30,scibert,0.6687167181640589,0.0055672991672928536
cka_primary,30,bert,0.6321504238702015,-0.027575819007051774
cka_primary,30,mpnet,0.6658989700943354,0.0042213180320960835
cka_primary,30,minilm,0.6424437683942077,-0.004484501417316637
cka_primary,30,pubmedbert,0.6458044010143983,0.011690814398870035
cka_primary,30,biobert,0.6704457439846789,0.014169598314861075
cka_primary,30,simcse,0.592169070137733,-0.01660650067715044
cka_primary,31,specter,0.6807961826903502,0.006280216052830665
cka_primary,31,specter2,0.6413144562601967,-0.021291646493509602
cka_primary,31,scincl,0.6756932193123529,0.00013508306350153
cka_primary,31,scibert,0.704467733194574,0.02374528841316544
cka_primary,31,bert,0.6827733647786491,0.005474096116753375
cka_primary,31,mpnet,0.6813906983571637,0.0021400205102818986
cka_primary,31,minilm,0.6590759518443161,-0.005425343751850886
cka_primary,31,pubmedbert,0.6726334536168507,0.020946841216679987
cka_primary,31,biobert,0.6756219224779292,0.001772751023468892
cka_primary,31,simcse,0.5925712904482038,-0.033777306151322045
cka_primary,32,specter,0.5936403634820818,-0.022238387582844823
cka_primary,32,specter2,0.6163950838510625,0.012426196669949128
cka_primary,32,scincl,0.6114141212356424,-0.005506799440616124
cka_primary,32,scibert,0.6189661984455544,-0.0031190307632611436
cka_primary,32,bert,0.619394421658465,0.0007323685691621081
cka_primary,32,mpnet,0.6167465815551967,-0.0038668807190921856
cka_primary,32,minilm,0.6187187065370892,0.012854626513515037
cka_primary,32,pubmedbert,0.5780747285185933,-0.014974668308984541
cka_primary,32,biobert,0.6191091602662842,0.0038972043844168005
cka_primary,32,simcse,0.587506751704689,0.019795370677756014
cka_primary,33,specter,0.5726600892204061,-0.04063657630235957
cka_primary,33,specter2,0.6019308544953925,0.0005440528564402013
cka_primary,33,scincl,0.6039240228411575,-0.010414812292940032
cka_primary,33,scibert,0.6298193419322773,0.0103161982656228
