outcome,field_id,model_a,model_b,mean,residual
cka_primary,11,specter,specter2,0.7284683119214408,-0.0014629160504251448
cka_primary,11,specter,scincl,0.8414707946359684,0.052291213675515036
cka_primary,11,specter,scibert,0.5625034577182199,0.011628582606337257
cka_primary,11,specter,bert,0.5502696468039187,0.002911097283453845
cka_primary,11,specter,mpnet,0.7855018892071377,0.034055795888165874
cka_primary,11,specter,minilm,0.7243477036657471,0.014289740553672381
cka_primary,11,specter,pubmedbert,0.5015909736069575,0.0011447254192352707
cka_primary,11,specter,biobert,0.5301263791291546,-0.0008024387886801376
cka_primary,11,specter,simcse,0.5198000554244555,-0.007077547500238035
cka_primary,11,specter2,scincl,0.7966659129121734,0.007264870415258362
cka_primary,11,specter2,scibert,0.5341186906240324,-0.03152895136441858
cka_primary,11,specter2,bert,0.49932909699352096,-0.014325078676761027
cka_primary,11,specter2,mpnet,0.7483955221599518,0.008048892317124579
cka_primary,11,specter2,minilm,0.6916936309109966,-0.00010003479159292894
cka_primary,11,specter2,pubmedbert,0.4608430825351627,-0.030210923140501444
cka_primary,11,specter2,biobert,0.4859186637368822,-0.0344070480333416
cka_primary,11,specter2,simcse,0.44866003952846184,-0.039098043424363293
cka_primary,11,scincl,scibert,0.5414431601192558,-0.0007369002896355781
cka_primary,11,scincl,bert,0.5353960609778363,0.00713660736610322
cka_primary,11,scincl,mpnet,0.801024522875443,0.03270833594638112
cka_primary,11,scincl,minilm,0.7391097156554214,0.015513398866222272
cka_primary,11,scincl,pubmedbert,0.47077110472262296,-0.013046951025627251
cka_primary,11,scincl,biobert,0.502913590450462,-0.010162721230654426
cka_primary,11,scincl,simcse,0.4945970293129177,-0.014056447589411825
cka_primary,11,scibert,bert,0.7392138017486607,0.013926751488131273
cka_primary,11,scibert,mpnet,0.5330561832064606,0.0006703401057371883
cka_primary,11,scibert,minilm,0.5239993536489855,0.004005020374472368
cka_primary,11,scibert,pubmedbert,0.8412233632507016,0.016889616680615838
cka_primary,11,scibert,biobert,0.8325497972980826,0.01354338998285698
cka_primary,11,scibert,simcse,0.6146044660462182,0.001355161755556944
cka_primary,11,bert,mpnet,0.5545841194816378,0.01075976621057717
cka_primary,11,bert,minilm,0.5771978407624626,0.024285925331669844
cka_primary,11,bert,pubmedbert,0.7241100563647642,-0.00443731476305298
cka_primary,11,bert,biobert,0.7555198014817945,-0.0012323138912566645
cka_primary,11,bert,simcse,0.7554367412391451,-0.010118951740472837
cka_primary,11,mpnet,minilm,0.8138082670661427,-0.0011215359931584512
cka_primary,11,mpnet,pubmedbert,0.480001581787012,-0.002505868138405143
cka_primary,11,mpnet,biobert,0.5153495969898151,-0.002884549007487913
cka_primary,11,mpnet,simcse,0.5121252059542132,-0.015597648511343931
cka_primary,11,minilm,pubmedbert,0.4740621571937519,-0.0010531072803092734
cka_primary,11,minilm,biobert,0.5074433397829466,-0.0021470118246774694
cka_primary,11,minilm,simcse,0.5393945204237175,-0.009584785779915728
cka_primary,11,pubmedbert,biobert,0.8481501239377766,0.006048992971699252
cka_primary,11,pubmedbert,simcse,0.5923490842979866,-0.011364413916742033
cka_primary,11,biobert,simcse,0.6016700872636629,-0.01941472248631082
cka_primary,12,specter,specter2,0.6872640718494127,-0.008130371917767443
cka_primary,12,specter,scincl,0.7679397980035843,0.013297001247816631
cka_primary,12,specter,scibert,0.4821414432388401,-0.03419664766835673
cka_primary,12,specter,bert,0.4906676912273521,-0.022154074088426956
cka_primary,12,specter,mpnet,0.6257202629846877,-0.09118904612959833
cka_primary,12,specter,minilm,0.6124644870765874,-0.06305669183080154
cka_primary,12,specter,pubmedbert,0.4231578465566826,-0.042751617426353805
cka_primary,12,specter,biobert,0.41829239872227764,-0.07809963499087136
cka_primary,12,specter,simcse,0.4928617442056373,0.000520925485629542
cka_primary,12,specter2,scincl,0.7552148556348006,0.0003505973425713682
cka_primary,12,specter2,scibert,0.5191521980149835,-0.011958659768781743
cka_primary,12,specter2,bert,0.5117214961130554,0.03260410464745911
cka_primary,12,specter2,mpnet,0.6508101291917368,-0.05499971644640467
cka_primary,12,specter2,minilm,0.6213002572663371,-0.03595662423156665
cka_primary,12,specter2,pubmedbert,0.4245186738598119,-0.031998547611166495
cka_primary,12,specter2,biobert,0.42555732368935517,-0.06023160387618287
cka_primary,12,specter2,simcse,0.49705545271405766,0.04383415396591839
cka_primary,12,scincl,scibert,0.5246751234402262,0.01703184723602058
cka_primary,12,scincl,bert,0.5296469398248778,0.03592427041783042
cka_primary,12,scincl,mpnet,0.6619428336783026,-0.0718365690460735
cka_primary,12,scincl,minilm,0.6484073669750645,-0.04065216560944884
cka_primary,12,scincl,pubmedbert,0.4521015835343717,0.002820311990807234
cka_primary,12,scincl,biobert,0.4405476363532161,-0.03799189112321466
cka_primary,12,scincl,simcse,0.5259746948097315,0.05185800211208769
cka_primary,12,scibert,bert,0.7958113030615335,0.1050610370056898
cka_primary,12,scibert,mpnet,0.4774613931347099,-0.020387665761327778
cka_primary,12,scibert,minilm,0.4841093037456049,-0.0013482453242225079
cka_primary,12,scibert,pubmedbert,0.8012878799320676,0.011490917566667647
cka_primary,12,scibert,biobert,0.8322032836861304,0.047733660575590475
cka_primary,12,scibert,simcse,0.6620634811852113,0.08335096109923579
cka_primary,12,bert,mpnet,0.5526346209070621,0.04334705184068721
cka_primary,12,bert,minilm,0.5438856484557315,0.025510517229624496
cka_primary,12,bert,pubmedbert,0.740548721271084,0.04653813434795251
cka_primary,12,bert,biobert,0.7786110388008302,0.05639570763246471
cka_primary,12,bert,simcse,0.7984670061586857,0.06744809738375357
cka_primary,12,mpnet,minilm,0.7819671873373737,0.0015741684827582647
cka_primary,12,mpnet,pubmedbert,0.40290882956844154,-0.04506183615228987
cka_primary,12,mpnet,biobert,0.4153819576408188,-0.06831540415179838
cka_primary,12,mpnet,simcse,0.5484428832984314,0.055256813037560026
cka_primary,12,minilm,pubmedbert,0.41406934553402347,-0.02650913473535188
cka_primary,12,minilm,biobert,0.4301997045846475,-0.044853862818290846
cka_primary,12,minilm,simcse,0.5543152123321449,0.0398726903331974
cka_primary,12,pubmedbert,biobert,0.8255503096668828,0.01798596290549126
cka_primary,12,pubmedbert,simcse,0.6075787546955633,0.038402040685520444
cka_primary,12,biobert,simcse,0.6400190616812457,0.05347103613595772
cka_primary,13,specter,specter2,0.71702914497467,-0.004625696814091529
cka_primary,13,specter,scincl,0.7910051493546458,0.010101954577296901
cka_primary,13,specter,scibert,0.5605341787034568,0.01793568977467863
cka_primary,13,specter,bert,0.5323537180439073,-0.006728445293453067
cka_primary,13,specter,mpnet,0.7572921565907471,0.014122449454879726
cka_primary,13,specter,minilm,0.7047802995875582,0.0029987226585879156
cka_primary,13,specter,pubmedbert,0.5212486829764856,0.02907882097186787
cka_primary,13,specter,biobert,0.564461936926973,0.04180950519224269
cka_primary,13,specter,simcse,0.47712179083494666,-0.04147942590664244
cka_primary,13,specter2,scincl,0.7836194307258575,0.0024947744120469295
cka_primary,13,specter2,scibert,0.5289123220540294,-0.02845893375131714
cka_primary,13,specter2,bert,0.4498426911646602,-0.05553509832251735
cka_primary,13,specter2,mpnet,0.7218611219486177,-0.010209121711104996
cka_primary,13,specter2,minilm,0.6621231978053482,-0.021394081714136814
cka_primary,13,specter2,pubmedbert,0.4697569965701084,-0.01302062292245132
cka_primary,13,specter2,biobert,0.5092993227193591,-0.0027500028677602817
cka_primary,13,specter2,simcse,0.39977875322083234,-0.0797029435488883
cka_primary,13,scincl,scibert,0.5575148144866108,0.023611140260823893
cka_primary,13,scincl,bert,0.5415458015276652,0.02156273409903653
cka_primary,13,scincl,mpnet,0.7690236305947438,0.008983829848786318
cka_primary,13,scincl,minilm,0.7129275388141277,-0.00239239179196693
cka_primary,13,scincl,pubmedbert,0.508985567600891,0.03344389803574521
cka_primary,13,scincl,biobert,0.5532216766891844,0.048421751191172424
cka_primary,13,scincl,simcse,0.47151263330004,-0.028864457419185086
cka_primary,13,scibert,bert,0.6968911900202148,-0.02011947405721015
cka_primary,13,scibert,mpnet,0.5178840287180414,-0.0062254281995776095
cka_primary,13,scibert,minilm,0.5093320834965597,-0.002385863594849047
cka_primary,13,scibert,pubmedbert,0.8551223280087287,0.03906496762174738
cka_primary,13,scibert,biobert,0.8457162490355061,0.0349862279033849
cka_primary,13,scibert,simcse,0.5984685136731234,-0.006504404434433453
cka_primary,13,bert,mpnet,0.5322010206849623,-0.0033469464029938223
cka_primary,13,bert,minilm,0.5666119492623138,0.02197642001462552
cka_primary,13,bert,pubmedbert,0.6961728617077249,-0.0240981232369879
cka_primary,13,bert,biobert,0.7322349626532775,-0.016240766536669282
cka_primary,13,bert,simcse,0.7674266690947069,0.010147362298193463
cka_primary,13,mpnet,minilm,0.8035697740530964,-0.003083642823100363
cka_primary,13,mpnet,pubmedbert,0.48725364444305075,0.013022580700738029
cka_primary,13,mpnet,biobert,0.535074102101434,0.02511634228723547
cka_primary,13,mpnet,simcse,0.4760863885714698,-0.04336007971098288
cka_primary,13,minilm,pubmedbert,0.47779652885766133,0.010957650566704613
cka_primary,13,minilm,biobert,0.5252620028542461,0.0239480374297264
cka_primary,13,minilm,simcse,0.5099116791621672,-0.0307912408583616
cka_primary,13,pubmedbert,biobert,0.8523165506328944,0.018491805849921494
cka_primary,13,pubmedbert,simcse,0.5946191410119976,-0.0008179710196265511
cka_primary,13,biobert,simcse,0.6126669213557385,-0.00014150221113073957
cka_primary,14,specter,specter2,0.7214556830354906,0.029600974212732445
cka_primary,14,specter,scincl,0.7668687155556827,0.015765653744337138
cka_primary,14,specter,scibert,0.4411623546772828,-0.07163600128549197
cka_primary,14,specter,bert,0.442104585980565,-0.06717744439079198
cka_primary,14,specter,mpnet,0.7298890610736276,0.01651948690376359
cka_primary,14,specter,minilm,0.7001810291632473,0.02819958520028043
cka_primary,14,specter,pubmedbert,0.36197723096139117,-0.10039249807722328
cka_primary,14,specter,biobert,0.40182055924057936,-0.09103173952814758
cka_primary,14,specter,simcse,0.5040652362003598,0.01526415242477408
cka_primary,14,specter2,scincl,0.7981835078654693,0.04685898451766213
cka_primary,14,specter2,scibert,0.5350947923278213,0.007523669488478157
cka_primary,14,specter2,bert,0.48732192941971314,0.011744272898538854
cka_primary,14,specter2,mpnet,0.7576704506344076,0.05540033994068827
cka_primary,14,specter2,minilm,0.708533998165954,0.054816851612472295
cka_primary,14,specter2,pubmedbert,0.429829392949798,-0.02314809357675829
cka_primary,14,specter2,biobert,0.46670947234333526,-0.015539720277780722
cka_primary,14,specter2,simcse,0.5106657394828351,0.06098417567911785
cka_primary,14,scincl,scibert,0.45692652188138777,-0.0471770193783958
cka_primary,14,scincl,bert,0.44661734091001587,-0.04356559355260936
cka_primary,14,scincl,mpnet,0.7593883361283549,0.029148668348400797
cka_primary,14,scincl,minilm,0.7244901646368883,0.03897036699679701
cka_primary,14,scincl,pubmedbert,0.37920298367027666,-0.06653855292886579
cka_primary,14,scincl,biobert,0.4073792869311485,-0.06762050560086008
cka_primary,14,scincl,simcse,0.5015680147395198,0.030991056986298116
cka_primary,14,scibert,bert,0.738950496729347,0.051739965617925376
cka_primary,14,scibert,mpnet,0.4921950336412241,-0.0021142903103915645
cka_primary,14,scibert,minilm,0.46321349517681315,-0.018704318948592258
cka_primary,14,scibert,pubmedbert,0.7974105105675207,0.011153283146542736
cka_primary,14,scibert,biobert,0.8049486796626045,0.02401879149648667
cka_primary,14,scibert,simcse,0.5809441309373817,0.0057713457958282754
cka_primary,14,bert,mpnet,0.5009278937441992,-0.004819940377753573
cka_primary,14,bert,minilm,0.4918684550956784,-0.022966941186006506
cka_primary,14,bert,pubmedbert,0.7277348951961622,0.0372640432174528
cka_primary,14,bert,biobert,0.757560364867512,0.0388847686435686
cka_primary,14,bert,simcse,0.7471207409458096,0.01964156711529952
cka_primary,14,mpnet,minilm,0.8173310796380207,0.04047779572782728
cka_primary,14,mpnet,pubmedbert,0.41231511075219035,-0.032115820024118946
cka_primary,14,mpnet,biobert,0.45302338647527096,-0.027134240372924223
cka_primary,14,mpnet,simcse,0.5416907557785287,0.052044420462079355
cka_primary,14,minilm,pubmedbert,0.39456070898372353,-0.04247803634122982
cka_primary,14,minilm,biobert,0.4356166394701864,-0.03589719298832983
cka_primary,14,minilm,simcse,0.5583910020780222,0.04748821502349676
cka_primary,14,pubmedbert,biobert,0.8266059870339717,0.02258137521700221
cka_primary,14,pubmedbert,simcse,0.5518175365632622,-0.01381944250235867
cka_primary,14,biobert,simcse,0.5840318718316466,0.0010235812307807235
cka_primary,15,specter,specter2,0.8052207479860443,-0.011822067167419847
cka_primary,15,specter,scincl,0.8565398541994652,-0.019751313942586335
cka_primary,15,specter,scibert,0.6812110212796453,0.04322455898616451
cka_primary,15,specter,bert,0.6823573865340806,0.04788724983201764
cka_primary,15,specter,mpnet,0.8445106123694739,0.005952931868903888
cka_primary,15,specter,minilm,0.8040314676865788,0.006861917392905981
cka_primary,15,specter,pubmedbert,0.6469327057989759,0.0593748704296555
cka_primary,15,specter,biobert,0.6892922584825522,0.07125185338311923
cka_primary,15,specter,simcse,0.6590050030088014,0.045015812902509666
cka_primary,15,specter2,scincl,0.8525748838805661,-0.023937745797947052
cka_primary,15,specter2,scibert,0.6509776002284672,-0.0017816289415819586
cka_primary,15,specter2,bert,0.5705967957697093,-0.030168967082170872
cka_primary,15,specter2,mpnet,0.8336648728222744,0.00620665579784907
cka_primary,15,specter2,minilm,0.7852818616914177,0.006376608807230011
cka_primary,15,specter2,pubmedbert,0.5871968380244682,0.009031245167205881
cka_primary,15,specter2,biobert,0.623589989341599,0.01615269038977707
cka_primary,15,specter2,simcse,0.5934843280044502,0.01861465787002692
cka_primary,15,scincl,scibert,0.6362634956653752,0.0069718480748857115
cka_primary,15,scincl,bert,0.6105689255144553,-0.0048021152788759736
cka_primary,15,scincl,mpnet,0.8636718192261285,0.00824404511546839
cka_primary,15,scincl,minilm,0.8154666757152562,0.004758771744458934
cka_primary,15,scincl,pubmedbert,0.587459508047936,0.016529865118087628
cka_primary,15,scincl,biobert,0.6339723387316287,0.03378443986891411
cka_primary,15,scincl,simcse,0.621281322099812,0.025516258015884308
cka_primary,15,scibert,bert,0.7595933389034868,-0.0528052985386408
cka_primary,15,scibert,mpnet,0.6268862844849615,0.007388854202639905
cka_primary,15,scibert,minilm,0.6125568350345997,0.005450914578488342
cka_primary,15,scibert,pubmedbert,0.8683771872359014,-0.0430681465157825
cka_primary,15,scibert,biobert,0.8653165901799273,-0.040801404316896495
cka_primary,15,scibert,simcse,0.6789329896047291,-0.021427901867530297
cka_primary,15,bert,mpnet,0.6047600707099997,-0.026175869742659064
cka_primary,15,bert,minilm,0.6034168158713578,-0.03660668674103318
cka_primary,15,bert,pubmedbert,0.7708325852225355,-0.04482637308687987
cka_primary,15,bert,biobert,0.809986978415913,-0.033876724138736325
cka_primary,15,bert,simcse,0.7730388426423191,-0.07962843751889692
cka_primary,15,mpnet,minilm,0.8914595392179189,-0.010581851022980482
cka_primary,15,mpnet,pubmedbert,0.5882271528805865,0.018608115773571132
cka_primary,15,mpnet,biobert,0.6347229948622846,0.029377261683383393
cka_primary,15,mpnet,simcse,0.6434442376363819,0.02860979598922664
cka_primary,15,minilm,pubmedbert,0.5761552386860626,0.013928387030403222
cka_primary,15,minilm,biobert,0.62240137080895,0.025699432019727686
cka_primary,15,minilm,simcse,0.6439333312264106,0.007842437841179217
cka_primary,15,pubmedbert,biobert,0.8763799490753638,-0.052832769072311714
cka_primary,15,pubmedbert,simcse,0.6700726885535266,-0.02075239684280017
cka_primary,15,biobert,simcse,0.6951826146636177,-0.013013782267954133
cka_primary,16,specter,specter2,0.7487034377749335,-0.04074277105047197
cka_primary,16,specter,scincl,0.7922173816362535,-0.056477180177739394
cka_primary,16,specter,scibert,0.698351468801836,0.0879616128364138
cka_primary,16,specter,bert,0.6936695871296311,0.08679605675562674
cka_primary,16,specter,mpnet,0.7718076372418334,-0.039153436930677965
cka_primary,16,specter,minilm,0.7274033303369636,-0.04216961362865068
cka_primary,16,specter,pubmedbert,0.674960194256968,0.11499896521570618
cka_primary,16,specter,biobert,0.6828565338068632,0.09241273503548886
cka_primary,16,specter,simcse,0.6250979376231849,0.03870535384495177
cka_primary,16,specter2,scincl,0.7757732053270374,-0.07314281802341716
cka_primary,16,specter2,scibert,0.6391065847404345,0.013943961898443935
cka_primary,16,specter2,bert,0.5562736117695777,-0.01689554475424393
cka_primary,16,specter2,mpnet,0.7420183600853252,-0.05784325061104156
cka_primary,16,specter2,minilm,0.687272393812638,-0.064036252743491
cka_primary,16,specter2,pubmedbert,0.6017765524001358,0.051207565870932115
cka_primary,16,specter2,biobert,0.598553465201284,0.018712772577520687
cka_primary,16,specter2,simcse,0.5250090179004261,-0.022264045905938556
cka_primary,16,scincl,scibert,0.6148967343706337,0.01320169310820285
cka_primary,16,scincl,bert,0.5798677991090635,-0.007906635356209168
cka_primary,16,scincl,mpnet,0.7563427526722467,-0.07148841511035475
cka_primary,16,scincl,minilm,0.7024230052849141,-0.0806882923578246
cka_primary,16,scincl,pubmedbert,0.5819311918540031,0.03859815525221333
cka_primary,16,scincl,biobert,0.5890226725744195,0.01643138003976352
cka_primary,16,scincl,simcse,0.5308502115469903,-0.0373182462088788
cka_primary,16,scibert,bert,0.7902984113589063,0.00549638024483734
cka_primary,16,scibert,mpnet,0.6173622383972633,0.02546141444300032
cka_primary,16,scibert,minilm,0.6082199575424206,0.02871064341436791
cka_primary,16,scibert,pubmedbert,0.9036033258966555,0.019754598473030183
cka_primary,16,scibert,biobert,0.8892622706003118,0.010740882431546583
cka_primary,16,scibert,simcse,0.6819756994462554,0.009211414302054521
cka_primary,16,bert,mpnet,0.5840676598600332,-0.019271674264566996
cka_primary,16,bert,minilm,0.5932437224878826,-0.019183173796449737
cka_primary,16,bert,pubmedbert,0.7848838297887439,-0.0031785221926128315
cka_primary,16,bert,biobert,0.7995027336530087,-0.016764362573582048
cka_primary,16,bert,simcse,0.7630082844318004,-0.06206238940135711
cka_primary,16,mpnet,minilm,0.81661383293778,-0.057830950975060746
cka_primary,16,mpnet,pubmedbert,0.5947142978108413,0.052691867031884554
cka_primary,16,mpnet,biobert,0.6025045503885449,0.024755423537702326
cka_primary,16,mpnet,simcse,0.5795579182821041,-0.007679917036992556
cka_primary,16,minilm,pubmedbert,0.5816623440149625,0.0470320986873618
cka_primary,16,minilm,biobert,0.5887649490195564,0.019659616558392767
cka_primary,16,minilm,simcse,0.5912299335736534,-0.0172643534835194
cka_primary,16,pubmedbert,biobert,0.894817686437071,-0.006798425382545825
cka_primary,16,pubmedbert,simcse,0.6708763056707368,0.007647826602468544
cka_primary,16,biobert,simcse,0.676627644407231,-0.003972146196282278
cka_primary,17,specter,specter2,0.7469953336788551,0.007465882471355267
cka_primary,17,specter,scincl,0.7828007422112327,-0.01597706198485449
cka_primary,17,specter,scibert,0.5243841945320857,-0.03608890381543073
cka_primary,17,specter,bert,0.522873574731198,-0.034083198024900674
cka_primary,17,specter,mpnet,0.7541860169641711,-0.006858299590434602
cka_primary,17,specter,minilm,0.7280026104882674,0.008346424140558861
