k,outcome,period_start,mean
10,all_queries_all_candidates,2000,0.26547187030093755
10,all_queries_all_candidates,2005,0.26475751554246024
10,all_queries_all_candidates,2010,0.26309452857090104
10,all_queries_all_candidates,2015,0.25881320985346934
10,all_queries_all_candidates,2020,0.25600202174558023
10,fixed_queries_all_candidates,2000,0.2655009264823718
10,fixed_queries_all_candidates,2005,0.2645543703258547
10,fixed_queries_all_candidates,2010,0.26286554320245725
10,fixed_queries_all_candidates,2015,0.25875292134081196
10,fixed_queries_all_candidates,2020,0.25578033186431626
10,fixed_queries_2048_candidates,2000,0.2714748180422009
10,fixed_queries_2048_candidates,2005,0.2744002487313034
10,fixed_queries_2048_candidates,2010,0.27604496360844016
10,fixed_queries_2048_candidates,2015,0.27391405415331205
10,fixed_queries_2048_candidates,2020,0.27649985810630345
10,query_selection_change,2000,2.9056181434224863e-05
10,query_selection_change,2005,-0.00020314521660551738
10,query_selection_change,2010,-0.0002289853684438231
10,query_selection_change,2015,-6.0288512657412354e-05
10,query_selection_change,2020,-0.0002216898812639914
10,candidate_change_same_queries,2000,0.005973891559829068
10,candidate_change_same_queries,2005,0.009845878405448726
10,candidate_change_same_queries,2010,0.013179420405982913
10,candidate_change_same_queries,2015,0.015161132812500009
10,candidate_change_same_queries,2020,0.020719526241987186
25,all_queries_all_candidates,2000,0.30657697219983504
25,all_queries_all_candidates,2005,0.30595343808088615
25,all_queries_all_candidates,2010,0.3034632367739435
25,all_queries_all_candidates,2015,0.30038562320185075
25,all_queries_all_candidates,2020,0.2978847848461529
25,fixed_queries_all_candidates,2000,0.3066280215010684
25,fixed_queries_all_candidates,2005,0.30589192708333335
25,fixed_queries_all_candidates,2010,0.30320327524038465
25,fixed_queries_all_candidates,2015,0.30021666332799146
25,fixed_queries_all_candidates,2020,0.2976325787927351
25,fixed_queries_2048_candidates,2000,0.314068342681624
25,fixed_queries_2048_candidates,2005,0.3176731103098291
25,fixed_queries_2048_candidates,2010,0.3192083500267094
25,fixed_queries_2048_candidates,2015,0.3188464543269231
25,fixed_queries_2048_candidates,2020,0.32318307625534193
25,query_selection_change,2000,5.104930123335951e-05
25,query_selection_change,2005,-6.151099755281643e-05
25,query_selection_change,2010,-0.00025996153355886263
25,query_selection_change,2015,-0.00016895987385929308
25,query_selection_change,2020,-0.0002522060534178897
25,candidate_change_same_queries,2000,0.007440321180555591
25,candidate_change_same_queries,2005,0.01178118322649576
25,candidate_change_same_queries,2010,0.01600507478632482
25,candidate_change_same_queries,2015,0.01862979099893166
25,candidate_change_same_queries,2020,0.025550497462606875
50,all_queries_all_candidates,2000,0.34299781086762016
50,all_queries_all_candidates,2005,0.3421372171386602
50,all_queries_all_candidates,2010,0.3389449623849729
50,all_queries_all_candidates,2015,0.3373327508398692
50,all_queries_all_candidates,2020,0.3349407441140185
50,fixed_queries_all_candidates,2000,0.34304910356570517
50,fixed_queries_all_candidates,2005,0.34215616653311964
50,fixed_queries_all_candidates,2010,0.3387772268963675
50,fixed_queries_all_candidates,2015,0.337182375133547
50,fixed_queries_all_candidates,2020,0.3346275540865385
50,fixed_queries_2048_candidates,2000,0.35210201322115386
50,fixed_queries_2048_candidates,2005,0.3561886017628205
50,fixed_queries_2048_candidates,2010,0.35763751168536323
50,fixed_queries_2048_candidates,2015,0.35906478699252137
50,fixed_queries_2048_candidates,2020,0.3641663661858974
50,query_selection_change,2000,5.1292698084981087e-05
50,query_selection_change,2005,1.8949394459512943e-05
50,query_selection_change,2010,-0.00016773548860536398
50,query_selection_change,2015,-0.00015037570632221598
50,query_selection_change,2020,-0.0003131900274800037
50,candidate_change_same_queries,2000,0.009052909655448731
50,candidate_change_same_queries,2005,0.014032435229700867
50,candidate_change_same_queries,2010,0.018860284788995738
50,candidate_change_same_queries,2015,0.02188241185897437
50,candidate_change_same_queries,2020,0.02953881209935898
