field_id,condition,rows,rows_in_exact_repeated_groups,exact_repeated_groups,rows_in_normalized_repeated_groups,maximum_exact_repetitions,fewer_than_four_words,mean_whitespace_words,median_whitespace_words,mean_characters
11,title,1000,0,0,0,1,5,13.991,14.0,101.942
12,title,1000,0,0,0,1,45,11.002,10.0,75.21
13,title,1000,0,0,0,1,10,13.332,13.0,101.601
14,title,1000,0,0,0,1,18,11.534,11.0,83.844
15,title,1000,0,0,0,1,8,12.917,13.0,98.051
16,title,1000,0,0,0,1,30,12.381,12.0,103.485
17,title,1000,0,0,0,1,24,9.737,9.0,73.182
18,title,1000,2,1,2,2,26,10.659,10.0,78.849
19,title,1000,0,0,0,1,9,13.177,13.0,95.836
20,title,1000,0,0,0,1,23,11.208,11.0,79.559
21,title,1000,0,0,0,1,6,12.364,12.0,92.276
22,title,1000,0,0,0,1,12,11.268,11.0,83.906
23,title,1000,2,1,2,2,10,13.041,13.0,94.467
24,title,1000,0,0,0,1,13,13.859,13.0,104.552
25,title,1000,0,0,0,1,5,11.935,11.0,94.105
26,title,1000,0,0,0,1,28,10.051,10.0,74.701
27,title,1000,0,0,0,1,19,13.185,13.0,98.73
28,title,1000,0,0,0,1,17,12.424,12.0,93.222
29,title,1000,2,1,2,2,18,13.544,13.0,98.633
30,title,1000,0,0,0,1,18,13.007,13.0,100.156
31,title,1000,0,0,0,1,11,10.873,10.0,80.138
32,title,1000,0,0,0,1,25,12.114,12.0,89.31
33,title,1000,0,0,0,1,30,11.644,11.0,82.479
34,title,1000,0,0,0,1,18,13.873,13.0,100.762
35,title,1000,0,0,0,1,12,13.487,13.0,98.577
36,title,1000,0,0,0,1,25,12.375,12.0,88.112
11,abstract,1000,0,0,0,1,0,199.547,192.0,1333.015
12,abstract,1000,0,0,0,1,0,206.95,152.5,1354.343
13,abstract,1000,0,0,0,1,1,198.985,191.0,1383.306
14,abstract,1000,0,0,0,1,0,163.561,144.0,1122.162
15,abstract,1000,0,0,0,1,0,168.315,156.5,1135.072
16,abstract,1000,0,0,0,1,0,140.809,123.0,985.467
17,abstract,1000,0,0,0,1,0,144.622,130.5,988.746
18,abstract,1000,0,0,0,1,0,156.641,137.0,1069.276
19,abstract,1000,0,0,0,1,0,196.264,182.0,1325.65
20,abstract,1000,0,0,0,1,0,165.527,138.0,1115.103
21,abstract,1000,0,0,0,1,0,155.892,144.0,1054.306
22,abstract,1000,0,0,0,1,0,147.736,138.0,993.245
23,abstract,1000,0,0,0,1,0,197.839,185.0,1335.698
24,abstract,1000,0,0,0,1,1,209.807,203.0,1452.655
25,abstract,1000,0,0,0,1,0,154.9,143.0,1058.596
26,abstract,1000,0,0,0,1,0,120.992,103.0,796.822
27,abstract,1000,0,0,0,1,1,226.624,210.0,1551.943
28,abstract,1000,0,0,0,1,0,203.498,193.0,1407.401
29,abstract,1000,0,0,0,1,2,213.93,197.0,1454.026
30,abstract,1000,0,0,0,1,0,181.514,169.0,1275.455
31,abstract,1000,0,0,0,1,0,155.875,138.0,1029.822
32,abstract,1000,0,0,0,1,0,185.696,164.0,1281.188
33,abstract,1000,0,0,0,1,0,180.222,151.5,1206.524
34,abstract,1000,0,0,0,1,0,220.025,205.0,1474.436
35,abstract,1000,0,0,0,1,0,205.852,205.0,1392.271
36,abstract,1000,0,0,0,1,0,209.722,189.0,1421.502
11,title_abstract,1000,0,0,0,1,0,213.538,206.5,1436.957
12,title_abstract,1000,0,0,0,1,0,217.952,164.0,1431.553
13,title_abstract,1000,0,0,0,1,0,212.317,204.0,1486.907
14,title_abstract,1000,0,0,0,1,0,175.095,157.0,1208.006
15,title_abstract,1000,0,0,0,1,0,181.232,170.0,1235.123
16,title_abstract,1000,0,0,0,1,0,153.19,134.5,1090.952
17,title_abstract,1000,0,0,0,1,0,154.359,140.0,1063.928
18,title_abstract,1000,0,0,0,1,0,167.3,148.5,1150.125
19,title_abstract,1000,0,0,0,1,0,209.441,195.0,1423.486
20,title_abstract,1000,0,0,0,1,0,176.735,150.0,1196.662
21,title_abstract,1000,0,0,0,1,0,168.256,157.0,1148.582
22,title_abstract,1000,0,0,0,1,0,159.004,149.0,1079.151
23,title_abstract,1000,0,0,0,1,0,210.88,198.0,1432.165
24,title_abstract,1000,0,0,0,1,0,223.666,217.0,1559.207
25,title_abstract,1000,0,0,0,1,0,166.835,155.0,1154.701
26,title_abstract,1000,0,0,0,1,0,131.043,112.0,873.523
27,title_abstract,1000,0,0,0,1,0,239.809,225.0,1652.673
28,title_abstract,1000,0,0,0,1,0,215.922,207.0,1502.623
29,title_abstract,1000,0,0,0,1,0,227.474,209.5,1554.659
30,title_abstract,1000,0,0,0,1,0,194.521,182.0,1377.611
31,title_abstract,1000,0,0,0,1,0,166.748,148.5,1111.96
32,title_abstract,1000,0,0,0,1,0,197.81,177.0,1372.498
33,title_abstract,1000,0,0,0,1,0,191.866,164.0,1291.003
34,title_abstract,1000,0,0,0,1,0,233.898,221.0,1577.198
35,title_abstract,1000,0,0,0,1,0,219.339,220.0,1492.848
36,title_abstract,1000,0,0,0,1,0,222.097,202.0,1511.614
