metric,field_a,field_b,field_a_name,field_b_name,class,positive_models,negative_models,unresolved_models,alternative_conditions
angle_p50,11,12,Agricultural and Biological Sciences,Arts and Humanities,contradiction,5,2,3,26
angle_p50,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",contradiction,4,2,4,26
angle_p50,11,14,Agricultural and Biological Sciences,"Business, Management and Accounting",contradiction,2,4,4,26
angle_p50,11,15,Agricultural and Biological Sciences,Chemical Engineering,unresolved,0,8,2,26
angle_p50,11,16,Agricultural and Biological Sciences,Chemistry,contradiction,1,5,4,26
angle_p50,11,17,Agricultural and Biological Sciences,Computer Science,contradiction,4,2,4,26
angle_p50,11,18,Agricultural and Biological Sciences,Decision Sciences,contradiction,3,2,5,26
angle_p50,11,19,Agricultural and Biological Sciences,Earth and Planetary Sciences,unresolved,0,2,8,26
angle_p50,11,20,Agricultural and Biological Sciences,"Economics, Econometrics and Finance",contradiction,4,2,4,26
angle_p50,11,21,Agricultural and Biological Sciences,Energy,unresolved,0,1,9,26
angle_p50,11,22,Agricultural and Biological Sciences,Engineering,contradiction,4,1,5,26
angle_p50,11,23,Agricultural and Biological Sciences,Environmental Science,contradiction,4,1,5,26
angle_p50,11,24,Agricultural and Biological Sciences,Immunology and Microbiology,unresolved,0,7,3,26
angle_p50,11,25,Agricultural and Biological Sciences,Materials Science,contradiction,1,6,3,26
angle_p50,11,26,Agricultural and Biological Sciences,Mathematics,contradiction,2,1,7,26
angle_p50,11,27,Agricultural and Biological Sciences,Medicine,contradiction,5,3,2,26
angle_p50,11,28,Agricultural and Biological Sciences,Neuroscience,contradiction,3,3,4,26
angle_p50,11,29,Agricultural and Biological Sciences,Nursing,contradiction,2,1,7,26
angle_p50,11,30,Agricultural and Biological Sciences,"Pharmacology, Toxicology and Pharmaceutics",unresolved,0,4,6,26
angle_p50,11,31,Agricultural and Biological Sciences,Physics and Astronomy,contradiction,4,4,2,26
angle_p50,11,32,Agricultural and Biological Sciences,Psychology,contradiction,1,2,7,26
angle_p50,11,33,Agricultural and Biological Sciences,Social Sciences,contradiction,6,2,2,26
angle_p50,11,34,Agricultural and Biological Sciences,Veterinary,unresolved,0,8,2,26
angle_p50,11,35,Agricultural and Biological Sciences,Dentistry,unanimous,0,10,0,26
angle_p50,11,36,Agricultural and Biological Sciences,Health Professions,contradiction,4,1,5,26
angle_p50,12,13,Arts and Humanities,"Biochemistry, Genetics and Molecular Biology",contradiction,4,3,3,26
angle_p50,12,14,Arts and Humanities,"Business, Management and Accounting",contradiction,1,5,4,26
angle_p50,12,15,Arts and Humanities,Chemical Engineering,contradiction,2,6,2,26
angle_p50,12,16,Arts and Humanities,Chemistry,contradiction,2,6,2,26
angle_p50,12,17,Arts and Humanities,Computer Science,contradiction,5,3,2,26
angle_p50,12,18,Arts and Humanities,Decision Sciences,contradiction,5,3,2,26
angle_p50,12,19,Arts and Humanities,Earth and Planetary Sciences,contradiction,2,4,4,26
angle_p50,12,20,Arts and Humanities,"Economics, Econometrics and Finance",contradiction,1,3,6,26
angle_p50,12,21,Arts and Humanities,Energy,contradiction,3,3,4,26
angle_p50,12,22,Arts and Humanities,Engineering,contradiction,5,3,2,26
angle_p50,12,23,Arts and Humanities,Environmental Science,contradiction,3,3,4,26
angle_p50,12,24,Arts and Humanities,Immunology and Microbiology,contradiction,1,5,4,26
angle_p50,12,25,Arts and Humanities,Materials Science,contradiction,1,3,6,26
angle_p50,12,26,Arts and Humanities,Mathematics,contradiction,5,1,4,26
angle_p50,12,27,Arts and Humanities,Medicine,contradiction,5,3,2,26
