metric,rule,minimum_relative_difference,observations_per_model_pair,unanimous,contradiction,unresolved,pairs,models
angle_p50,all_saved,0.0,26,42,262,21,325,10
angle_p50,all_saved,0.01,26,30,238,57,325,10
angle_p50,all_saved,0.05,26,10,96,219,325,10
angle_p50,all_saved,0.1,26,0,19,306,325,10
angle_p50,primary_only,0.0,1,50,275,0,325,10
angle_p50,primary_only,0.01,1,37,258,30,325,10
angle_p50,primary_only,0.05,1,15,131,179,325,10
angle_p50,primary_only,0.1,1,0,22,303,325,10
angle_p50,primary_and_half,0.0,21,42,262,21,325,10
angle_p50,primary_and_half,0.01,21,32,241,52,325,10
angle_p50,primary_and_half,0.05,21,10,99,216,325,10
angle_p50,primary_and_half,0.1,21,0,19,306,325,10
angle_p50,primary_and_external,0.0,6,45,268,12,325,10
angle_p50,primary_and_external,0.01,6,33,246,46,325,10
angle_p50,primary_and_external,0.05,6,14,110,201,325,10
angle_p50,primary_and_external,0.1,6,0,20,305,325,10
pr,all_saved,0.0,26,54,221,50,325,10
pr,all_saved,0.01,26,50,213,62,325,10
pr,all_saved,0.05,26,36,177,112,325,10
pr,all_saved,0.1,26,26,126,173,325,10
pr,primary_only,0.0,1,80,245,0,325,10
pr,primary_only,0.01,1,74,240,11,325,10
pr,primary_only,0.05,1,54,219,52,325,10
pr,primary_only,0.1,1,34,174,117,325,10
pr,primary_and_half,0.0,21,56,223,46,325,10
pr,primary_and_half,0.01,21,52,217,56,325,10
pr,primary_and_half,0.05,21,36,179,110,325,10
pr,primary_and_half,0.1,21,26,132,167,325,10
pr,primary_and_external,0.0,6,64,233,28,325,10
pr,primary_and_external,0.01,6,59,226,40,325,10
pr,primary_and_external,0.05,6,45,198,82,325,10
pr,primary_and_external,0.1,6,30,144,151,325,10
