metric,condition,reference,field_a,field_b,reference_class,changed_class,affected_model_direction_flips,original_contradiction_supported_in_reference,same_original_witness_pair_retained
angle_p50,title,half,11,12,contradiction,contradiction,4,True,True
angle_p50,title,half,11,13,contradiction,contradiction,1,True,True
angle_p50,title,half,11,14,contradiction,contradiction,3,True,True
angle_p50,title,half,11,15,contradiction,contradiction,0,True,True
angle_p50,title,half,11,16,contradiction,contradiction,2,True,True
angle_p50,title,half,11,17,contradiction,contradiction,6,True,False
angle_p50,title,half,11,18,contradiction,contradiction,4,True,True
angle_p50,title,half,11,19,contradiction,contradiction,2,True,True
angle_p50,title,half,11,20,contradiction,contradiction,4,True,True
angle_p50,title,half,11,21,contradiction,contradiction,3,True,True
angle_p50,title,half,11,22,contradiction,contradiction,6,True,False
angle_p50,title,half,11,23,contradiction,contradiction,1,True,True
angle_p50,title,half,11,24,contradiction,contradiction,3,False,False
angle_p50,title,half,11,25,contradiction,contradiction,3,True,False
angle_p50,title,half,11,26,contradiction,contradiction,2,True,True
angle_p50,title,half,11,27,contradiction,contradiction,2,True,True
angle_p50,title,half,11,28,contradiction,contradiction,4,True,True
angle_p50,title,half,11,29,contradiction,contradiction,3,True,True
angle_p50,title,half,11,30,contradiction,contradiction,1,True,True
angle_p50,title,half,11,31,contradiction,contradiction,5,True,True
angle_p50,title,half,11,32,contradiction,contradiction,3,True,True
angle_p50,title,half,11,33,contradiction,contradiction,1,True,True
angle_p50,title,half,11,34,unanimous,contradiction,1,False,False
angle_p50,title,half,11,35,unanimous,unanimous,0,False,False
angle_p50,title,half,11,36,contradiction,contradiction,0,True,True
angle_p50,title,half,12,13,contradiction,contradiction,0,True,True
angle_p50,title,half,12,14,contradiction,contradiction,0,True,True
angle_p50,title,half,12,15,contradiction,contradiction,2,True,True
angle_p50,title,half,12,16,contradiction,contradiction,1,True,True
angle_p50,title,half,12,17,contradiction,contradiction,1,True,True
angle_p50,title,half,12,18,contradiction,contradiction,1,True,True
angle_p50,title,half,12,19,contradiction,contradiction,3,True,True
angle_p50,title,half,12,20,contradiction,contradiction,0,True,True
angle_p50,title,half,12,21,contradiction,contradiction,1,True,True
angle_p50,title,half,12,22,contradiction,contradiction,0,True,True
angle_p50,title,half,12,23,contradiction,contradiction,1,True,True
angle_p50,title,half,12,24,contradiction,contradiction,1,True,True
angle_p50,title,half,12,25,contradiction,contradiction,2,True,True
angle_p50,title,half,12,26,contradiction,contradiction,1,True,True
angle_p50,title,half,12,27,contradiction,contradiction,0,True,True
angle_p50,title,half,12,28,contradiction,contradiction,1,True,True
angle_p50,title,half,12,29,contradiction,contradiction,2,True,True
angle_p50,title,half,12,30,contradiction,contradiction,1,True,True
angle_p50,title,half,12,31,contradiction,contradiction,1,True,True
angle_p50,title,half,12,32,contradiction,contradiction,1,True,True
angle_p50,title,half,12,33,contradiction,contradiction,0,True,True
angle_p50,title,half,12,34,contradiction,contradiction,0,True,True
angle_p50,title,half,12,35,unanimous,contradiction,1,False,False
angle_p50,title,half,12,36,contradiction,contradiction,4,True,True
angle_p50,title,half,13,14,contradiction,contradiction,0,True,True
angle_p50,title,half,13,15,unanimous,unanimous,0,False,False
angle_p50,title,half,13,16,contradiction,unanimous,3,True,False
angle_p50,title,half,13,17,contradiction,contradiction,2,True,True
angle_p50,title,half,13,18,contradiction,contradiction,2,True,True
angle_p50,title,half,13,19,contradiction,contradiction,1,True,True
angle_p50,title,half,13,20,contradiction,contradiction,0,True,True
angle_p50,title,half,13,21,contradiction,contradiction,2,True,True
angle_p50,title,half,13,22,contradiction,contradiction,0,True,True
angle_p50,title,half,13,23,contradiction,contradiction,0,True,True
angle_p50,title,half,13,24,unanimous,unanimous,0,False,False
angle_p50,title,half,13,25,unanimous,unanimous,0,False,False
angle_p50,title,half,13,26,contradiction,contradiction,0,True,True
angle_p50,title,half,13,27,contradiction,contradiction,1,True,True
angle_p50,title,half,13,28,contradiction,contradiction,3,True,True
angle_p50,title,half,13,29,contradiction,contradiction,2,True,True
angle_p50,title,half,13,30,contradiction,contradiction,2,True,True
angle_p50,title,half,13,31,contradiction,contradiction,4,True,True
angle_p50,title,half,13,32,contradiction,contradiction,1,True,True
angle_p50,title,half,13,33,contradiction,contradiction,1,True,True
angle_p50,title,half,13,34,unanimous,unanimous,0,False,False
angle_p50,title,half,13,35,unanimous,unanimous,0,False,False
angle_p50,title,half,13,36,contradiction,contradiction,1,True,True
angle_p50,title,half,14,15,contradiction,contradiction,0,True,True
angle_p50,title,half,14,16,contradiction,contradiction,1,True,True
angle_p50,title,half,14,17,contradiction,contradiction,1,True,True
angle_p50,title,half,14,18,contradiction,contradiction,2,True,True
angle_p50,title,half,14,19,contradiction,contradiction,5,True,True
angle_p50,title,half,14,20,contradiction,contradiction,0,True,True
angle_p50,title,half,14,21,contradiction,contradiction,1,True,True
angle_p50,title,half,14,22,contradiction,contradiction,1,True,True
angle_p50,title,half,14,23,unanimous,contradiction,2,False,False
angle_p50,title,half,14,24,contradiction,contradiction,2,True,True
angle_p50,title,half,14,25,contradiction,contradiction,2,True,True
angle_p50,title,half,14,26,contradiction,contradiction,3,True,True
angle_p50,title,half,14,27,contradiction,contradiction,0,True,True
angle_p50,title,half,14,28,contradiction,contradiction,0,True,True
angle_p50,title,half,14,29,contradiction,contradiction,1,True,True
angle_p50,title,half,14,30,contradiction,contradiction,1,True,True
angle_p50,title,half,14,31,contradiction,contradiction,0,True,True
angle_p50,title,half,14,32,contradiction,contradiction,3,True,True
angle_p50,title,half,14,33,contradiction,contradiction,0,False,False
angle_p50,title,half,14,34,contradiction,contradiction,2,True,True
angle_p50,title,half,14,35,unanimous,unanimous,0,False,False
angle_p50,title,half,14,36,unanimous,unanimous,0,False,False
angle_p50,title,half,15,16,contradiction,contradiction,1,True,True
angle_p50,title,half,15,17,unanimous,unanimous,0,False,False
angle_p50,title,half,15,18,contradiction,contradiction,2,False,False
angle_p50,title,half,15,19,contradiction,contradiction,2,True,True
angle_p50,title,half,15,20,contradiction,contradiction,1,True,True
angle_p50,title,half,15,21,unanimous,unanimous,0,False,False
angle_p50,title,half,15,22,unanimous,unanimous,0,False,False
angle_p50,title,half,15,23,unanimous,unanimous,0,False,False
angle_p50,title,half,15,24,contradiction,contradiction,3,True,True
angle_p50,title,half,15,25,contradiction,contradiction,3,True,True
angle_p50,title,half,15,26,contradiction,contradiction,0,True,True
angle_p50,title,half,15,27,contradiction,unanimous,2,False,False
angle_p50,title,half,15,28,contradiction,unanimous,2,False,False
angle_p50,title,half,15,29,unanimous,unanimous,0,False,False
angle_p50,title,half,15,30,contradiction,contradiction,0,True,True
angle_p50,title,half,15,31,contradiction,contradiction,1,False,False
angle_p50,title,half,15,32,contradiction,contradiction,0,True,True
angle_p50,title,half,15,33,contradiction,contradiction,0,True,True
angle_p50,title,half,15,34,contradiction,contradiction,2,True,True
angle_p50,title,half,15,35,unanimous,contradiction,1,False,False
angle_p50,title,half,15,36,contradiction,contradiction,0,True,True
angle_p50,title,half,16,17,contradiction,contradiction,2,True,True
angle_p50,title,half,16,18,contradiction,contradiction,4,True,True
angle_p50,title,half,16,19,contradiction,contradiction,0,True,True
angle_p50,title,half,16,20,contradiction,contradiction,1,True,True
angle_p50,title,half,16,21,contradiction,contradiction,1,True,True
