metric,condition,reference,minimum_relative_difference,affected_models,field_pairs,reference_unanimous,reference_contradiction,reference_unresolved,changed_unanimous,changed_contradiction,changed_unresolved,model_direction_flips,affected_model_comparisons,pair_class_changes,original_persistent_contradictions,reference_supported_original_contradictions,same_original_witness_pair_retained,original_unanimous_retained_by_every_model
angle_p50,title,half,0.0,10,325,53,272,0,46,279,0,510,3250,21,262,262,246,33
angle_p50,title,half,0.01,10,325,42,257,26,37,255,33,169,3250,47,238,238,208,23
angle_p50,title,half,0.05,10,325,15,122,188,3,128,194,0,3250,66,96,96,67,3
angle_p50,title,half,0.1,10,325,0,25,300,0,20,305,0,3250,15,19,19,12,0
pr,title,half,0.0,10,325,79,246,0,78,247,0,431,3250,53,221,221,193,44
pr,title,half,0.01,10,325,73,240,12,70,243,12,325,3250,59,213,213,185,44
pr,title,half,0.05,10,325,55,218,52,49,221,55,139,3250,76,177,177,143,32
pr,title,half,0.1,10,325,35,170,120,27,178,120,49,3250,103,126,126,100,17
angle_p50,abstract,half,0.0,10,325,53,272,0,51,274,0,76,3250,6,262,262,262,42
angle_p50,abstract,half,0.01,10,325,42,257,26,37,259,29,0,3250,13,238,238,237,30
angle_p50,abstract,half,0.05,10,325,15,122,188,15,129,181,0,3250,13,96,96,96,10
angle_p50,abstract,half,0.1,10,325,0,25,300,0,22,303,0,3250,5,19,19,19,0
pr,abstract,half,0.0,10,325,79,246,0,72,253,0,72,3250,11,221,221,221,54
pr,abstract,half,0.01,10,325,73,240,12,64,247,14,15,3250,15,213,213,213,48
pr,abstract,half,0.05,10,325,55,218,52,49,224,52,0,3250,18,177,177,177,36
pr,abstract,half,0.1,10,325,35,170,120,31,173,121,0,3250,17,126,126,126,25
angle_p50,pool_cls,half,0.0,4,325,53,272,0,47,278,0,370,1300,18,262,262,253,33
angle_p50,pool_cls,half,0.01,4,325,42,257,26,33,258,34,226,1300,33,238,238,224,21
angle_p50,pool_cls,half,0.05,4,325,15,122,188,6,139,180,21,1300,63,96,96,83,4
angle_p50,pool_cls,half,0.1,4,325,0,25,300,0,27,298,1,1300,8,19,19,17,0
pr,pool_cls,half,0.0,4,325,79,246,0,50,275,0,318,1300,47,221,221,210,34
pr,pool_cls,half,0.01,4,325,73,240,12,43,269,13,268,1300,54,213,213,200,31
pr,pool_cls,half,0.05,4,325,55,218,52,28,239,58,144,1300,78,177,177,158,19
pr,pool_cls,half,0.1,4,325,35,170,120,15,184,126,49,1300,94,126,126,98,11
angle_p50,pool_sep,half,0.0,4,325,53,272,0,44,281,0,280,1300,9,262,262,257,37
angle_p50,pool_sep,half,0.01,4,325,42,257,26,34,270,21,127,1300,20,238,238,232,26
angle_p50,pool_sep,half,0.05,4,325,15,122,188,9,162,154,7,1300,48,96,96,92,8
angle_p50,pool_sep,half,0.1,4,325,0,25,300,0,50,275,0,1300,25,19,19,19,0
pr,pool_sep,half,0.0,4,325,79,246,0,51,274,0,374,1300,42,221,221,201,36
pr,pool_sep,half,0.01,4,325,73,240,12,45,272,8,337,1300,51,213,213,194,34
pr,pool_sep,half,0.05,4,325,55,218,52,33,246,46,185,1300,61,177,177,154,22
pr,pool_sep,half,0.1,4,325,35,170,120,18,191,116,89,1300,96,126,126,100,13
angle_p50,common,common_native,0.0,10,325,57,268,0,53,272,0,91,3250,6,262,262,262,42
