metric,model,field_a,field_b,field_a_name,field_b_name,value_a,value_b,raw_difference_b_minus_a,relative_difference_primary,relative_min,relative_max,relative_q05,relative_q95,half_min,half_max,external_min,external_max,positive_repetitions,negative_repetitions,direction,direction_and_alternatives,direction_minimum_0,direction_minimum_0.01,direction_minimum_0.05,direction_minimum_0.1
angle_p50,specter,12,27,Arts and Humanities,Medicine,48.00834112588872,59.23153356040341,11.223192434514694,0.20931006246222875,0.1959270076903081,0.2215237830241456,0.19799841171266647,0.21767037385690524,0.2008193763645641,0.2215237830241456,0.1959270076903081,0.203713541780981,25,0,1,1,1,1,1,1
angle_p50,specter2,12,27,Arts and Humanities,Medicine,33.12815255034605,35.695738968022916,2.567586417676864,0.07461322982562182,0.06804198385787785,0.08145004188854454,0.07146485448111403,0.07924862758189208,0.06804198385787785,0.08145004188854454,0.07280845253159415,0.07932399048274852,25,0,1,1,1,1,1,0
angle_p50,scincl,12,27,Arts and Humanities,Medicine,39.68629390212072,44.78670883194297,5.10041492982225,0.12075846163251187,0.11431163215962854,0.12804677825041005,0.11618194951182736,0.12724983293121084,0.11431163215962854,0.12804677825041005,0.11615496799316535,0.12105578571608286,25,0,1,1,1,1,1,1
angle_p50,scibert,12,27,Arts and Humanities,Medicine,34.67480677351577,35.54029653335302,0.8654897598372528,0.02465252400341014,0.01532335552332284,0.03131896430122373,0.017527181438080505,0.03123160969967042,0.01532335552332284,0.03131896430122373,0.017020261874351874,0.027260456163114028,25,0,1,0,1,1,0,0
angle_p50,bert,12,27,Arts and Humanities,Medicine,37.25915750797503,30.93411354795116,-6.325043960023873,-0.18550346279287944,-0.19624632278359483,-0.1784041137855272,-0.19455251423453299,-0.17911911522103088,-0.19624632278359483,-0.1784041137855272,-0.19401765839836588,-0.17906388476444754,0,25,-1,-1,-1,-1,-1,-1
angle_p50,mpnet,12,27,Arts and Humanities,Medicine,82.07480638793741,84.81893914614125,2.7441327582038326,0.03288478845534086,0.03026963559721491,0.03724574279064694,0.030802193702203277,0.03599449654254036,0.03078584409119955,0.03724574279064694,0.03026963559721491,0.03427883482231616,25,0,1,1,1,1,0,0
angle_p50,minilm,12,27,Arts and Humanities,Medicine,83.55691917377594,85.14705163124493,1.5901324574689966,0.018851156257688653,0.014411950151821151,0.021359399810257335,0.01650301241162755,0.020925834667047387,0.01639969407547474,0.021359399810257335,0.014411950151821151,0.02023915217049404,25,0,1,1,1,1,0,0
angle_p50,pubmedbert,12,27,Arts and Humanities,Medicine,10.159414669401722,10.138590261602356,-0.02082440779936512,-0.0020518674490572213,-0.011807480158971826,0.008030807196858275,-0.01132795001565636,0.0059863249620673185,-0.011679229560355296,0.008030807196858275,-0.011807480158971826,-0.001087289570325492,9,16,0,0,0,0,0,0
angle_p50,biobert,12,27,Arts and Humanities,Medicine,24.792711713250615,22.368353976294145,-2.4243577369564697,-0.10281183011917948,-0.11035182217675095,-0.09250360618323591,-0.10813203627193485,-0.09331940230593906,-0.11035182217675095,-0.09250360618323591,-0.10741268997166502,-0.09691634308912457,0,25,-1,-1,-1,-1,-1,0
angle_p50,simcse,12,27,Arts and Humanities,Medicine,62.13361614541811,50.86545543091711,-11.268160714501,-0.19943811143419748,-0.20885531971708282,-0.18513189632519544,-0.20684906374979073,-0.192218677249048,-0.20885531971708282,-0.18513189632519544,-0.20235398687539216,-0.19198817852979896,0,25,-1,-1,-1,-1,-1,-1
pr,specter,12,27,Arts and Humanities,Medicine,31.316769132899548,44.934487546205744,13.617718413306196,0.3571801700427,0.33797232573967984,0.39354255607462485,0.33952076830080075,0.3811095506818755,0.33797232573967984,0.3747927681366151,0.36254649903588637,0.39354255607462485,25,0,1,1,1,1,1,1
pr,specter2,12,27,Arts and Humanities,Medicine,59.608880737215316,68.64656791867847,9.037687181463156,0.14093260405195024,0.12358859086879961,0.16121441405852155,0.12428165291603889,0.15578744656209806,0.12358859086879961,0.16121441405852155,0.12423327723530131,0.15792163446334312,25,0,1,0,1,1,1,1
pr,scincl,12,27,Arts and Humanities,Medicine,31.536798550943633,47.212032078489315,15.675233527545682,0.3981070805053186,0.36377972237974987,0.4229530178799521,0.3803288365955965,0.4169353630936117,0.36377972237974987,0.4229530178799521,0.38026326557845813,0.4027301288404705,25,0,1,1,1,1,1,1
pr,scibert,12,27,Arts and Humanities,Medicine,38.05659584382594,39.24968712206153,1.1930912782355918,0.03086660572626576,-0.026269123197269047,0.09425742796332527,-0.0027687754409117978,0.08239675339434682,-0.026269123197269047,0.08261718746238543,0.020396868288569674,0.09425742796332527,23,2,0,0,0,0,0,0
pr,bert,12,27,Arts and Humanities,Medicine,39.5418567517706,24.187739058248265,-15.354117693522337,-0.4818520343136566,-0.5164608412331657,-0.41597026821960076,-0.5065625204207402,-0.43157978069217184,-0.5164608412331657,-0.45427958388298373,-0.4856674995289615,-0.41597026821960076,0,25,-1,-1,-1,-1,-1,-1
pr,mpnet,12,27,Arts and Humanities,Medicine,77.14097111689274,75.88838118374265,-1.252589933150091,-0.016370583999980638,-0.04006612472383174,0.016706257367282262,-0.0263748046382437,0.009587239431021938,-0.04006612472383174,0.006992790816950357,-0.02070891934244942,0.016706257367282262,10,15,0,0,0,0,0,0
pr,minilm,12,27,Arts and Humanities,Medicine,88.87283338251297,80.78146212403693,-8.09137125847603,-0.0953865769719181,-0.11697784930759193,-0.05633034446572267,-0.09547910754767644,-0.06209879266032214,-0.11697784930759193,-0.06085874605765813,-0.09373535123161623,-0.05633034446572267,0,25,-1,-1,-1,-1,-1,0
pr,pubmedbert,12,27,Arts and Humanities,Medicine,25.737116511268344,33.99778243408099,8.260665922812645,0.2765775474189793,0.20420648108653996,0.3637224583423836,0.2382085638456886,0.3376938445540807,0.20420648108653996,0.3637224583423836,0.25068826797487614,0.2840861512493346,25,0,1,1,1,1,1,1
pr,biobert,12,27,Arts and Humanities,Medicine,27.892421452963728,51.18983041419596,23.297408961232232,0.5891943744942068,0.44556012650364674,0.6302053643546724,0.507141850523692,0.6171757059738671,0.505081200723158,0.6302053643546724,0.44556012650364674,0.5884141782169109,25,0,1,1,1,1,1,1
pr,simcse,12,27,Arts and Humanities,Medicine,54.23167836514911,39.57865172083204,-14.653026644317066,-0.31239686782653775,-0.32153728387719316,-0.28574771903338864,-0.32045202447601256,-0.2871938028718991,-0.32153728387719316,-0.28574771903338864,-0.31048602992731666,-0.30284782413244077,0,25,-1,-1,-1,-1,-1,-1
