metric,field_id,field_name,unanimous,contradiction,unresolved,pairs,models,contradiction_minimum5pct,contradiction_and_alternatives
angle_p50,11,Agricultural and Biological Sciences,2,22,1,25,10,7,18
angle_p50,12,Arts and Humanities,1,24,0,25,10,23,24
angle_p50,13,"Biochemistry, Genetics and Molecular Biology",4,20,1,25,10,9,20
angle_p50,14,"Business, Management and Accounting",2,21,2,25,10,9,18
angle_p50,15,Chemical Engineering,6,14,5,25,10,2,9
angle_p50,16,Chemistry,1,24,0,25,10,7,22
angle_p50,17,Computer Science,3,22,0,25,10,4,16
angle_p50,18,Decision Sciences,1,23,1,25,10,7,21
angle_p50,19,Earth and Planetary Sciences,1,22,2,25,10,5,18
angle_p50,20,"Economics, Econometrics and Finance",1,23,1,25,10,9,21
angle_p50,21,Energy,3,20,2,25,10,4,12
angle_p50,22,Engineering,3,20,2,25,10,3,14
angle_p50,23,Environmental Science,3,19,3,25,10,4,17
angle_p50,24,Immunology and Microbiology,3,19,3,25,10,8,17
angle_p50,25,Materials Science,7,15,3,25,10,1,14
angle_p50,26,Mathematics,1,24,0,25,10,17,22
angle_p50,27,Medicine,3,20,2,25,10,12,19
angle_p50,28,Neuroscience,1,21,3,25,10,10,17
angle_p50,29,Nursing,3,21,1,25,10,7,19
angle_p50,30,"Pharmacology, Toxicology and Pharmaceutics",1,23,1,25,10,8,20
angle_p50,31,Physics and Astronomy,2,22,1,25,10,9,20
angle_p50,32,Psychology,1,23,1,25,10,6,20
angle_p50,33,Social Sciences,1,22,2,25,10,11,19
angle_p50,34,Veterinary,4,17,4,25,10,4,14
angle_p50,35,Dentistry,24,0,1,25,10,0,0
angle_p50,36,Health Professions,2,23,0,25,10,6,19
pr,11,Agricultural and Biological Sciences,3,19,3,25,10,15,17
pr,12,Arts and Humanities,2,23,0,25,10,23,20
pr,13,"Biochemistry, Genetics and Molecular Biology",6,17,2,25,10,16,17
pr,14,"Business, Management and Accounting",3,15,7,25,10,11,15
pr,15,Chemical Engineering,8,12,5,25,10,8,6
pr,16,Chemistry,4,15,6,25,10,14,15
pr,17,Computer Science,4,21,0,25,10,20,21
pr,18,Decision Sciences,4,17,4,25,10,10,17
pr,19,Earth and Planetary Sciences,3,17,5,25,10,15,12
pr,20,"Economics, Econometrics and Finance",1,18,6,25,10,13,17
pr,21,Energy,22,2,1,25,10,2,2
pr,22,Engineering,7,12,6,25,10,7,12
pr,23,Environmental Science,1,19,5,25,10,13,18
pr,24,Immunology and Microbiology,2,20,3,25,10,17,17
pr,25,Materials Science,4,18,3,25,10,13,15
pr,26,Mathematics,8,14,3,25,10,12,14
pr,27,Medicine,6,14,5,25,10,11,12
pr,28,Neuroscience,2,19,4,25,10,15,17
pr,29,Nursing,3,14,8,25,10,8,12
pr,30,"Pharmacology, Toxicology and Pharmaceutics",4,18,3,25,10,15,17
pr,31,Physics and Astronomy,3,19,3,25,10,17,14
pr,32,Psychology,2,21,2,25,10,16,17
pr,33,Social Sciences,1,22,2,25,10,21,20
pr,34,Veterinary,1,19,5,25,10,15,19
pr,35,Dentistry,3,16,6,25,10,12,13
pr,36,Health Professions,1,21,3,25,10,15,16
