metric,model,field_a,field_b,field_a_name,field_b_name,value_a,value_b,raw_difference_b_minus_a,relative_difference_primary,relative_min,relative_max,relative_q05,relative_q95,half_min,half_max,external_min,external_max,positive_repetitions,negative_repetitions,direction,direction_and_alternatives,direction_minimum_0,direction_minimum_0.01,direction_minimum_0.05,direction_minimum_0.1
angle_p50,specter,11,12,Agricultural and Biological Sciences,Arts and Humanities,55.8371385877325,48.00834112588872,-7.828797461843777,-0.1507778188021965,-0.16264265440950093,-0.1326270749373851,-0.15888459327508378,-0.13982851319530712,-0.16264265440950093,-0.14099968037157,-0.14984510475456922,-0.1326270749373851,0,25,-1,-1,-1,-1,-1,-1
angle_p50,specter2,11,12,Agricultural and Biological Sciences,Arts and Humanities,35.31908940130571,33.12815255034605,-2.190936850959659,-0.06401826541111018,-0.06999123300315992,-0.0577226625355818,-0.06831527516911116,-0.05979897047748772,-0.06999123300315992,-0.0577226625355818,-0.06708768015934495,-0.06039807144544077,0,25,-1,-1,-1,-1,-1,0
angle_p50,scincl,11,12,Agricultural and Biological Sciences,Arts and Humanities,40.747379689064616,39.68629390212072,-1.0610857869438988,-0.026384118480948814,-0.03709028325897447,-0.016150520814902643,-0.03653655844649255,-0.016773066702047798,-0.03709028325897447,-0.016150520814902643,-0.02842277891632793,-0.01832129212242322,0,25,-1,0,-1,-1,0,0
angle_p50,scibert,11,12,Agricultural and Biological Sciences,Arts and Humanities,35.264304179927905,34.67480677351577,-0.5894974064121357,-0.01685744638088254,-0.02466573910345571,-0.0029757840279573794,-0.022567797991548587,-0.008981440448155662,-0.02466573910345571,-0.011083175375720764,-0.02049985596127274,-0.0029757840279573794,0,25,-1,0,-1,0,0,0
angle_p50,bert,11,12,Agricultural and Biological Sciences,Arts and Humanities,33.4690916612131,37.25915750797503,3.7900658467619337,0.1071726188978824,0.10106968054980947,0.1167636810270433,0.10239739487430144,0.11630026870962673,0.10106968054980947,0.11606694367163548,0.10544067784703476,0.1167636810270433,25,0,1,1,1,1,1,1
angle_p50,mpnet,11,12,Agricultural and Biological Sciences,Arts and Humanities,80.93195179412339,82.07480638793741,1.1428545938140218,0.014022174375587268,0.008820379573931277,0.020092422190605825,0.010352024767057214,0.018495591956178815,0.008820379573931277,0.020092422190605825,0.01183748680975614,0.01873523952791821,25,0,1,1,1,0,0,0
angle_p50,minilm,11,12,Agricultural and Biological Sciences,Arts and Humanities,81.70028171803716,83.55691917377594,1.8566374557387775,0.022469670861171603,0.018369394199248382,0.028174637662884153,0.018620981422550028,0.027782841668223358,0.018369394199248382,0.02816648281396875,0.020112487639368595,0.028174637662884153,25,0,1,1,1,1,0,0
angle_p50,pubmedbert,11,12,Agricultural and Biological Sciences,Arts and Humanities,10.151686773227901,10.159414669401722,0.007727896173820525,0.0007609529395191693,-0.006483493417092641,0.0161592355683919,-0.005832501976165386,0.01036035478128906,-0.006483493417092641,0.008580035178988367,0.001173567359402136,0.0161592355683919,14,11,0,0,0,0,0,0
angle_p50,biobert,11,12,Agricultural and Biological Sciences,Arts and Humanities,22.98507052976287,24.792711713250615,1.8076411834877462,0.07566869363226153,0.06794781673389721,0.08935427033267214,0.06923664174675687,0.08460653499997217,0.06794781673389721,0.0808786312585583,0.07270131581794345,0.08935427033267214,25,0,1,1,1,1,1,0
angle_p50,simcse,11,12,Agricultural and Biological Sciences,Arts and Humanities,53.74015337892906,62.13361614541811,8.393462766489051,0.14487252466099212,0.13595198909162845,0.1546782763488752,0.13950189992936177,0.15305320553455198,0.13595198909162845,0.1546782763488752,0.14513408879262793,0.15245530648264818,25,0,1,1,1,1,1,1
angle_p50,specter,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",55.8371385877325,57.519149156921124,1.682010569188627,0.029676528804075234,0.022750030633642504,0.03822391903808909,0.024910058527311745,0.03539027349811978,0.022750030633642504,0.03548358717689952,0.029780750151750204,0.03822391903808909,25,0,1,1,1,1,0,0
angle_p50,specter2,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",35.31908940130571,35.076051102938315,-0.2430382983673951,-0.006904973741837838,-0.01605551272725571,-0.001288566396373363,-0.010901279495994284,-0.001948803708969671,-0.01605551272725571,-0.001766645587806231,-0.005633953551240502,-0.001288566396373363,0,25,-1,0,-1,0,0,0
angle_p50,scincl,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",40.747379689064616,43.54271297782188,2.795333288757263,0.06632649698949529,0.058382939014655556,0.07184724094574198,0.05949191631799826,0.07056340023765353,0.058382939014655556,0.07184724094574198,0.06476545550910592,0.07059744131282712,25,0,1,1,1,1,1,0
angle_p50,scibert,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",35.264304179927905,35.20901365738681,-0.05529052254109246,-0.0015691193273666716,-0.010994833308775069,0.00807605539533019,-0.007425228215873666,0.007375906689376002,-0.010994833308775069,0.007464078177020391,-0.0012747069152286873,0.00807605539533019,12,13,0,0,0,0,0,0
angle_p50,bert,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",33.4690916612131,32.09762760372267,-1.371464057490428,-0.041834152230455404,-0.05876138294258614,-0.027168027015752844,-0.05196248556501787,-0.02812107819599669,-0.05876138294258614,-0.02798504460324471,-0.04006102759653956,-0.027168027015752844,0,25,-1,-1,-1,-1,0,0
