metric,model_a,model_b,field_pairs,opposite_persistent,opposite_minimum5pct,opposite_and_alternatives
angle_p50,specter,specter2,325,95,2,54
angle_p50,specter,scincl,325,82,8,35
angle_p50,specter,scibert,325,75,1,21
angle_p50,specter,bert,325,161,57,98
angle_p50,specter,mpnet,325,113,12,68
angle_p50,specter,minilm,325,124,8,74
angle_p50,specter,pubmedbert,325,108,7,34
angle_p50,specter,biobert,325,171,43,98
angle_p50,specter,simcse,325,153,55,103
angle_p50,specter2,scincl,325,77,1,39
angle_p50,specter2,scibert,325,101,0,44
angle_p50,specter2,bert,325,127,18,70
angle_p50,specter2,mpnet,325,55,0,17
angle_p50,specter2,minilm,325,70,0,22
angle_p50,specter2,pubmedbert,325,109,1,42
angle_p50,specter2,biobert,325,146,17,82
angle_p50,specter2,simcse,325,135,21,87
angle_p50,scincl,scibert,325,85,0,33
angle_p50,scincl,bert,325,114,29,58
angle_p50,scincl,mpnet,325,48,0,14
angle_p50,scincl,minilm,325,56,0,13
angle_p50,scincl,pubmedbert,325,99,3,39
angle_p50,scincl,biobert,325,118,20,59
angle_p50,scincl,simcse,325,99,27,58
angle_p50,scibert,bert,325,80,0,13
angle_p50,scibert,mpnet,325,88,0,31
angle_p50,scibert,minilm,325,93,0,37
angle_p50,scibert,pubmedbert,325,10,0,0
angle_p50,scibert,biobert,325,59,0,7
angle_p50,scibert,simcse,325,92,0,20
angle_p50,bert,mpnet,325,88,1,37
angle_p50,bert,minilm,325,80,0,32
angle_p50,bert,pubmedbert,325,61,0,8
angle_p50,bert,biobert,325,28,0,2
angle_p50,bert,simcse,325,17,0,1
angle_p50,mpnet,minilm,325,8,0,0
angle_p50,mpnet,pubmedbert,325,84,0,34
angle_p50,mpnet,biobert,325,110,4,54
angle_p50,mpnet,simcse,325,95,2,53
angle_p50,minilm,pubmedbert,325,85,0,34
angle_p50,minilm,biobert,325,98,0,47
angle_p50,minilm,simcse,325,83,0,47
angle_p50,pubmedbert,biobert,325,34,0,2
angle_p50,pubmedbert,simcse,325,83,1,26
angle_p50,biobert,simcse,325,35,0,8
pr,specter,specter2,325,83,41,41
pr,specter,scincl,325,35,10,4
pr,specter,scibert,325,42,15,9
pr,specter,bert,325,122,89,98
pr,specter,mpnet,325,60,34,30
pr,specter,minilm,325,62,34,33
pr,specter,pubmedbert,325,52,26,17
pr,specter,biobert,325,56,28,33
pr,specter,simcse,325,101,63,80
pr,specter2,scincl,325,66,33,23
pr,specter2,scibert,325,72,30,44
pr,specter2,bert,325,67,41,39
pr,specter2,mpnet,325,65,37,38
pr,specter2,minilm,325,60,32,34
pr,specter2,pubmedbert,325,73,34,34
pr,specter2,biobert,325,61,29,39
pr,specter2,simcse,325,63,33,35
pr,scincl,scibert,325,53,22,16
pr,scincl,bert,325,101,73,61
pr,scincl,mpnet,325,49,25,11
pr,scincl,minilm,325,48,25,14
pr,scincl,pubmedbert,325,56,29,22
pr,scincl,biobert,325,56,29,34
pr,scincl,simcse,325,85,55,46
pr,scibert,bert,325,76,38,62
pr,scibert,mpnet,325,52,24,28
pr,scibert,minilm,325,58,24,36
pr,scibert,pubmedbert,325,21,6,3
pr,scibert,biobert,325,39,11,14
pr,scibert,simcse,325,62,26,50
pr,bert,mpnet,325,67,46,51
pr,bert,minilm,325,59,32,40
pr,bert,pubmedbert,325,104,66,80
pr,bert,biobert,325,96,68,83
pr,bert,simcse,325,12,4,6
pr,mpnet,minilm,325,6,0,1
pr,mpnet,pubmedbert,325,85,57,56
pr,mpnet,biobert,325,99,64,81
pr,mpnet,simcse,325,48,24,31
pr,minilm,pubmedbert,325,90,58,62
pr,minilm,biobert,325,98,63,82
pr,minilm,simcse,325,40,15,25
pr,pubmedbert,biobert,325,15,5,0
pr,pubmedbert,simcse,325,97,59,71
pr,biobert,simcse,325,96,62,72
