metric,panel,minimum_relative_difference,unanimous,contradiction,unresolved,pairs,models,contradiction_and_alternatives,unanimous_and_alternatives
angle_p50,all_ten,0.0,42,262,21,325,10,225,28
angle_p50,all_ten,0.01,30,238,57,325,10,215,27
angle_p50,all_ten,0.05,10,96,219,325,10,95,10
angle_p50,all_ten,0.1,0,19,306,325,10,19,0
angle_p50,six_similarity,0.0,61,231,33,325,6,190,39
angle_p50,six_similarity,0.01,44,199,82,325,6,178,38
angle_p50,six_similarity,0.05,18,80,227,325,6,80,18
angle_p50,six_similarity,0.1,2,17,306,325,6,17,2
angle_p50,omit_specter,0.0,59,234,32,325,9,182,33
angle_p50,omit_specter,0.01,37,200,88,325,9,172,31
angle_p50,omit_specter,0.05,11,49,265,325,9,47,11
angle_p50,omit_specter,0.1,0,8,317,325,9,8,0
angle_p50,omit_specter2,0.0,47,251,27,325,9,205,29
angle_p50,omit_specter2,0.01,35,223,67,325,9,194,28
angle_p50,omit_specter2,0.05,12,90,223,325,9,88,12
angle_p50,omit_specter2,0.1,0,18,307,325,9,18,0
angle_p50,omit_scincl,0.0,42,259,24,325,9,217,28
angle_p50,omit_scincl,0.01,30,228,67,325,9,207,27
angle_p50,omit_scincl,0.05,10,85,230,325,9,84,10
angle_p50,omit_scincl,0.1,0,16,309,325,9,16,0
angle_p50,omit_scibert,0.0,44,258,23,325,9,222,29
angle_p50,omit_scibert,0.01,33,234,58,325,9,212,28
angle_p50,omit_scibert,0.05,11,96,218,325,9,95,11
angle_p50,omit_scibert,0.1,0,19,306,325,9,19,0
angle_p50,omit_bert,0.0,43,261,21,325,9,223,29
angle_p50,omit_bert,0.01,30,233,62,325,9,211,27
angle_p50,omit_bert,0.05,11,93,221,325,9,91,11
angle_p50,omit_bert,0.1,0,18,307,325,9,18,0
angle_p50,omit_mpnet,0.0,42,262,21,325,9,223,28
angle_p50,omit_mpnet,0.01,31,237,57,325,9,213,27
angle_p50,omit_mpnet,0.05,10,94,221,325,9,93,10
angle_p50,omit_mpnet,0.1,0,19,306,325,9,19,0
