metric,field_a,field_b,field_a_name,field_b_name,class,positive_count,negative_count,unresolved_count,positive_models,negative_models,unresolved_models,opposing_model_pairs,total_model_pairs,primary_point_class,minimum5pct_class,all_alternatives_class,median_absolute_primary_relative_difference,minimum_primary_relative_difference,maximum_primary_relative_difference
angle_p50,11,12,Agricultural and Biological Sciences,Arts and Humanities,contradiction,5,4,1,bert|mpnet|minilm|biobert|simcse,specter|specter2|scincl|scibert,pubmedbert,20,45,contradiction,contradiction,contradiction,0.04520119194602949,-0.1507778188021965,0.14487252466099212
angle_p50,11,13,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",contradiction,4,4,2,specter|scincl|mpnet|minilm,specter2|bert|biobert|simcse,scibert|pubmedbert,16,45,contradiction,unresolved,contradiction,0.027934983107814296,-0.041834152230455404,0.06632649698949529
angle_p50,11,14,Agricultural and Biological Sciences,"Business, Management and Accounting",contradiction,2,6,2,scincl|simcse,specter|specter2|scibert|bert|mpnet|pubmedbert,minilm|biobert,12,45,contradiction,unresolved,contradiction,0.03524857195427642,-0.05639710777455616,0.03971844459844916
angle_p50,11,15,Agricultural and Biological Sciences,Chemical Engineering,contradiction,1,8,1,minilm,specter|specter2|scincl|scibert|bert|pubmedbert|biobert|simcse,mpnet,8,45,contradiction,unresolved,unresolved,0.049948897598926456,-0.0746048019608307,0.012993575927550925
angle_p50,11,16,Agricultural and Biological Sciences,Chemistry,contradiction,2,8,0,pubmedbert|biobert,specter|specter2|scincl|scibert|bert|mpnet|minilm|simcse,,16,45,contradiction,unresolved,contradiction,0.035105377817766445,-0.08124342746674199,0.033877431340247774
angle_p50,11,17,Agricultural and Biological Sciences,Computer Science,contradiction,5,3,2,specter|specter2|scincl|mpnet|minilm,scibert|pubmedbert|biobert,bert|simcse,15,45,contradiction,unresolved,contradiction,0.03203369481950999,-0.035524253977283905,0.18737164165122688
angle_p50,11,18,Agricultural and Biological Sciences,Decision Sciences,contradiction,4,4,2,scincl|mpnet|minilm|simcse,specter|specter2|scibert|pubmedbert,bert|biobert,16,45,contradiction,unresolved,contradiction,0.026544523718103542,-0.0549884780835394,0.10575637099791718
angle_p50,11,19,Agricultural and Biological Sciences,Earth and Planetary Sciences,contradiction,4,4,2,specter2|bert|mpnet|simcse,specter|scincl|scibert|pubmedbert,minilm|biobert,16,45,contradiction,unresolved,unresolved,0.01699342793846119,-0.07438312850357755,0.01873610007822594
angle_p50,11,20,Agricultural and Biological Sciences,"Economics, Econometrics and Finance",contradiction,5,4,1,bert|mpnet|minilm|biobert|simcse,specter|specter2|scibert|pubmedbert,scincl,20,45,contradiction,contradiction,contradiction,0.025651397993431937,-0.06480010740177805,0.06556329200876461
angle_p50,11,21,Agricultural and Biological Sciences,Energy,contradiction,5,1,4,scincl|bert|mpnet|minilm|simcse,specter,specter2|scibert|pubmedbert|biobert,5,45,contradiction,unresolved,unresolved,0.026617997407722097,-0.028333323730850804,0.03854901243882087
