metric,model_a,model_b,field_rank_spearman
angle_p50,specter,specter2,0.3921367521367521
angle_p50,specter,scincl,0.4427350427350427
angle_p50,specter,scibert,0.3388034188034188
angle_p50,specter,bert,-0.24649572649572649
angle_p50,specter,mpnet,0.21641025641025638
angle_p50,specter,minilm,0.11452991452991453
angle_p50,specter,pubmedbert,0.11316239316239315
angle_p50,specter,biobert,-0.33196581196581193
angle_p50,specter,simcse,-0.1979487179487179
angle_p50,specter2,scincl,0.47282051282051274
angle_p50,specter2,scibert,0.14803418803418802
angle_p50,specter2,bert,0.022905982905982905
angle_p50,specter2,mpnet,0.6909401709401709
angle_p50,specter2,minilm,0.5569230769230769
angle_p50,specter2,pubmedbert,0.09606837606837607
angle_p50,specter2,biobert,-0.15897435897435896
angle_p50,specter2,simcse,-0.07008547008547007
angle_p50,scincl,scibert,0.23487179487179485
angle_p50,scincl,bert,0.18905982905982904
angle_p50,scincl,mpnet,0.7415384615384616
angle_p50,scincl,minilm,0.7223931623931623
angle_p50,scincl,pubmedbert,0.1692307692307692
angle_p50,scincl,biobert,0.12547008547008545
angle_p50,scincl,simcse,0.31897435897435894
angle_p50,scibert,bert,0.3511111111111111
angle_p50,scibert,mpnet,0.2553846153846154
angle_p50,scibert,minilm,0.14803418803418802
angle_p50,scibert,pubmedbert,0.8570940170940171
angle_p50,scibert,biobert,0.5076923076923077
angle_p50,scibert,simcse,0.2287179487179487
angle_p50,bert,mpnet,0.42017094017094014
angle_p50,bert,minilm,0.4297435897435897
angle_p50,bert,pubmedbert,0.5446153846153846
angle_p50,bert,biobert,0.8153846153846154
angle_p50,bert,simcse,0.8823931623931623
angle_p50,mpnet,minilm,0.9541880341880341
angle_p50,mpnet,pubmedbert,0.29435897435897435
angle_p50,mpnet,biobert,0.24991452991452992
angle_p50,mpnet,simcse,0.3572649572649573
angle_p50,minilm,pubmedbert,0.2581196581196581
angle_p50,minilm,biobert,0.31418803418803415
angle_p50,minilm,simcse,0.39829059829059826
angle_p50,pubmedbert,biobert,0.7305982905982905
angle_p50,pubmedbert,simcse,0.3415384615384615
angle_p50,biobert,simcse,0.7347008547008547
pr,specter,specter2,0.3852991452991453
pr,specter,scincl,0.8386324786324786
pr,specter,scibert,0.6868376068376068
pr,specter,bert,0.22735042735042732
pr,specter,mpnet,0.6485470085470085
pr,specter,minilm,0.6335042735042735
pr,specter,pubmedbert,0.612991452991453
pr,specter,biobert,0.558974358974359
pr,specter,simcse,0.305982905982906
pr,specter2,scincl,0.4741880341880342
