model,field_id,small_n,large_n,small_gap25,large_gap25,large_gap50,relative_change_fixed_k,relative_change_approximately_fixed_fraction,small_neighbor_fraction,large_neighbor_fraction
specter,11,500,1000,0.13427531304245127,0.0896766748364008,0.12929692105894053,-0.33214324506508935,-0.037076003553511136,0.050100200400801605,0.05005005005005005
specter,11,1000,2000,0.0896766748364008,0.0653796764992972,0.0905771869106485,-0.27094000063482687,0.010041764772060695,0.025025025025025027,0.02501250625312656
specter,11,2000,4000,0.0653796764992972,0.05202433479114012,0.0691827568012216,-0.20427359728983432,0.0581691514176471,0.01250625312656328,0.012503125781445362
specter,12,500,1000,0.20415323353007844,0.116160909116567,0.1698362177680525,-0.431011171814466,-0.16809440227146796,0.050100200400801605,0.05005005005005005
specter,12,1000,2000,0.116160909116567,0.08497919779477485,0.11556632841878173,-0.2684354965791584,-0.00511859542342779,0.025025025025025027,0.02501250625312656
specter,12,2000,4000,0.08497919779477485,0.06132409108983061,0.08226945454228195,-0.2783634974064056,-0.0318871361793382,0.01250625312656328,0.012503125781445362
specter,13,500,1000,0.14419078045778852,0.09904133006497616,0.149506268114056,-0.3131230044630332,0.036864268571065735,0.050100200400801605,0.05005005005005005
specter,13,1000,2000,0.09904133006497616,0.07333636477862006,0.1036282943801663,-0.2595377633710324,0.04631363807595126,0.025025025025025027,0.02501250625312656
specter,13,2000,4000,0.07333636477862006,0.05696468767239932,0.07630007448852483,-0.22324091404914603,0.040412552747212074,0.01250625312656328,0.012503125781445362
specter,14,500,1000,0.1562127972737353,0.12331670358881393,0.16826772919722663,-0.21058513936778678,0.07716993827571754,0.050100200400801605,0.05005005005005005
specter,14,1000,2000,0.12331670358881393,0.09517144207538626,0.12338122089929922,-0.22823559740353558,0.0005231838721574672,0.025025025025025027,0.02501250625312656
specter,14,2000,4000,0.09517144207538626,0.0745307472473114,0.09889982032441982,-0.2168790802993734,0.03917538883229568,0.01250625312656328,0.012503125781445362
specter,15,500,1000,0.05519151932028589,0.035923583640845545,0.05534395527363606,-0.34911044154492643,0.002761945226866413,0.050100200400801605,0.05005005005005005
specter,15,1000,2000,0.035923583640845545,0.024783078168322405,0.0365104670641615,-0.31011676295725277,0.01633699547304244,0.025025025025025027,0.02501250625312656
specter,15,2000,4000,0.024783078168322405,0.019263981918940926,0.025331865465076178,-0.22269615630055015,0.022143629335569372,0.01250625312656328,0.012503125781445362
specter,16,500,1000,0.1096413151779306,0.07243133880499159,0.19518796632357324,-0.33937915020950893,0.7802410159602143,0.050100200400801605,0.05005005005005005
specter,16,1000,2000,0.07243133880499159,0.05513034215840543,0.07654527891223259,-0.23886064971359963,0.05679779188283474,0.025025025025025027,0.02501250625312656
specter,16,2000,4000,0.05513034215840543,0.04439026806484737,0.05930545423675326,-0.19481239682312734,0.07573165547116548,0.01250625312656328,0.012503125781445362
specter,17,500,1000,0.13640618053981962,0.09143871659918425,0.13193326053523186,-0.32965855185358334,-0.032791182825341506,0.050100200400801605,0.05005005005005005
specter,17,1000,2000,0.09143871659918425,0.0716574741356693,0.0980821688786486,-0.21633333449139233,0.07265469733773162,0.025025025025025027,0.02501250625312656
specter,17,2000,4000,0.0716574741356693,0.056040676756174024,0.07319582541220018,-0.21793675492842443,0.021468120319428564,0.01250625312656328,0.012503125781445362
specter,18,500,1000,0.15454337065951093,0.11720519822636472,0.16807384688348964,-0.24160319704304536,0.08755132081200026,0.050100200400801605,0.05005005005005005
specter,18,1000,2000,0.11720519822636472,0.0850027972616618,0.12145372831367175,-0.27475232713235714,0.0362486489643712,0.025025025025025027,0.02501250625312656
specter,18,2000,4000,0.0850027972616618,0.0636524200727242,0.08720683501782824,-0.25117264227452785,0.02592900265836913,0.01250625312656328,0.012503125781445362
specter,19,500,1000,0.11021076785624787,0.07235162889298037,0.11097208350766864,-0.3435157897878783,0.0069078155086787,0.050100200400801605,0.05005005005005005
specter,19,1000,2000,0.07235162889298037,0.049879393723225376,0.07289151563003875,-0.31059750158486443,0.007461984551266355,0.025025025025025027,0.02501250625312656
specter,19,2000,4000,0.049879393723225376,0.03757849799315968,0.05278075322820512,-0.2466127755746562,0.05816749740542221,0.01250625312656328,0.012503125781445362
specter,20,500,1000,0.13657732218019367,0.10940532574773774,0.19933921548297812,-0.19894954739708892,0.459533781310922,0.050100200400801605,0.05005005005005005
specter,20,1000,2000,0.10940532574773774,0.07593963316901756,0.10797150204523064,-0.3058872349220365,-0.013105611566050815,0.025025025025025027,0.02501250625312656
specter,20,2000,4000,0.07593963316901756,0.033423135098616226,0.08119204990963201,-0.5598723129959435,0.06916568491875962,0.01250625312656328,0.012503125781445362
specter,21,500,1000,0.031112090213332364,0.07133799815237236,0.030009304646280485,1.292934922186685,-0.035445563428564066,0.050100200400801605,0.05005005005005005
specter,21,1000,2000,0.07133799815237236,0.014737819770163607,0.020728869733930223,-0.7934085599278413,-0.7094273701141013,0.025025025025025027,0.02501250625312656
specter,21,2000,4000,0.014737819770163607,0.011240655425645799,0.014810031185553067,-0.2372918382132574,0.004899735273981991,0.01250625312656328,0.012503125781445362
specter,22,500,1000,0.15801475459413916,0.11401248220654311,0.16014007306543712,-0.2784693904098758,0.013450126709729353,0.050100200400801605,0.05005005005005005
specter,22,1000,2000,0.11401248220654311,0.08803264370877165,0.12390804563035454,-0.22786837015535566,0.086793684623801,0.025025025025025027,0.02501250625312656
specter,22,2000,4000,0.08803264370877165,0.06829520076227136,0.09201262288572368,-0.2242059549159448,0.045210265297933594,0.01250625312656328,0.012503125781445362
specter,23,500,1000,0.12391210596246753,0.09013751516873278,0.1438165309296855,-0.2725689353061672,0.16063341682891688,0.050100200400801605,0.05005005005005005
specter,23,1000,2000,0.09013751516873278,0.07238913704218969,0.09822476233945718,-0.19690334366683,0.08972121270023352,0.025025025025025027,0.02501250625312656
specter,23,2000,4000,0.07238913704218969,0.05545168684448331,0.07319319078263727,-0.23397778851590575,0.011107381208025182,0.01250625312656328,0.012503125781445362
specter,24,500,1000,0.12981039762137989,0.0889634662645408,0.12756639392707772,-0.3146660984428844,-0.017286779298275382,0.050100200400801605,0.05005005005005005
specter,24,1000,2000,0.0889634662645408,0.06862810786267337,0.09177854611435349,-0.22858100359307523,0.03164309989273349,0.025025025025025027,0.02501250625312656
specter,24,2000,4000,0.06862810786267337,0.051668815066830145,0.06867658046983152,-0.24711875824668242,0.0007063083722947147,0.01250625312656328,0.012503125781445362
specter,25,500,1000,0.15545214980894315,0.11842168619284327,0.16161140375660532,-0.23821133166451405,0.039621542418243436,0.050100200400801605,0.05005005005005005
specter,25,1000,2000,0.11842168619284327,0.0941015080612119,0.12681949667013942,-0.20536929437085774,0.07091446463294548,0.025025025025025027,0.02501250625312656
specter,25,2000,4000,0.0941015080612119,0.07582480945069199,0.0991461632557077,-0.19422322752395355,0.053608654084632903,0.01250625312656328,0.012503125781445362
specter,26,500,1000,0.10439879673067788,0.07429971110807909,0.07254637810658167,-0.2883087407630445,-0.3051033117389972,0.050100200400801605,0.05005005005005005
specter,26,1000,2000,0.07429971110807909,0.03293503585490329,0.04637147834159332,-0.5567272690065407,-0.37588615554453964,0.025025025025025027,0.02501250625312656
specter,26,2000,4000,0.03293503585490329,0.024527842307133726,0.03408754690564328,-0.25526596007995295,0.034993465797864234,0.01250625312656328,0.012503125781445362
specter,27,500,1000,0.2126130862576328,0.15425115641828802,0.2180123038766597,-0.27449829578516644,0.02539456866960871,0.050100200400801605,0.05005005005005005
specter,27,1000,2000,0.15425115641828802,0.11600057205335423,0.1618767599724415,-0.24797599741300086,0.04943628126504853,0.025025025025025027,0.02501250625312656
specter,27,2000,4000,0.11600057205335423,0.08559565572942492,0.11612599065172848,-0.26211005502580315,0.0010811894816911347,0.01250625312656328,0.012503125781445362
specter,28,500,1000,0.15952485445133796,0.10955798447487834,0.15858498511366795,-0.31322310337353537,-0.005891679643918522,0.050100200400801605,0.05005005005005005
specter,28,1000,2000,0.10955798447487834,0.07663519349206105,0.1082949949857137,-0.3005056285091343,-0.011528046040809094,0.025025025025025027,0.02501250625312656
specter,28,2000,4000,0.07663519349206105,0.057790343899621927,0.07923916296181524,-0.2459033341436182,0.03397876812334202,0.01250625312656328,0.012503125781445362
specter,29,500,1000,0.03798306237675936,0.026967808828765788,0.04420324871773624,-0.290004356118833,0.16376210741719494,0.050100200400801605,0.05005005005005005
specter,29,1000,2000,0.026967808828765788,0.02187460596990929,0.07246806376170778,-0.18886231696450342,1.6872062250904187,0.025025025025025027,0.02501250625312656
specter,29,2000,4000,0.02187460596990929,0.018510316832505955,0.054863584582671925,-0.15379884520120046,1.5080947587418159,0.01250625312656328,0.012503125781445362
specter,30,500,1000,0.0820737605332387,0.03863845313240638,0.05897742527886111,-0.5292228249154203,-0.28140949195356907,0.050100200400801605,0.05005005005005005
specter,30,1000,2000,0.03863845313240638,0.030186736071882412,0.06961898247348536,-0.21873849430673625,0.8018056322005127,0.025025025025025027,0.02501250625312656
specter,30,2000,4000,0.030186736071882412,0.026010722030974,0.0344814932645344,-0.13833936968091692,0.14227298978018246,0.01250625312656328,0.012503125781445362
specter,31,500,1000,0.10182357194427064,0.07105337580765593,0.10181052203355402,-0.3021912858591882,-0.000128161981233154,0.050100200400801605,0.05005005005005005
specter,31,1000,2000,0.07105337580765593,0.04944979751676708,0.07100983161850218,-0.3040471764405751,-0.0006128377245808895,0.025025025025025027,0.02501250625312656
specter,31,2000,4000,0.04944979751676708,0.037298381504945244,0.0519396682727751,-0.24573237145615448,0.05035148536581526,0.01250625312656328,0.012503125781445362
specter,32,500,1000,0.16315058152059955,0.11693243946083365,0.16797589296361146,-0.2832851812663037,0.029575815164364923,0.050100200400801605,0.05005005005005005
specter,32,1000,2000,0.11693243946083365,0.0891211815513808,0.12327953647713995,-0.23784039773469529,0.05428003593846385,0.025025025025025027,0.02501250625312656
specter,32,2000,4000,0.0891211815513808,0.07141785742820389,0.09521148777688898,-0.19864328339240492,0.06833735953104433,0.01250625312656328,0.012503125781445362
specter,33,500,1000,0.19532422111626932,0.10456076364848661,0.1391784929229714,-0.4646810157443534,-0.28744887793448015,0.050100200400801605,0.05005005005005005
specter,33,1000,2000,0.10456076364848661,0.07797667181308338,0.10222275632211435,-0.2542453871585511,-0.022360274014755682,0.025025025025025027,0.02501250625312656
specter,33,2000,4000,0.07797667181308338,0.06066569595254588,0.07767149038020656,-0.22200198415794606,-0.003913752995362059,0.01250625312656328,0.012503125781445362
specter,34,500,1000,0.09625186934352424,0.06873352386434808,0.13710547499523343,-0.28589933542966117,0.4244448022708225,0.050100200400801605,0.05005005005005005
specter,34,1000,2000,0.06873352386434808,0.05024168836480664,0.06830468587792211,-0.2690366281239527,-0.00623913866648713,0.025025025025025027,0.02501250625312656
specter,34,2000,4000,0.05024168836480664,0.038847164951704295,0.052425822742839,-0.22679419788535604,0.04347255136358643,0.01250625312656328,0.012503125781445362
specter,35,500,1000,0.11229070296548903,0.08095887864730064,0.11693659897566026,-0.27902420673079037,0.04137382603793198,0.050100200400801605,0.05005005005005005
specter,35,1000,2000,0.08095887864730064,0.059826452932374645,0.08321312607137792,-0.2610266602998534,0.02784435088210595,0.025025025025025027,0.02501250625312656
specter,35,2000,4000,0.059826452932374645,0.04691290683081301,0.06327363975249113,-0.21585010423664214,0.057619776054800446,0.01250625312656328,0.012503125781445362
specter,36,500,1000,0.23204575683325407,0.13993157906444023,0.24051793877811753,-0.39696557707368996,0.0365108246773566,0.050100200400801605,0.05005005005005005
specter,36,1000,2000,0.13993157906444023,0.07676158698050511,0.1320696655907476,-0.45143485485034474,-0.05618398310271429,0.025025025025025027,0.02501250625312656
specter,36,2000,4000,0.07676158698050511,0.06356806309884994,0.09297996888871338,-0.17187664300121744,0.21128252484315094,0.01250625312656328,0.012503125781445362
specter2,11,500,1000,0.24613568793357346,0.17167167772021652,0.24059924141756467,-0.3025323586291685,-0.022493473264644806,0.050100200400801605,0.05005005005005005
specter2,11,1000,2000,0.17167167772021652,0.1234619202343118,0.16931193387684043,-0.28082534129173603,-0.013745679396352744,0.025025025025025027,0.02501250625312656
specter2,11,2000,4000,0.1234619202343118,0.09776174294885306,0.1296167577504705,-0.20816278603705285,0.04985211233129824,0.01250625312656328,0.012503125781445362
specter2,12,500,1000,0.2381548636470611,0.15329054483109292,0.23050688992561977,-0.3563409015309246,-0.03211344754552404,0.050100200400801605,0.05005005005005005
specter2,12,1000,2000,0.15329054483109292,0.12032802225033455,0.16633681605320214,-0.21503297947749458,0.08510812742223979,0.025025025025025027,0.02501250625312656
