metric,model,condition,field_rank_spearman
angle_p50,specter,title,0.9302564102564103
angle_p50,specter2,title,0.965128205128205
angle_p50,scincl,title,0.9712820512820511
angle_p50,scibert,title,0.4789743589743589
angle_p50,bert,title,0.8304273504273504
angle_p50,mpnet,title,0.9063247863247862
angle_p50,minilm,title,0.8577777777777776
angle_p50,pubmedbert,title,0.7011965811965812
angle_p50,biobert,title,0.7989743589743589
angle_p50,simcse,title,0.8488888888888889
pr,specter,title,0.9767521367521367
pr,specter2,title,0.95008547008547
pr,scincl,title,0.9158974358974358
pr,scibert,title,0.5145299145299145
pr,bert,title,0.9829059829059829
pr,mpnet,title,0.9883760683760683
pr,minilm,title,0.9767521367521367
pr,pubmedbert,title,0.6635897435897435
pr,biobert,title,0.5275213675213675
pr,simcse,title,0.9569230769230769
gap_25,specter,title,0.8994871794871795
gap_25,specter2,title,0.9699145299145299
gap_25,scincl,title,0.8933333333333332
gap_25,scibert,title,0.6574358974358974
gap_25,bert,title,0.42358974358974355
gap_25,mpnet,title,0.9576068376068375
gap_25,minilm,title,0.9398290598290598
gap_25,pubmedbert,title,0.5788034188034188
gap_25,biobert,title,0.29387622342747877
gap_25,simcse,title,0.6184615384615384
angle_p50,specter,abstract,0.9972649572649572
angle_p50,specter2,abstract,0.9801709401709401
angle_p50,scincl,abstract,0.995213675213675
angle_p50,scibert,abstract,0.9856410256410256
angle_p50,bert,abstract,0.995213675213675
angle_p50,mpnet,abstract,0.9938461538461537
angle_p50,minilm,abstract,0.9965811965811966
angle_p50,pubmedbert,abstract,0.9897435897435896
angle_p50,biobert,abstract,0.9945299145299145
angle_p50,simcse,abstract,0.9931623931623932
pr,specter,abstract,0.9958974358974357
pr,specter2,abstract,0.989059829059829
pr,scincl,abstract,0.995213675213675
pr,scibert,abstract,0.9917948717948717
pr,bert,abstract,0.9986324786324786
pr,mpnet,abstract,0.9972649572649572
pr,minilm,abstract,0.995213675213675
pr,pubmedbert,abstract,0.9842735042735041
pr,biobert,abstract,0.9801709401709401
pr,simcse,abstract,0.9924786324786324
gap_25,specter,abstract,0.9357264957264957
gap_25,specter2,abstract,0.9931623931623932
gap_25,scincl,abstract,0.9965811965811966
gap_25,scibert,abstract,0.939145299145299
gap_25,bert,abstract,0.9856410256410256
gap_25,mpnet,abstract,0.995213675213675
gap_25,minilm,abstract,0.9863247863247863
gap_25,pubmedbert,abstract,0.9897435897435896
gap_25,biobert,abstract,0.9774358974358973
gap_25,simcse,abstract,0.989059829059829
angle_p50,specter,global_centered,0.8618803418803418
angle_p50,specter2,global_centered,0.612991452991453
