metric,condition,scale,model_share,field_share,interaction_share
angle_p50,primary,native units,0.9894413240882064,0.004126381186290427,0.006432294725503692
angle_p50,omit_MiniLM,native units,0.9869472152995886,0.004497432029096393,0.008555352671314973
angle_p50,relative_to_global_mixture,ratio,0.15640113233650263,0.3580335028940064,0.48556536476949064
pr,primary,native units,0.7263596421447613,0.14709992964369414,0.12654042821154474
pr,omit_MiniLM,native units,0.653978844496183,0.1790482387926987,0.16697291671111833
pr,primary,log(PR),0.6897562641730804,0.17855165304860748,0.1316920827783118
pr,relative_to_global_mixture,ratio,0.4477609028525681,0.2813495983087635,0.27088949883866864
gap_25,primary,native units,0.16293515480561674,0.623097311445695,0.21396753374868835
gap_25,omit_MiniLM,native units,0.17635635097919544,0.608898100558258,0.21474554846254654
gap_25,relative_to_global_mixture,ratio,0.08860579857330367,0.686463263251625,0.22493093817507137
