metric,field_id,field_name,min_model_value,max_model_value,median_rank,min_rank,max_rank,rank_range
angle_p50,11,Agricultural and Biological Sciences,10.151686773227901,81.70028171803716,15.5,6.0,21.0,15.0
angle_p50,12,Arts and Humanities,10.159414669401722,83.55691917377594,14.0,2.0,26.0,24.0
angle_p50,13,"Biochemistry, Genetics and Molecular Biology",10.20710519900629,83.86869199313654,18.0,6.0,25.0,19.0
angle_p50,14,"Business, Management and Accounting",9.7843621058178,82.24609558838212,9.0,3.0,21.0,18.0
angle_p50,15,Chemical Engineering,9.553178109516038,82.76880248469867,6.5,2.0,12.0,10.0
angle_p50,16,Chemistry,10.457945119346041,80.74213587725048,9.5,2.0,25.0,23.0
angle_p50,17,Computer Science,9.866002956433764,87.06331193998297,18.0,4.0,26.0,22.0
angle_p50,18,Decision Sciences,9.948159684865777,85.19739082915996,15.5,6.0,24.0,18.0
angle_p50,19,Earth and Planetary Sciences,9.876489559974075,81.92059660954315,9.5,5.0,20.0,15.0
angle_p50,20,"Economics, Econometrics and Finance",9.97983220059202,83.60889891816075,14.0,5.0,24.0,19.0
angle_p50,21,Energy,10.241859456054616,84.33974989455197,18.5,15.0,24.0,9.0
angle_p50,22,Engineering,10.044068610255737,87.82645338945885,20.0,10.0,26.0,16.0
angle_p50,23,Environmental Science,10.158880238777247,84.50780297115084,19.0,14.0,22.0,8.0
angle_p50,24,Immunology and Microbiology,9.794698949547398,80.87334170202217,5.5,1.0,20.0,19.0
angle_p50,25,Materials Science,9.684999739229125,83.06674681421528,3.5,3.0,17.0,14.0
angle_p50,26,Mathematics,10.540741714791919,86.5498982710905,23.5,3.0,26.0,23.0
angle_p50,27,Medicine,10.138590261602356,85.14705163124493,22.0,5.0,26.0,21.0
angle_p50,28,Neuroscience,10.029500667160473,83.19570343320198,13.5,7.0,23.0,16.0
angle_p50,29,Nursing,10.07469531016878,82.95877019955049,13.0,10.0,24.0,14.0
angle_p50,30,"Pharmacology, Toxicology and Pharmaceutics",10.319469544493709,80.36068321548055,10.5,3.0,26.0,23.0
angle_p50,31,Physics and Astronomy,10.037402527530299,84.85504848000238,12.5,7.0,26.0,19.0
angle_p50,32,Psychology,10.102934497493456,83.23905092263203,15.0,6.0,21.0,15.0
angle_p50,33,Social Sciences,10.311255096101624,85.02369222154104,19.5,7.0,25.0,18.0
