field_id,field_name,metric,panel,model,rank_1_is_smallest,selection
35,Dentistry,angle_p50,primary,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,bert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,primary,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,bert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,primary,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,primary,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,primary,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,primary,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,primary,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,primary,bert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,primary,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
