metric,model,mean,median,min_field,max_field,global_mixture
angle_p50,specter,53.68099199792297,53.52289683423325,47.0143262875375,59.23153356040341,60.04674484108053
angle_p50,specter2,34.82822247934303,34.82746416457977,32.39208607343925,36.9207390554963,37.79873852452209
angle_p50,scincl,42.07552964085416,41.99146251203781,35.725443525535084,49.17150412710548,47.147419916838224
angle_p50,scibert,34.60812512989214,34.74522194843529,32.428001377021275,35.73078437109618,37.255692301948486
angle_p50,bert,32.776613655088454,32.88808396219096,29.225550374069197,37.25915750797503,37.594670225970674
angle_p50,mpnet,81.74249824918303,82.11642300237075,69.46137385782691,86.7221716307176,88.66872275945352
angle_p50,minilm,83.04096220658082,83.217377177917,72.59200541513886,87.82645338945885,89.09505711062124
angle_p50,pubmedbert,10.033631252278875,10.059381960212258,9.323681917991824,10.540741714791919,10.989132708039735
angle_p50,biobert,22.914483790542914,22.906378968519398,21.023513701671924,24.792711713250615,24.903174366209267
angle_p50,simcse,53.68845956134375,53.515960434111605,47.72679779948629,62.13361614541811,59.01453680592605
pr,specter,33.193736931381125,31.900464621585954,19.970103961379806,48.83738216112827,54.72289266812237
pr,specter2,54.61637975888498,56.29615517519866,33.19557535623353,70.31527896212734,67.63158932149454
pr,scincl,33.878308403254856,34.73306701500183,18.906505603674,47.212032078489315,51.840842696855475
pr,scibert,36.96153474228185,37.51738731042929,24.186280677478077,43.97171034938446,49.266776593902286
pr,bert,24.891763062110133,25.62575214112327,11.303010919830369,39.5418567517706,24.730032174753656
pr,mpnet,60.87662340857173,58.85810068847819,35.40569687073657,87.67811338993553,106.78524500011079
pr,minilm,69.94540581594883,69.92385805808192,43.21583084064688,93.19058779919342,111.91173885671115
pr,pubmedbert,29.488109285344557,29.615049558545742,19.22374239105444,36.475527212294416,32.265412944440236
pr,biobert,37.07011348391117,38.30503582265406,19.067489169665127,52.176354373123566,44.12515786302242
pr,simcse,37.29046694421255,37.93889815178498,26.12952212229402,54.23167836514911,41.650858798577026
gap_25,specter,0.06539069764655456,0.0720233055889295,0.014737819770163607,0.11600057205335423,0.05945553580249685
gap_25,specter2,0.10426772229907605,0.10076005009083178,0.03966752926702905,0.19425005991397412,0.1071520367998277
gap_25,scincl,0.06715186140210488,0.06812794553282368,0.016501629138379974,0.12370985147799235,0.06821168673462008
gap_25,scibert,0.0806794149283275,0.0775896271080915,0.03904708114735329,0.13207872538599374,0.07906996355734405
gap_25,bert,0.07002489824334755,0.07795015869323203,0.018165184921448342,0.11058216778670148,0.05031255779021794
gap_25,mpnet,0.07305656020589073,0.07787115723964738,0.014507009293693278,0.13849372265734725,0.06730194265820764
gap_25,minilm,0.08999023086716068,0.088630396534216,0.024984343337735655,0.1593656819269826,0.07488600040338336
gap_25,pubmedbert,0.08832806694826527,0.09335770251241224,0.021920621108298843,0.13484915083554969,0.06977953719461714
gap_25,biobert,0.0872057700457612,0.09193098132069707,0.021328139465082947,0.1517578468625143,0.07281795809984228
gap_25,simcse,0.10032246430147923,0.106505559405697,0.03279913507592104,0.14723144717452524,0.08356949454571728
