metric,model,field_id,condition,reference_kind,n,reference,value,difference,relative_difference,same_ids
angle_p50,specter,11,title,half,1000,55.61338432088777,56.220517295671925,0.6071329747841574,0.01091702981571875,True
angle_p50,specter,12,title,half,1000,47.82241075998776,46.75454254219545,-1.0678682177923093,-0.022329870050921345,True
angle_p50,specter,13,title,half,1000,57.62239005672362,56.89831209143218,-0.7240779652914355,-0.01256591343362626,True
angle_p50,specter,14,title,half,1000,52.90541471821988,51.93219675660194,-0.9732179616179408,-0.01839543205173625,True
angle_p50,specter,15,title,half,1000,52.94825036209379,52.846021485619076,-0.10222887647471168,-0.0019307319085258843,True
angle_p50,specter,16,title,half,1000,52.9277857252365,52.44773524387537,-0.4800504813611255,-0.009069914314065715,True
angle_p50,specter,17,title,half,1000,56.26985854307482,53.357122978936815,-2.9127355641380035,-0.05176369089160393,True
angle_p50,specter,18,title,half,1000,53.07461528095544,51.46641711509358,-1.6081981658618645,-0.03030070321468591,True
angle_p50,specter,19,title,half,1000,51.47016779235925,51.90873101558078,0.43856322322152863,0.008520726510758206,True
angle_p50,specter,20,title,half,1000,52.2561168083082,51.155287161884935,-1.1008296464232643,-0.021066043817634827,True
angle_p50,specter,21,title,half,1000,54.22563855545119,54.60516320010081,0.37952464464962077,0.0069989889425002986,True
angle_p50,specter,22,title,half,1000,56.81156795515334,56.21588432504462,-0.5956836301087236,-0.010485252415123485,True
angle_p50,specter,23,title,half,1000,54.58938109683157,54.150090947673355,-0.43929014915821796,-0.00804717218498956,True
angle_p50,specter,24,title,half,1000,55.70607930927432,55.6824765729347,-0.023602736339618957,-0.0004237012662222921,True
angle_p50,specter,25,title,half,1000,50.98314244345868,51.57077686180295,0.5876344183442654,0.011526053322349905,True
angle_p50,specter,26,title,half,1000,49.14053957684378,46.47060703673251,-2.669932540111269,-0.054332584930943784,True
angle_p50,specter,27,title,half,1000,59.24650889659931,58.579398849581274,-0.6671100470180349,-0.01125990475122031,True
angle_p50,specter,28,title,half,1000,54.9070912550609,54.03789861654764,-0.8691926385132547,-0.015830243756231384,True
angle_p50,specter,29,title,half,1000,56.938719825287464,56.84967172381236,-0.08904810147510744,-0.0015639287596971867,True
angle_p50,specter,30,title,half,1000,56.46606638519049,56.35351226831235,-0.11255411687813677,-0.0019933054325111735,True
angle_p50,specter,31,title,half,1000,52.65372566222503,51.391793817880426,-1.261931844344602,-0.023966620186383892,True
angle_p50,specter,32,title,half,1000,52.34203636313275,51.397799248650074,-0.9442371144826751,-0.01803974740172224,True
angle_p50,specter,33,title,half,1000,52.25598271777051,51.02891154962088,-1.227071168149628,-0.023481926936039465,True
angle_p50,specter,34,title,half,1000,55.20129488983537,56.490953305789766,1.2896584159543991,0.023362829051893737,True
angle_p50,specter,35,title,half,1000,47.218768302465826,49.57374770171722,2.354979399251391,0.04987379984514359,True
angle_p50,specter,36,title,half,1000,54.20085262482426,53.797213064382674,-0.403639560441583,-0.007447107211311914,True
angle_p50,specter2,11,title,half,1000,35.196219368436196,33.904617258304576,-1.2916021101316204,-0.036697183200588956,True
angle_p50,specter2,12,title,half,1000,33.03621521107174,31.585377395434104,-1.4508378156376374,-0.043916586884063046,True
angle_p50,specter2,13,title,half,1000,35.134094998653374,33.786380049622615,-1.3477149490307596,-0.03835917643765736,True
angle_p50,specter2,14,title,half,1000,33.5679699346949,32.26052516702277,-1.3074447676721306,-0.038949175961957495,True
angle_p50,specter2,15,title,half,1000,34.72140322920661,33.333281811566906,-1.3881214176397023,-0.03997883980887201,True
angle_p50,specter2,16,title,half,1000,34.87835805679694,33.40530486226506,-1.4730531945318788,-0.042234017786419754,True
angle_p50,specter2,17,title,half,1000,36.88810403346991,35.362509864370004,-1.5255941690999038,-0.041357348366716735,True
angle_p50,specter2,18,title,half,1000,34.699738367561174,33.415378808445695,-1.2843595591154795,-0.03701352285457445,True
