panel,metric,model_a,model_b,field_rank_spearman
primary,angle_p50,specter,specter2,0.3921367521367521
primary,angle_p50,specter,scincl,0.4427350427350427
primary,angle_p50,specter,scibert,0.3388034188034188
primary,angle_p50,specter,bert,-0.24649572649572649
primary,angle_p50,specter,mpnet,0.21641025641025638
primary,angle_p50,specter,minilm,0.11452991452991453
primary,angle_p50,specter,pubmedbert,0.11316239316239315
primary,angle_p50,specter,biobert,-0.33196581196581193
primary,angle_p50,specter,simcse,-0.1979487179487179
primary,angle_p50,specter2,scincl,0.47282051282051274
primary,angle_p50,specter2,scibert,0.14803418803418802
primary,angle_p50,specter2,bert,0.022905982905982905
primary,angle_p50,specter2,mpnet,0.6909401709401709
primary,angle_p50,specter2,minilm,0.5569230769230769
primary,angle_p50,specter2,pubmedbert,0.09606837606837607
primary,angle_p50,specter2,biobert,-0.15897435897435896
primary,angle_p50,specter2,simcse,-0.07008547008547007
primary,angle_p50,scincl,scibert,0.23487179487179485
primary,angle_p50,scincl,bert,0.18905982905982904
primary,angle_p50,scincl,mpnet,0.7415384615384616
primary,angle_p50,scincl,minilm,0.7223931623931623
primary,angle_p50,scincl,pubmedbert,0.1692307692307692
primary,angle_p50,scincl,biobert,0.12547008547008545
primary,angle_p50,scincl,simcse,0.31897435897435894
primary,angle_p50,scibert,bert,0.3511111111111111
primary,angle_p50,scibert,mpnet,0.2553846153846154
primary,angle_p50,scibert,minilm,0.14803418803418802
primary,angle_p50,scibert,pubmedbert,0.8570940170940171
primary,angle_p50,scibert,biobert,0.5076923076923077
primary,angle_p50,scibert,simcse,0.2287179487179487
primary,angle_p50,bert,mpnet,0.42017094017094014
primary,angle_p50,bert,minilm,0.4297435897435897
primary,angle_p50,bert,pubmedbert,0.5446153846153846
primary,angle_p50,bert,biobert,0.8153846153846154
primary,angle_p50,bert,simcse,0.8823931623931623
primary,angle_p50,mpnet,minilm,0.9541880341880341
primary,angle_p50,mpnet,pubmedbert,0.29435897435897435
primary,angle_p50,mpnet,biobert,0.24991452991452992
primary,angle_p50,mpnet,simcse,0.3572649572649573
primary,angle_p50,minilm,pubmedbert,0.2581196581196581
primary,angle_p50,minilm,biobert,0.31418803418803415
primary,angle_p50,minilm,simcse,0.39829059829059826
primary,angle_p50,pubmedbert,biobert,0.7305982905982905
primary,angle_p50,pubmedbert,simcse,0.3415384615384615
primary,angle_p50,biobert,simcse,0.7347008547008547
primary,pr,specter,specter2,0.3852991452991453
primary,pr,specter,scincl,0.8386324786324786
primary,pr,specter,scibert,0.6868376068376068
primary,pr,specter,bert,0.22735042735042732
primary,pr,specter,mpnet,0.6485470085470085
primary,pr,specter,minilm,0.6335042735042735
primary,pr,specter,pubmedbert,0.612991452991453
primary,pr,specter,biobert,0.558974358974359
primary,pr,specter,simcse,0.305982905982906
primary,pr,specter2,scincl,0.4741880341880342
primary,pr,specter2,scibert,0.39008547008547007
primary,pr,specter2,bert,0.5234188034188034
primary,pr,specter2,mpnet,0.5528205128205128
primary,pr,specter2,minilm,0.5555555555555555
primary,pr,specter2,pubmedbert,0.34769230769230763
primary,pr,specter2,biobert,0.4639316239316239
primary,pr,specter2,simcse,0.5411965811965811
primary,pr,scincl,scibert,0.6246153846153845
primary,pr,scincl,bert,0.3217094017094017
primary,pr,scincl,mpnet,0.7155555555555554
primary,pr,scincl,minilm,0.6923076923076923
primary,pr,scincl,pubmedbert,0.5521367521367521
primary,pr,scincl,biobert,0.5432478632478631
primary,pr,scincl,simcse,0.3723076923076923
primary,pr,scibert,bert,0.43589743589743585
primary,pr,scibert,mpnet,0.6218803418803419
primary,pr,scibert,minilm,0.6095726495726496
primary,pr,scibert,pubmedbert,0.7805128205128204
primary,pr,scibert,biobert,0.6136752136752136
primary,pr,scibert,simcse,0.5076923076923077
primary,pr,bert,mpnet,0.6321367521367521
primary,pr,bert,minilm,0.7182905982905983
primary,pr,bert,pubmedbert,0.11931623931623932
primary,pr,bert,biobert,0.14735042735042733
primary,pr,bert,simcse,0.937094017094017
primary,pr,mpnet,minilm,0.9617094017094016
primary,pr,mpnet,pubmedbert,0.2512820512820513
primary,pr,mpnet,biobert,0.1651282051282051
primary,pr,mpnet,simcse,0.7121367521367521
primary,pr,minilm,pubmedbert,0.26017094017094017
primary,pr,minilm,biobert,0.14051282051282052
primary,pr,minilm,simcse,0.7757264957264958
primary,pr,pubmedbert,biobert,0.8003418803418804
primary,pr,pubmedbert,simcse,0.14051282051282052
primary,pr,biobert,simcse,0.17538461538461536
