metric,kind,model,repeat,field_rank_spearman
angle_p50,half,specter,0,0.989059829059829
angle_p50,half,specter,1,0.9924786324786324
angle_p50,half,specter,2,0.9938461538461537
angle_p50,half,specter,3,0.9917948717948717
angle_p50,half,specter,4,0.9958974358974357
angle_p50,half,specter,5,0.9965811965811966
angle_p50,half,specter,6,0.9938461538461537
angle_p50,half,specter,7,0.9958974358974357
angle_p50,half,specter,8,0.9904273504273503
angle_p50,half,specter,9,0.995213675213675
angle_p50,half,specter,10,0.9911111111111112
angle_p50,half,specter,11,0.9965811965811966
angle_p50,half,specter,12,0.9945299145299145
angle_p50,half,specter,13,0.9924786324786324
angle_p50,half,specter,14,0.9986324786324786
angle_p50,half,specter,15,0.9945299145299145
angle_p50,half,specter,16,0.9945299145299145
angle_p50,half,specter,17,0.9972649572649572
angle_p50,half,specter,18,0.9931623931623932
angle_p50,half,specter,19,0.989059829059829
angle_p50,external,specter,0,0.9931623931623932
angle_p50,external,specter,1,0.9945299145299145
angle_p50,external,specter,2,0.9931623931623932
angle_p50,external,specter,3,0.9924786324786324
angle_p50,external,specter,4,0.9931623931623932
angle_p50,half,specter2,0,0.9917948717948717
angle_p50,half,specter2,1,0.9938461538461537
angle_p50,half,specter2,2,0.995213675213675
angle_p50,half,specter2,3,0.9931623931623932
angle_p50,half,specter2,4,0.9911111111111112
angle_p50,half,specter2,5,0.9883760683760683
angle_p50,half,specter2,6,0.9972649572649572
angle_p50,half,specter2,7,0.9938461538461537
angle_p50,half,specter2,8,0.9972649572649572
angle_p50,half,specter2,9,0.9917948717948717
angle_p50,half,specter2,10,0.9945299145299145
angle_p50,half,specter2,11,0.9938461538461537
angle_p50,half,specter2,12,0.9931623931623932
angle_p50,half,specter2,13,0.9958974358974357
angle_p50,half,specter2,14,0.9931623931623932
angle_p50,half,specter2,15,0.9958974358974357
angle_p50,half,specter2,16,0.9972649572649572
angle_p50,half,specter2,17,0.9938461538461537
angle_p50,half,specter2,18,0.9924786324786324
angle_p50,half,specter2,19,0.9972649572649572
angle_p50,external,specter2,0,0.9911111111111112
angle_p50,external,specter2,1,0.9931623931623932
angle_p50,external,specter2,2,0.9911111111111112
angle_p50,external,specter2,3,0.9924786324786324
angle_p50,external,specter2,4,0.995213675213675
angle_p50,half,scincl,0,0.995213675213675
angle_p50,half,scincl,1,0.9965811965811966
angle_p50,half,scincl,2,0.9897435897435896
angle_p50,half,scincl,3,0.9958974358974357
angle_p50,half,scincl,4,0.9924786324786324
angle_p50,half,scincl,5,0.9979487179487179
angle_p50,half,scincl,6,0.9965811965811966
angle_p50,half,scincl,7,0.9958974358974357
angle_p50,half,scincl,8,0.9972649572649572
angle_p50,half,scincl,9,0.9917948717948717
angle_p50,half,scincl,10,0.9938461538461537
angle_p50,half,scincl,11,0.9965811965811966
angle_p50,half,scincl,12,0.995213675213675
angle_p50,half,scincl,13,0.9924786324786324
angle_p50,half,scincl,14,0.995213675213675
angle_p50,half,scincl,15,0.9972649572649572
angle_p50,half,scincl,16,0.9931623931623932
angle_p50,half,scincl,17,0.9993162393162391
angle_p50,half,scincl,18,0.9979487179487179
angle_p50,half,scincl,19,0.9958974358974357
angle_p50,external,scincl,0,0.9945299145299145
angle_p50,external,scincl,1,0.9931623931623932
angle_p50,external,scincl,2,0.9924786324786324
angle_p50,external,scincl,3,0.9993162393162391
angle_p50,external,scincl,4,0.995213675213675
angle_p50,half,scibert,0,0.9911111111111112
angle_p50,half,scibert,1,0.9842735042735041
angle_p50,half,scibert,2,0.9876923076923075
angle_p50,half,scibert,3,0.987008547008547
angle_p50,half,scibert,4,0.974017094017094
angle_p50,half,scibert,5,0.9747008547008547
angle_p50,half,scibert,6,0.9822222222222221
angle_p50,half,scibert,7,0.9911111111111112
angle_p50,half,scibert,8,0.9815384615384615
angle_p50,half,scibert,9,0.9815384615384615
angle_p50,half,scibert,10,0.9876923076923075
angle_p50,half,scibert,11,0.9774358974358973
angle_p50,half,scibert,12,0.9883760683760683
angle_p50,half,scibert,13,0.9815384615384615
angle_p50,half,scibert,14,0.9856410256410256
angle_p50,half,scibert,15,0.9904273504273503
angle_p50,half,scibert,16,0.989059829059829
angle_p50,half,scibert,17,0.995213675213675
angle_p50,half,scibert,18,0.9822222222222221
angle_p50,half,scibert,19,0.9863247863247863
angle_p50,external,scibert,0,0.9842735042735041
angle_p50,external,scibert,1,0.9835897435897435
angle_p50,external,scibert,2,0.976068376068376
angle_p50,external,scibert,3,0.9863247863247863
angle_p50,external,scibert,4,0.974017094017094
angle_p50,half,bert,0,0.9958974358974357
angle_p50,half,bert,1,0.9945299145299145
angle_p50,half,bert,2,0.995213675213675
