metric,field_id,spearman_absolute_morphology_difference_vs_1_CKA,dependent_model_pairs
angle_p50,11,0.258498023715415,45
angle_p50,12,0.3202898550724637,45
angle_p50,13,0.17496706192358366,45
angle_p50,14,0.26890645586297757,45
angle_p50,15,0.27259552042160734,45
angle_p50,16,0.2168642951251647,45
angle_p50,17,0.43359683794466397,45
angle_p50,18,0.3089591567852437,45
angle_p50,19,0.3272727272727272,45
angle_p50,20,0.2902503293807641,45
angle_p50,21,0.2376811594202898,45
angle_p50,22,0.5167325428194993,45
angle_p50,23,0.35362318840579704,45
angle_p50,24,0.15309617918313567,45
angle_p50,25,0.23175230566534913,45
angle_p50,26,0.43544137022397883,45
angle_p50,27,0.2939393939393939,45
angle_p50,28,0.17760210803689064,45
angle_p50,29,0.23833992094861658,45
angle_p50,30,0.1799736495388669,45
angle_p50,31,0.24097496706192356,45
angle_p50,32,0.28735177865612643,45
angle_p50,33,0.2856389986824769,45
angle_p50,34,0.2770750988142292,45
angle_p50,35,0.23689064558629774,45
angle_p50,36,0.2559947299077734,45
pr,11,0.16930171277997363,45
pr,12,0.24901185770750983,45
pr,13,0.46034255599472984,45
pr,14,0.009617918313570487,45
pr,15,0.11370223978919629,45
pr,16,0.4413702239789196,45
pr,17,0.2880105401844532,45
pr,18,0.03992094861660079,45
pr,19,0.34980237154150196,45
pr,20,0.09209486166007903,45
pr,21,0.1678524374176548,45
pr,22,0.26324110671936757,45
pr,23,0.17641633728590247,45
pr,24,0.25797101449275356,45
pr,25,0.27733860342555994,45
pr,26,0.3648221343873518,45
pr,27,0.3355731225296442,45
pr,28,0.17101449275362315,45
pr,29,0.05915678524374176,45
pr,30,0.2869565217391304,45
pr,31,0.11080368906455862,45
pr,32,0.11093544137022396,45
pr,33,0.17075098814229248,45
pr,34,-0.05046113306982872,45
pr,35,0.03412384716732543,45
pr,36,0.1753623188405797,45
gap_25,11,-0.006982872200263504,45
gap_25,12,0.19710144927536227,45
gap_25,13,-0.04927536231884057,45
gap_25,14,-0.12160737812911723,45
gap_25,15,0.6034255599472991,45
gap_25,16,0.49512516469038204,45
gap_25,17,-0.08023715415019762,45
gap_25,18,-0.12424242424242424,45
gap_25,19,0.012516469038208168,45
gap_25,20,-0.17707509881422925,45
gap_25,21,0.03623188405797101,45
gap_25,22,0.14176548089591567,45
gap_25,23,0.06363636363636364,45
gap_25,24,0.08445322793148878,45
gap_25,25,0.1274044795783926,45
gap_25,26,0.011330698287220024,45
gap_25,27,-0.16429512516469036,45
gap_25,28,0.11673254281949934,45
gap_25,29,0.4849802371541501,45
gap_25,30,0.14229249011857706,45
gap_25,31,0.44281949934123843,45
gap_25,32,0.05217391304347826,45
gap_25,33,0.0678524374176548,45
gap_25,34,0.7397891963109353,45
gap_25,35,0.4706192358366271,45
gap_25,36,0.017654808959156783,45
