metric,model,field_id,n,value,reference,relative_to_2000
angle_p50,specter,11,500,55.86149296596888,55.8371385877325,1.0004361680926417
angle_p50,specter,11,1000,55.61338432088777,55.8371385877325,0.9959927340027791
angle_p50,specter,11,2000,55.8371385877325,55.8371385877325,1.0
angle_p50,specter,11,4000,55.79038845826499,55.8371385877325,0.9991627413107129
angle_p50,specter,12,500,47.87428998613039,48.00834112588872,0.9972077531400884
angle_p50,specter,12,1000,47.82241075998776,48.00834112588872,0.9961271237134938
angle_p50,specter,12,2000,48.00834112588872,48.00834112588872,1.0
angle_p50,specter,12,4000,48.14010036223768,48.00834112588872,1.0027445071681078
angle_p50,specter,13,500,57.58807014480396,57.519149156921124,1.00119822683216
angle_p50,specter,13,1000,57.62239005672362,57.519149156921124,1.0017948961574663
angle_p50,specter,13,2000,57.519149156921124,57.519149156921124,1.0
angle_p50,specter,13,4000,57.59972864685353,57.519149156921124,1.0014009158882475
angle_p50,specter,14,500,53.10827074673436,52.77444888558338,1.0063254447597305
angle_p50,specter,14,1000,52.90541471821988,52.77444888558338,1.0024816144062525
angle_p50,specter,14,2000,52.77444888558338,52.77444888558338,1.0
angle_p50,specter,14,4000,52.81319720694803,52.77444888558338,1.000734225030917
angle_p50,specter,15,500,53.02997525217592,52.879628245923264,1.0028431933286945
angle_p50,specter,15,1000,52.94825036209379,52.879628245923264,1.001297704209481
angle_p50,specter,15,2000,52.879628245923264,52.879628245923264,1.0
angle_p50,specter,15,4000,52.83813177295439,52.879628245923264,0.9992152654179812
angle_p50,specter,16,500,53.199205615554625,52.5456711635324,1.012437455599117
angle_p50,specter,16,1000,52.9277857252365,52.5456711635324,1.0072720464548808
angle_p50,specter,16,2000,52.5456711635324,52.5456711635324,1.0
angle_p50,specter,16,4000,52.434484304777335,52.5456711635324,0.9978839958403228
angle_p50,specter,17,500,56.02803238138657,56.18600389420404,0.997188418789937
angle_p50,specter,17,1000,56.26985854307482,56.18600389420404,1.0014924472832891
angle_p50,specter,17,2000,56.18600389420404,56.18600389420404,1.0
angle_p50,specter,17,4000,56.03070244120189,56.18600389420404,0.9972359405859406
angle_p50,specter,18,500,53.00879967269477,52.84889869809331,1.0030256254820922
angle_p50,specter,18,1000,53.07461528095544,52.84889869809331,1.0042709798770182
angle_p50,specter,18,2000,52.84889869809331,52.84889869809331,1.0
angle_p50,specter,18,4000,53.011592374270144,52.84889869809331,1.003078468618736
angle_p50,specter,19,500,51.228816611333166,51.83272783277276,0.9883488435455686
angle_p50,specter,19,1000,51.47016779235925,51.83272783277276,0.9930051908210729
angle_p50,specter,19,2000,51.83272783277276,51.83272783277276,1.0
angle_p50,specter,19,4000,51.894148721606356,51.83272783277276,1.0011849827589965
angle_p50,specter,20,500,52.098420943137455,52.33243848187477,0.9955282508225111
angle_p50,specter,20,1000,52.2561168083082,52.33243848187477,0.9985415991346743
angle_p50,specter,20,2000,52.33243848187477,52.33243848187477,1.0
angle_p50,specter,20,4000,52.19126815850965,52.33243848187477,0.9973024317715673
angle_p50,specter,21,500,53.91571961922717,54.277186182177545,0.9933403592121165
angle_p50,specter,21,1000,54.22563855545119,54.277186182177545,0.9990502892586706
angle_p50,specter,21,2000,54.277186182177545,54.277186182177545,1.0
angle_p50,specter,21,4000,54.336323624624946,54.277186182177545,1.0010895451036999
angle_p50,specter,22,500,56.98565792320703,56.868669517547,1.00205716797408
angle_p50,specter,22,1000,56.81156795515334,56.868669517547,0.9989959047243749
angle_p50,specter,22,2000,56.868669517547,56.868669517547,1.0
angle_p50,specter,22,4000,56.76439434438235,56.868669517547,0.9981663862712232
angle_p50,specter,23,500,54.343930663962375,54.196552921967765,1.002719319477879
angle_p50,specter,23,1000,54.58938109683157,54.196552921967765,1.0072482132845129
angle_p50,specter,23,2000,54.196552921967765,54.196552921967765,1.0
angle_p50,specter,23,4000,54.441987000370034,54.196552921967765,1.0045285920445097
angle_p50,specter,24,500,55.58960125593292,55.84915161439541,0.9953526535146938
angle_p50,specter,24,1000,55.70607930927432,55.84915161439541,0.9974382367326022
angle_p50,specter,24,2000,55.84915161439541,55.84915161439541,1.0
angle_p50,specter,24,4000,55.78894320682182,55.84915161439541,0.9989219458875707
angle_p50,specter,25,500,50.58850801061469,51.145664194716005,0.9891064825753328
angle_p50,specter,25,1000,50.98314244345868,51.145664194716005,0.9968223748030999
angle_p50,specter,25,2000,51.145664194716005,51.145664194716005,1.0
angle_p50,specter,25,4000,51.16760725269906,51.145664194716005,1.000429030658386
angle_p50,specter,26,500,48.91756537472531,49.06027223161687,0.9970911931304043
angle_p50,specter,26,1000,49.14053957684378,49.06027223161687,1.0016360966129165
angle_p50,specter,26,2000,49.06027223161687,49.06027223161687,1.0
angle_p50,specter,26,4000,49.044491231526074,49.06027223161687,0.9996783344369494
angle_p50,specter,27,500,59.1047161846378,59.23153356040341,0.9978589550507537
angle_p50,specter,27,1000,59.24650889659931,59.23153356040341,1.0002528270888111
angle_p50,specter,27,2000,59.23153356040341,59.23153356040341,1.0
angle_p50,specter,27,4000,59.14085501890773,59.23153356040341,0.9984690833404944
angle_p50,specter,28,500,55.20892090343032,54.98223450546907,1.0041229026066356
angle_p50,specter,28,1000,54.9070912550609,54.98223450546907,0.9986333176327946
angle_p50,specter,28,2000,54.98223450546907,54.98223450546907,1.0
angle_p50,specter,28,4000,55.146953544712396,54.98223450546907,1.002995859312101
angle_p50,specter,29,500,56.94248935882898,56.99068114012864,0.9991543919052104
angle_p50,specter,29,1000,56.938719825287464,56.99068114012864,0.9990882489241808
angle_p50,specter,29,2000,56.99068114012864,56.99068114012864,1.0
angle_p50,specter,29,4000,56.976316916614095,56.99068114012864,0.9997479548721443
angle_p50,specter,30,500,56.21128710606424,56.50113711534432,0.99487001458593
angle_p50,specter,30,1000,56.46606638519049,56.50113711534432,0.9993792916046585
angle_p50,specter,30,2000,56.50113711534432,56.50113711534432,1.0
angle_p50,specter,30,4000,56.41349269581546,56.50113711534432,0.9984488025550717
angle_p50,specter,31,500,52.88508833431561,52.90451070053838,0.9996328788232688
angle_p50,specter,31,1000,52.65372566222503,52.90451070053838,0.9952596662365351
angle_p50,specter,31,2000,52.90451070053838,52.90451070053838,1.0
angle_p50,specter,31,4000,53.033087709434916,52.90451070053838,1.0024303600429145
angle_p50,specter,32,500,52.30925396575165,52.315479210683705,0.9998810056788932
angle_p50,specter,32,1000,52.34203636313275,52.315479210683705,1.0005076346972201
angle_p50,specter,32,2000,52.315479210683705,52.315479210683705,1.0
angle_p50,specter,32,4000,52.33872411181306,52.315479210683705,1.0004443216707573
angle_p50,specter,33,500,52.31168823927435,52.32361602302752,0.9997720382370379
angle_p50,specter,33,1000,52.25598271777051,52.32361602302752,0.9987074038379296
angle_p50,specter,33,2000,52.32361602302752,52.32361602302752,1.0
angle_p50,specter,33,4000,52.395799132832074,52.32361602302752,1.0013795512483845
angle_p50,specter,34,500,55.264614244921226,55.13904769998982,1.0022772708301857
angle_p50,specter,34,1000,55.20129488983537,55.13904769998982,1.0011289130378935
angle_p50,specter,34,2000,55.13904769998982,55.13904769998982,1.0
angle_p50,specter,34,4000,55.05170883099419,55.13904769998982,0.9984160250740848
angle_p50,specter,35,500,47.717175652217286,47.0143262875375,1.0149496849190434
angle_p50,specter,35,1000,47.218768302465826,47.0143262875375,1.0043485046170388
angle_p50,specter,35,2000,47.0143262875375,47.0143262875375,1.0
angle_p50,specter,35,4000,47.01840688873358,47.0143262875375,1.0000867948457055
angle_p50,specter,36,500,54.604564426841755,54.14128296792813,1.0085568984242221
angle_p50,specter,36,1000,54.20085262482426,54.14128296792813,1.0011002631195758
angle_p50,specter,36,2000,54.14128296792813,54.14128296792813,1.0
angle_p50,specter,36,4000,54.17220660315295,54.14128296792813,1.0005711655418867
angle_p50,specter2,11,500,35.361793722986455,35.31908940130571,1.0012091003025454
angle_p50,specter2,11,1000,35.196219368436196,35.31908940130571,0.9965211438077174
angle_p50,specter2,11,2000,35.31908940130571,35.31908940130571,1.0
angle_p50,specter2,11,4000,35.31255336556724,35.31908940130571,0.9998149432545045
angle_p50,specter2,12,500,32.98332272711507,33.12815255034605,0.9956281949918313
angle_p50,specter2,12,1000,33.03621521107174,33.12815255034605,0.9972247972737209
angle_p50,specter2,12,2000,33.12815255034605,33.12815255034605,1.0
angle_p50,specter2,12,4000,33.13557500272085,33.12815255034605,1.0002240527105615
angle_p50,specter2,13,500,35.084998241717415,35.076051102938315,1.0002550782798452
angle_p50,specter2,13,1000,35.134094998653374,35.076051102938315,1.0016548013214122
