metric,model,field_id,period,value
angle_p50,specter,11,2000,55.513304174104945
angle_p50,specter,11,2005,56.55082288671173
angle_p50,specter,11,2010,55.662748465194866
angle_p50,specter,11,2015,55.46046569709489
angle_p50,specter,11,2020,55.09162688424716
angle_p50,specter,12,2000,47.369957125129496
angle_p50,specter,12,2005,47.55941951946626
angle_p50,specter,12,2010,47.24722988515953
angle_p50,specter,12,2015,48.583421535092675
angle_p50,specter,12,2020,48.869980855004805
angle_p50,specter,13,2000,57.281862342089944
angle_p50,specter,13,2005,57.9599605756138
angle_p50,specter,13,2010,57.738183694693916
angle_p50,specter,13,2015,56.82081640911691
angle_p50,specter,13,2020,56.49623342042619
angle_p50,specter,14,2000,52.27327689288307
angle_p50,specter,14,2005,53.23715961236238
angle_p50,specter,14,2010,53.18341475314181
angle_p50,specter,14,2015,51.97346688795089
angle_p50,specter,14,2020,52.11302098397049
angle_p50,specter,15,2000,52.813773783488635
angle_p50,specter,15,2005,52.98852671049286
angle_p50,specter,15,2010,53.064719640699344
angle_p50,specter,15,2015,52.90630134024277
angle_p50,specter,15,2020,51.70572810538937
angle_p50,specter,16,2000,52.33505440499475
angle_p50,specter,16,2005,52.94801319674574
angle_p50,specter,16,2010,52.409340396145815
angle_p50,specter,16,2015,52.51464329664496
angle_p50,specter,16,2020,51.84641640635227
angle_p50,specter,17,2000,54.42004170521734
angle_p50,specter,17,2005,55.60737216363818
angle_p50,specter,17,2010,56.029369742567795
angle_p50,specter,17,2015,56.506676426467386
angle_p50,specter,17,2020,57.01331355758107
angle_p50,specter,18,2000,51.90299298417296
angle_p50,specter,18,2005,52.62171721022707
angle_p50,specter,18,2010,52.532866006401036
angle_p50,specter,18,2015,53.100868087324564
angle_p50,specter,18,2020,53.258384317873634
angle_p50,specter,19,2000,52.16180700282303
angle_p50,specter,19,2005,51.15279814284389
angle_p50,specter,19,2010,51.92870890744766
angle_p50,specter,19,2015,52.00791174493881
angle_p50,specter,19,2020,51.395016227854406
angle_p50,specter,20,2000,51.03617088151785
angle_p50,specter,20,2005,52.50390897823798
angle_p50,specter,20,2010,51.80131700061869
angle_p50,specter,20,2015,53.044400440036746
angle_p50,specter,20,2020,52.444818037360534
angle_p50,specter,21,2000,54.97260488968557
angle_p50,specter,21,2005,55.20297138700978
angle_p50,specter,21,2010,54.54675821343853
angle_p50,specter,21,2015,53.39709227519055
angle_p50,specter,21,2020,52.00691959332632
angle_p50,specter,22,2000,56.41632649441052
angle_p50,specter,22,2005,57.05320036525053
angle_p50,specter,22,2010,56.615762109810525
angle_p50,specter,22,2015,57.23558189398891
angle_p50,specter,22,2020,56.44638472159995
angle_p50,specter,23,2000,54.45398435295917
angle_p50,specter,23,2005,54.46938427645815
angle_p50,specter,23,2010,54.37966418076056
angle_p50,specter,23,2015,53.61496542020291
angle_p50,specter,23,2020,53.3310081293023
angle_p50,specter,24,2000,54.7600316457365
angle_p50,specter,24,2005,55.8945369845691
angle_p50,specter,24,2010,56.22143191711929
angle_p50,specter,24,2015,55.673749508396874
angle_p50,specter,24,2020,55.28044307960063
angle_p50,specter,25,2000,51.20973169411461
angle_p50,specter,25,2005,51.4372853966261
angle_p50,specter,25,2010,50.68128867984263
angle_p50,specter,25,2015,50.88391228879897
angle_p50,specter,25,2020,50.546719744542266
angle_p50,specter,26,2000,47.71325043731728
angle_p50,specter,26,2005,48.21643841531632
angle_p50,specter,26,2010,49.01819445051976
angle_p50,specter,26,2015,48.64545042107847
angle_p50,specter,26,2020,51.343273217381075
angle_p50,specter,27,2000,59.398741855638995
angle_p50,specter,27,2005,59.45154457920281
angle_p50,specter,27,2010,59.44573906533483
angle_p50,specter,27,2015,58.94936348119935
angle_p50,specter,27,2020,58.14582319161708
angle_p50,specter,28,2000,54.46248842417297
angle_p50,specter,28,2005,55.90364259459899
angle_p50,specter,28,2010,54.69649771299017
angle_p50,specter,28,2015,54.34520111096776
angle_p50,specter,28,2020,54.29177471830897
angle_p50,specter,29,2000,57.47925811045392
angle_p50,specter,29,2005,56.75511522033088
angle_p50,specter,29,2010,56.966478218599185
angle_p50,specter,29,2015,56.83468648497764
angle_p50,specter,29,2020,56.0761043936414
angle_p50,specter,30,2000,56.55365038991888
angle_p50,specter,30,2005,56.94559894440034
angle_p50,specter,30,2010,55.90345770974264
angle_p50,specter,30,2015,56.43475687233802
angle_p50,specter,30,2020,55.64158361772655
angle_p50,specter,31,2000,52.01515828856506
angle_p50,specter,31,2005,52.85879779021133
angle_p50,specter,31,2010,53.19465314877934
angle_p50,specter,31,2015,53.06549823638361
angle_p50,specter,31,2020,53.01605729298192
angle_p50,specter,32,2000,52.76308207256516
angle_p50,specter,32,2005,52.31366983651974
angle_p50,specter,32,2010,51.97052142976822
angle_p50,specter,32,2015,51.86196395951056
angle_p50,specter,32,2020,51.71245167722505
angle_p50,specter,33,2000,51.658000166593325
angle_p50,specter,33,2005,51.85060600794958
angle_p50,specter,33,2010,52.05240708737632
angle_p50,specter,33,2015,52.784305564272536
angle_p50,specter,33,2020,52.241902246864
angle_p50,specter,34,2000,54.72965322961363
angle_p50,specter,34,2005,55.17931895760265
angle_p50,specter,34,2010,55.38937503792875
angle_p50,specter,34,2015,54.66276107096072
angle_p50,specter,34,2020,54.84261896043265
angle_p50,specter,35,2000,47.53556629328834
