source_row,target_row,subfield_id,mean_support,min_model_support,max_model_support,model_spread,specter_support,specter2_support,scincl_support,scibert_support,bert_support,mpnet_support,minilm_support,pubmedbert_support,biobert_support,simcse_support,relation,source_tail
292167,57077,2717,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher
292167,349858,2717,0.8,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,encoder_dependent,higher
452340,308665,2604,0.99,0.9,1.0,0.09999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,recurrent,higher
452340,13360,2604,0.52,0.0,1.0,1.0,0.4,0.7,0.4,0.0,0.8,0.5,0.7,0.0,0.7,1.0,encoder_dependent,higher
418941,419656,1800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher
418941,11122,1800,0.72,0.0,1.0,1.0,0.9,0.2,0.3,1.0,1.0,0.8,0.0,1.0,1.0,1.0,encoder_dependent,higher
158371,224338,2607,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher
158371,450211,2607,0.7,0.0,1.0,1.0,1.0,0.1,0.0,1.0,1.0,0.2,0.7,1.0,1.0,1.0,encoder_dependent,higher
115771,219039,3311,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher
115771,102736,3311,0.7,0.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,0.8,0.4,1.0,0.0,1.0,encoder_dependent,higher
202613,240037,2213,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher
202613,157749,2213,0.7100000000000001,0.0,1.0,1.0,1.0,0.8,0.3,1.0,1.0,0.1,0.0,1.0,1.0,0.9,encoder_dependent,higher
99305,159171,3320,0.53,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0,recurrent,lower
99305,159171,3320,0.53,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0,encoder_dependent,lower
202595,332145,3106,0.7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,recurrent,lower
202595,332145,3106,0.7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,encoder_dependent,lower
327954,174722,2503,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,recurrent,lower
327954,174722,2503,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,encoder_dependent,lower
93549,127343,2731,0.48,0.0,1.0,1.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,1.0,recurrent,lower
93549,127343,2731,0.48,0.0,1.0,1.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,1.0,encoder_dependent,lower
14405,183611,1712,0.61,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,recurrent,lower
14405,183611,1712,0.61,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,encoder_dependent,lower
329824,401757,1205,0.79,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,recurrent,lower
329824,401757,1205,0.79,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,encoder_dependent,lower
