source_row,target_row,subfield_id,mean_support,min_model_support,max_model_support,model_spread,specter_support,specter2_support,scincl_support,scibert_support,bert_support,mpnet_support,minilm_support,pubmedbert_support,biobert_support,simcse_support,relation,source_tail,source_work_id,target_work_id,source_title,target_title,source_doi,target_doi,source_review_note,target_review_note
292167,57077,2717,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher,W2022976570,W4387114890,SIRT6 overexpression induces massive apoptosis in cancer cells but not in normal cells,Sirtuins: The NAD + -Dependent Multifaceted Modulators of Inflammation,10.4161/cc.10.18.17435,10.1089/ars.2023.0295,,
292167,349858,2717,0.8,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,encoder_dependent,higher,W2022976570,W2216033705,SIRT6 overexpression induces massive apoptosis in cancer cells but not in normal cells,Involvement of ROS-mediated mitochondrial dysfunction and SIRT3 down-regulation in tris(2-chloroethyl)phosphate-induced cell cycle arrest,10.4161/cc.10.18.17435,10.1039/c5tx00229j,,Resumen comienza a mitad de una frase y tiene menos de 80 palabras; cautela interpretativa.
452340,308665,2604,0.99,0.9,1.0,0.09999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,recurrent,higher,W2998141762,W4401753776,Comparison of The Effectiveness of Scientific Approach and Problem-Solving Approach in Problem-Based Learning in Class IX of SMP Negeri 3 Pangsid,Effect of Constructivist Web-Based Learning Environment to Enhance Learning's Problem-Solving in Mathematics on Conic Section,10.31327/jomedu.v4i2.1010,10.1109/itc-cscc62988.2024.10628388,"Educación matemática dentro de Applied Mathematics; grupo administrativo, no verdad externa.",
452340,13360,2604,0.52,0.0,1.0,1.0,0.4,0.7,0.4,0.0,0.8,0.5,0.7,0.0,0.7,1.0,encoder_dependent,higher,W2998141762,W2367423819,Comparison of The Effectiveness of Scientific Approach and Problem-Solving Approach in Problem-Based Learning in Class IX of SMP Negeri 3 Pangsid,Experimental of the Appliance of Schema Theory,10.31327/jomedu.v4i2.1010,,"Educación matemática dentro de Applied Mathematics; grupo administrativo, no verdad externa.",
418941,419656,1800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher,W2359252036,W2376376573,A systematic analysis on the managerial non-efficiency of the state-owned businesses,On Fundamental Factors Affecting Enterprise Performance and Enterprise Reform,,,,
418941,11122,1800,0.72,0.0,1.0,1.0,0.9,0.2,0.3,1.0,1.0,0.8,0.0,1.0,1.0,1.0,encoder_dependent,higher,W2359252036,W2365856212,A systematic analysis on the managerial non-efficiency of the state-owned businesses,Regional Cluster Innovation:An Analytical Framework Based on Generation Process,,,,
158371,224338,2607,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher,W3107610255,W2315926590,Application of multi-agent approach to development of the petrol dispatching system of gas stations network,Synthesis Of Sustainable Development Scenarios Of Social Economic Systems,10.1088/1757-899x/971/4/042090,10.7148/2008-0139,,
158371,450211,2607,0.7,0.0,1.0,1.0,1.0,0.1,0.0,1.0,1.0,0.2,0.7,1.0,1.0,1.0,encoder_dependent,higher,W3107610255,W2267762741,Application of multi-agent approach to development of the petrol dispatching system of gas stations network,Virtual SEA: Towards an Industrial Process,10.1088/1757-899x/971/4/042090,10.4271/2007-01-2302,,
115771,219039,3311,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher,W2252942328,W4387609869,"Persuasive Talk, Delegation, and Announcements",Collaborative Dishonesty with Unequal Profits - an Experimental Investigation,,10.1007/s10726-023-09857-7,Economía de la persuasión; su adscripción a Safety Research merece cautela.,
115771,102736,3311,0.7,0.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,0.8,0.4,1.0,0.0,1.0,encoder_dependent,higher,W2252942328,W2129296098,"Persuasive Talk, Delegation, and Announcements",DO SOCIAL PREFERENCES INCREASE PRODUCTIVITY? FIELD EXPERIMENTAL EVIDENCE FROM FISHERMEN IN TOYAMA BAY,,10.1111/j.1465-7295.2009.00268.x,Economía de la persuasión; su adscripción a Safety Research merece cautela.,
