row_index,model_a,model_b,mean,min,max
292167,specter,specter2,0.8280000000000001,0.76,0.88
292167,specter,scincl,0.8160000000000001,0.76,0.84
292167,specter,scibert,0.768,0.72,0.8
292167,specter,bert,0.8160000000000001,0.76,0.88
292167,specter,mpnet,0.8440000000000001,0.8,0.88
292167,specter,minilm,0.8320000000000001,0.8,0.88
292167,specter,pubmedbert,0.744,0.68,0.8
292167,specter,biobert,0.724,0.68,0.76
292167,specter,simcse,0.8160000000000001,0.76,0.84
292167,specter2,scincl,0.8280000000000001,0.76,0.88
292167,specter2,scibert,0.752,0.72,0.8
292167,specter2,bert,0.812,0.8,0.84
292167,specter2,mpnet,0.8640000000000001,0.8,0.92
292167,specter2,minilm,0.8400000000000001,0.8,0.88
292167,specter2,pubmedbert,0.688,0.6,0.76
292167,specter2,biobert,0.74,0.64,0.8
292167,specter2,simcse,0.812,0.76,0.84
292167,scincl,scibert,0.756,0.72,0.8
292167,scincl,bert,0.8200000000000001,0.76,0.92
292167,scincl,mpnet,0.8720000000000001,0.84,0.92
292167,scincl,minilm,0.9039999999999999,0.84,0.96
292167,scincl,pubmedbert,0.724,0.64,0.84
292167,scincl,biobert,0.756,0.64,0.88
292167,scincl,simcse,0.8320000000000001,0.76,0.92
292167,scibert,bert,0.8240000000000001,0.8,0.84
292167,scibert,mpnet,0.736,0.64,0.8
292167,scibert,minilm,0.712,0.64,0.76
292167,scibert,pubmedbert,0.792,0.72,0.92
292167,scibert,biobert,0.764,0.72,0.88
292167,scibert,simcse,0.8320000000000001,0.72,0.88
292167,bert,mpnet,0.808,0.76,0.84
292167,bert,minilm,0.812,0.76,0.88
292167,bert,pubmedbert,0.724,0.68,0.8
292167,bert,biobert,0.8200000000000001,0.76,0.92
292167,bert,simcse,0.8960000000000001,0.84,0.96
292167,mpnet,minilm,0.876,0.84,0.96
292167,mpnet,pubmedbert,0.74,0.68,0.84
292167,mpnet,biobert,0.748,0.68,0.8
292167,mpnet,simcse,0.8280000000000001,0.8,0.88
292167,minilm,pubmedbert,0.6799999999999999,0.6,0.8
292167,minilm,biobert,0.732,0.68,0.84
292167,minilm,simcse,0.8240000000000001,0.72,0.88
