design,grouping,model_a,model_b,n,mean,median,p025,p975,min,max
nested26,observed,specter,specter2,500,0.9369104481587301,0.9379575746527429,0.9014956829025208,0.9581300588065135,0.8974407914718335,0.9666522248263005
nested26,observed,specter,scincl,500,0.9501332464238619,0.9504815217206242,0.934349874410374,0.9637045370936784,0.9264723322160948,0.9695724116053489
nested26,observed,specter,scibert,500,0.9012306614408144,0.903956905446301,0.8484767991598633,0.9393329604015319,0.8177089495187827,0.9454139178423742
nested26,observed,specter,bert,500,0.8598121398126987,0.85785094343683,0.8234139531572493,0.9069302370199084,0.7942364195898655,0.910716327519863
nested26,observed,specter,mpnet,500,0.9246766889713937,0.9259443891440295,0.8916874686921735,0.9488935925372659,0.885141815951057,0.9546261252302477
nested26,observed,specter,minilm,500,0.9210940517430783,0.9211190176926752,0.8912526254034584,0.9487150524164538,0.8837672046719703,0.952296789040799
nested26,observed,specter,pubmedbert,500,0.8227296210486863,0.8197867357208126,0.7746930372478987,0.8717130292338491,0.7276451080872828,0.8923563269291177
nested26,observed,specter,biobert,500,0.8584350472828535,0.8609456060602252,0.8033680833216252,0.8964269651776445,0.7856567373899561,0.9109489777104983
nested26,observed,specter,simcse,500,0.8962648151510306,0.8978207465974783,0.8635416879944764,0.9333968071393728,0.8483209712434358,0.9407280667741887
nested26,observed,specter2,scincl,500,0.9611603132722729,0.9615242889527348,0.9475740138175136,0.9756129083587685,0.9403237123726096,0.9781416778473382
nested26,observed,specter2,scibert,500,0.9197010554063688,0.921218282731169,0.8864870284290265,0.9482010203009869,0.8639125292174576,0.9527437513340555
nested26,observed,specter2,bert,500,0.899045383189465,0.8997895705077674,0.8623533233673256,0.9282251772369681,0.8499526626272068,0.9341045489299394
nested26,observed,specter2,mpnet,500,0.9320139459442837,0.9334267773928209,0.8937869697447975,0.9541447042608632,0.8885952440198959,0.9597527793302909
nested26,observed,specter2,minilm,500,0.9174591347575445,0.9183288649503127,0.8840398171853149,0.9426615267891976,0.874834299110275,0.9527534001328262
nested26,observed,specter2,pubmedbert,500,0.8629982676948169,0.8651812056738595,0.8135821626391673,0.9074468398709301,0.786915460442914,0.9155616955543623
nested26,observed,specter2,biobert,500,0.8956169849332036,0.8986003605245485,0.85301110454224,0.9291071811875141,0.8431797617863688,0.9376227885743067
nested26,observed,specter2,simcse,500,0.910018510305893,0.9115431561186775,0.8802241998448505,0.9355732592057336,0.858927948689238,0.9458885239005232
nested26,observed,scincl,scibert,500,0.9084386230437556,0.9093439408378843,0.8590346785946292,0.9403130953666886,0.8521073789005786,0.9488992371218108
nested26,observed,scincl,bert,500,0.881252457290773,0.8828638303284402,0.8446748394180966,0.9275203386042123,0.8377327321108573,0.936656924694524
nested26,observed,scincl,mpnet,500,0.9242872078452488,0.9250336189088572,0.8974379611487162,0.9447853108688147,0.8941810145396291,0.9480051246935752
nested26,observed,scincl,minilm,500,0.9176493232313071,0.9179056522518818,0.8944577966185964,0.9402382398815113,0.8895066333490028,0.9467669545906288
nested26,observed,scincl,pubmedbert,500,0.8536712210524097,0.8522319265974668,0.8157327095545818,0.9031955856948504,0.7776549133517289,0.9121060891437442
nested26,observed,scincl,biobert,500,0.8839174976741523,0.8819276748280804,0.8440545635909289,0.9227466281078026,0.8306822178136282,0.928274531799202
nested26,observed,scincl,simcse,500,0.9084942940322738,0.9081780050514725,0.8755287797897772,0.9481189159599352,0.8669380380982371,0.9514056771270486
nested26,observed,scibert,bert,500,0.953394721710287,0.954105799057416,0.9300717186784982,0.9724697994791711,0.9234775131750453,0.9752646193192682
nested26,observed,scibert,mpnet,500,0.876954817305196,0.8797007312706424,0.804610619201332,0.9146094765692935,0.7858775289946676,0.9273580074961272
nested26,observed,scibert,minilm,500,0.8800069632404434,0.8851952735556916,0.8119164784138516,0.9139402664804683,0.7917787607461767,0.9287479285059753
nested26,observed,scibert,pubmedbert,500,0.9544235764924115,0.9553760549698167,0.9324892975104742,0.9706845469543767,0.9259679129776814,0.9744758864665855
nested26,observed,scibert,biobert,500,0.9643167472207235,0.9662908326319947,0.9421755793196339,0.9825965598258923,0.9380406856085725,0.9843135568711194
nested26,observed,scibert,simcse,500,0.958778159673247,0.961184494181371,0.9230219045790902,0.9754619790001163,0.9033110329337173,0.9767899316870678
nested26,observed,bert,mpnet,500,0.8654049309521685,0.8671013174932947,0.8140184073473433,0.9025586432548558,0.7832292270666175,0.9128976950626274
nested26,observed,bert,minilm,500,0.8524288198046384,0.8528337253549063,0.806233083056277,0.8908549350851376,0.7907662507878787,0.900469607185788
nested26,observed,bert,pubmedbert,500,0.9371870765122353,0.9369829658111517,0.9142585396683971,0.9602670795694447,0.9016509663678332,0.9703537602297572
nested26,observed,bert,biobert,500,0.9501052245183983,0.9509809013764825,0.914338681333036,0.968075764823602,0.9057540578319333,0.9750242019310894
nested26,observed,bert,simcse,500,0.9567146330213294,0.9571309523624905,0.9423142102225982,0.9669012201386942,0.9367381442341433,0.9695357245261597
nested26,observed,mpnet,minilm,500,0.973813094689845,0.9740116225276165,0.965846284360056,0.9813117404764086,0.9592525709896564,0.9831826959465705
nested26,observed,mpnet,pubmedbert,500,0.8082612847966656,0.8082910899224378,0.7346883937456363,0.8660858538776686,0.7048305123803152,0.8732745599157713
nested26,observed,mpnet,biobert,500,0.8438789110494165,0.8454864818984809,0.7664852673219091,0.889289866480462,0.756334414853016,0.8973999003822947
nested26,observed,mpnet,simcse,500,0.8802740371644794,0.8810824685826395,0.8336795273423447,0.9192698061238064,0.8242093851811589,0.9250879089609264
nested26,observed,minilm,pubmedbert,500,0.8116757944585571,0.8123352781159432,0.7447605692287138,0.8696109441275139,0.7347965543496471,0.8780339026014456
nested26,observed,minilm,biobert,500,0.8430364041400397,0.8450519833676519,0.788231629750279,0.8877456476882595,0.766106700064272,0.8958329512933391
nested26,observed,minilm,simcse,500,0.8816389415291094,0.8821127863390459,0.8474135004185501,0.9182779927834513,0.842144017098615,0.9228318581036349
nested26,observed,pubmedbert,biobert,500,0.983425766460402,0.9836020785544503,0.975084308605258,0.9900379602649565,0.9724566264791472,0.9921014979543242
nested26,observed,pubmedbert,simcse,500,0.93228284811774,0.9326401602499674,0.9093986574976705,0.9589054004132466,0.9051444589786197,0.96409006887725
nested26,observed,biobert,simcse,500,0.9468103413253784,0.9484600973926414,0.9207021995284445,0.9680422680947441,0.9132446283439185,0.971735916145535
nested26,random,specter,specter2,500,0.7553011533143796,0.7525033458387246,0.6660122269077047,0.8427810587364281,0.6148668707505713,0.8936823278340389
nested26,random,specter,scincl,500,0.8023843877793142,0.8028279184635047,0.7291688853399376,0.8700422943349633,0.6906594486197346,0.898075029367781
nested26,random,specter,scibert,500,0.6202150741521308,0.6213769743447446,0.49005850814956464,0.7520805148705302,0.3943339613886551,0.8356527453004343
nested26,random,specter,bert,500,0.6357624179533263,0.6333684631279072,0.5146900518949038,0.7650836754532231,0.4362838986842748,0.8181559783720354
nested26,random,specter,mpnet,500,0.7446297149906361,0.7450706957738011,0.6565923663142521,0.826858309053576,0.6288850727576512,0.855745138329584
nested26,random,specter,minilm,500,0.6804874673443774,0.6798585057809174,0.5839552336495438,0.7683208179517071,0.5254782608521256,0.8034726904019269
nested26,random,specter,pubmedbert,500,0.5902825889265977,0.5897067632706675,0.45346779529033565,0.7269817115227066,0.4222675331907747,0.8067932478301014
nested26,random,specter,biobert,500,0.6176978026963921,0.6191160424748118,0.4952883330014022,0.7534403818113845,0.39704965723070584,0.824247505226949
nested26,random,specter,simcse,500,0.6114756391495535,0.6097996491294994,0.4796304730170185,0.7398659570179166,0.38340876596398576,0.7908602317370005
nested26,random,specter2,scincl,500,0.818508784374187,0.818522402034527,0.7561971686065649,0.886359924195663,0.7224931267798881,0.914150064395493
nested26,random,specter2,scibert,500,0.619299192290514,0.6191149008943382,0.4912127054924512,0.7449193974106507,0.3065007212957251,0.8357064540066987
nested26,random,specter2,bert,500,0.6253143488020014,0.6250941010604885,0.5023115507202113,0.7543139700633343,0.3952828720411547,0.8466249185581609
nested26,random,specter2,mpnet,500,0.7347899736093807,0.733230660047034,0.6529189256799419,0.820579051759027,0.6045103220038991,0.863058756859769
nested26,random,specter2,minilm,500,0.6629752163328422,0.6647797937860055,0.5668642082331548,0.7506355648417379,0.5315536402789288,0.8107790979170867
nested26,random,specter2,pubmedbert,500,0.5808002436360528,0.58153493174803,0.4443971240386907,0.7265817507020588,0.3131863595816479,0.8119210576479619
nested26,random,specter2,biobert,500,0.6125915474284922,0.6097417483800872,0.4828708319150549,0.7505753113835043,0.3955636300887462,0.8355163792697208
nested26,random,specter2,simcse,500,0.5888365356128386,0.5923967247353028,0.4581227450954151,0.7195405192660619,0.384975321375357,0.8063121960214307
nested26,random,scincl,scibert,500,0.5904743289265477,0.5909622355166619,0.4483126750789164,0.7120800036151287,0.3837153168533486,0.8191925824571255
nested26,random,scincl,bert,500,0.6346053275545379,0.6349423373359895,0.49767644799740646,0.7669086833594674,0.4373835287064357,0.8314920002502426
nested26,random,scincl,mpnet,500,0.7526584973144422,0.7543720114590391,0.6730488986915846,0.8347776084168367,0.606661222807013,0.864266758779348
nested26,random,scincl,minilm,500,0.6894441141998721,0.6913203680384363,0.5956715884117219,0.7761543134819383,0.5637984543626591,0.8070224405480005
nested26,random,scincl,pubmedbert,500,0.5652741600097044,0.5651240225015955,0.4307546299363006,0.7090029389190132,0.3571617197793538,0.8027212392621962
nested26,random,scincl,biobert,500,0.601044253198865,0.6016413057450285,0.46788759739529934,0.7339341313919613,0.4268863902426596,0.8185460913400437
nested26,random,scincl,simcse,500,0.6036465876284065,0.6019694905521981,0.4615922235215545,0.7337816295216906,0.38202751352214875,0.8142101626672184
nested26,random,scibert,bert,500,0.7198761513209986,0.7187905272906432,0.624350242555133,0.8127270941521724,0.5647773801902807,0.8698835748610994
nested26,random,scibert,mpnet,500,0.5586014520338577,0.5578370809032593,0.4147942655928522,0.6874027438037378,0.36309143397212396,0.7896704454297302
nested26,random,scibert,minilm,500,0.5081498001959455,0.5068524469292892,0.3705057267507281,0.629135017296501,0.3044384666569614,0.6937248372057159
nested26,random,scibert,pubmedbert,500,0.8565049072637492,0.8574765302976524,0.7850995414801466,0.9188550972286343,0.7263542180562067,0.9488473490955317
nested26,random,scibert,biobert,500,0.8422166340959952,0.8431996714150574,0.7702503144919515,0.9076269155545297,0.7267991434062033,0.9360889774470662
nested26,random,scibert,simcse,500,0.6366703456355816,0.6373608175702514,0.5102241289455278,0.7535507776194477,0.44452061199847576,0.8096726664957038
nested26,random,bert,mpnet,500,0.6080296573032844,0.6086527409666621,0.48118746744702195,0.7365393219325849,0.3901039414645908,0.7876786320042358
nested26,random,bert,minilm,500,0.5732354355137727,0.5781528634357593,0.44012333809611687,0.6894563902057184,0.3923264220763527,0.7789889286013394
nested26,random,bert,pubmedbert,500,0.7506165770971442,0.7513843435928842,0.6504068750074662,0.8437824586784417,0.5842208090202096,0.893453135353447
nested26,random,bert,biobert,500,0.7887279182402149,0.7913072335721667,0.7109875883938122,0.8663478449882961,0.6576858482292738,0.9117066678955722
nested26,random,bert,simcse,500,0.8151910666936403,0.8178954545409445,0.7297292043786158,0.8863383932022226,0.6833884642195611,0.9107809943478914
nested26,random,mpnet,minilm,500,0.7910973413422512,0.7932911172765464,0.7183177463740843,0.8547742511000109,0.6729796568174525,0.8762581018654421
nested26,random,mpnet,pubmedbert,500,0.5308627073859441,0.5293769838569926,0.384837531429164,0.6775855591137241,0.31363314273873344,0.7391611317548585
nested26,random,mpnet,biobert,500,0.5708335807149638,0.5683682930981437,0.42408344426083155,0.7110822979370419,0.3875347825473021,0.7603319400572917
nested26,random,mpnet,simcse,500,0.5933485267358595,0.5915875304783499,0.45767585832825824,0.7147627772082373,0.40118027186505284,0.7750978726769847
nested26,random,minilm,pubmedbert,500,0.48407513406253655,0.4818517357014576,0.34022328598075463,0.6183914040403754,0.27419945971684595,0.6604018885693733
nested26,random,minilm,biobert,500,0.5239944677072532,0.5277821944782632,0.39052658064649537,0.6573496192982587,0.31076091574362374,0.7289273509851775
nested26,random,minilm,simcse,500,0.5793368726223772,0.5792215719076128,0.4535434610206756,0.6976895590598853,0.399779029645989,0.775832608452852
nested26,random,pubmedbert,biobert,500,0.8791258960982143,0.8814845889979019,0.8211293418511552,0.9283035792254953,0.766712661948088,0.9468034490727043
nested26,random,pubmedbert,simcse,500,0.6525486807298804,0.6536898141066239,0.5248925966276703,0.7712100784416158,0.44155988948659397,0.7985845589521311
nested26,random,biobert,simcse,500,0.6822873336839463,0.682679595248477,0.5650210703662638,0.7899906869297423,0.4915699339775876,0.8329042796333909
repeat256_field,observed,specter,specter2,50,0.9604337915460603,0.9602854394941115,0.9577734509392501,0.9625824896931784,0.9575656896785724,0.9632874096519783
repeat256_field,observed,specter,scincl,50,0.9671170048550601,0.9672427018831271,0.9639253667442372,0.9695522184664246,0.9633322784764292,0.9705471939254695
repeat256_field,observed,specter,scibert,50,0.9400488777651368,0.93980369068751,0.9357202638675929,0.9454581662082874,0.9353452931566254,0.9482327405524725
repeat256_field,observed,specter,bert,50,0.9024820893717479,0.9022227480162668,0.897611000017086,0.9086430716128021,0.8970596079981891,0.9094557112130045
repeat256_field,observed,specter,mpnet,50,0.952987402771775,0.9529255167078405,0.9495398277771043,0.9559792774901855,0.9478595859120348,0.9579000111894049
repeat256_field,observed,specter,minilm,50,0.9575628439176055,0.9575802576520616,0.9539689581035231,0.9610921421684897,0.9515274234813798,0.9614440425323466
repeat256_field,observed,specter,pubmedbert,50,0.8713153925039631,0.8711046276079327,0.8608083265929914,0.8794514511921493,0.8586228108072177,0.8853429980671222
repeat256_field,observed,specter,biobert,50,0.8983323979333853,0.8989314269101214,0.891012557430947,0.9048155187921054,0.88858893998876,0.906974461435113
repeat256_field,observed,specter,simcse,50,0.9337043171155266,0.9335830311807081,0.9296590926687638,0.938464607604817,0.9291174025695931,0.9393895804364012
repeat256_field,observed,specter2,scincl,50,0.9740321958453911,0.9739459834974602,0.972225488038341,0.9762340135158867,0.9718128291250675,0.9764827204939589
repeat256_field,observed,specter2,scibert,50,0.9588162106913032,0.9586657719240828,0.9536550365950447,0.964098115532795,0.953295968843666,0.9654073670520272
repeat256_field,observed,specter2,bert,50,0.9404069835009491,0.9405616314440655,0.936251552534585,0.9446612809119872,0.9357413836880718,0.9457264724702221
repeat256_field,observed,specter2,mpnet,50,0.962707547063732,0.9627619031926837,0.9583296397314981,0.9660368582702955,0.9578159880656317,0.9667992719869366
repeat256_field,observed,specter2,minilm,50,0.9550208809597508,0.9554469904387093,0.9489066037354771,0.9589929731514623,0.9481754463580131,0.9605552204365482
repeat256_field,observed,specter2,pubmedbert,50,0.9077615407861158,0.9077895794828803,0.8984744686969359,0.915783018618495,0.8979637663475016,0.9164014329185366
repeat256_field,observed,specter2,biobert,50,0.9310161457144193,0.9314779491162746,0.9251719269681484,0.9366155062754565,0.922250938274169,0.9373142991720742
repeat256_field,observed,specter2,simcse,50,0.9496849811198522,0.949752322696438,0.9456028443933505,0.9529596522257822,0.9453075800681379,0.954463793266087
repeat256_field,observed,scincl,scibert,50,0.9546282978656281,0.9546201115415456,0.9510087128665589,0.9599720875710682,0.9478294703787199,0.9613999925775295
repeat256_field,observed,scincl,bert,50,0.9287340636637907,0.9284888798079655,0.9239796122613856,0.9332248365447778,0.9230601222639243,0.9351365024137701
repeat256_field,observed,scincl,mpnet,50,0.9486497147688742,0.9486219560907645,0.9451686601454065,0.952111230611752,0.9446936348794263,0.9524803747786562
repeat256_field,observed,scincl,minilm,50,0.9502813970096596,0.9502543650484165,0.9455469281519685,0.9543558450309745,0.9436190193916596,0.9554078638218951
repeat256_field,observed,scincl,pubmedbert,50,0.9097424456437239,0.9107935604533806,0.9032560999150347,0.9168606432079899,0.9012737103284557,0.917261283344899
repeat256_field,observed,scincl,biobert,50,0.9275642046445773,0.9277269218022848,0.9213445188843568,0.9325565359556296,0.9200634976712547,0.9338091436007183
repeat256_field,observed,scincl,simcse,50,0.9500441744500765,0.9499915270943611,0.946731342404942,0.9539348254765175,0.9458132593266173,0.9551720071401096
repeat256_field,observed,scibert,bert,50,0.9717179015005041,0.9718395551106,0.9691291189021285,0.9743877284920051,0.968541731730293,0.9756316283905659
