design,grouping,n,mean,median,p025,p975,min,max,old_reference,largest_difference_from_old
nested26,observed,500,0.9044849785308806,0.9066653667023732,0.8780168813408786,0.9259245206883517,0.8637758841780018,0.9369009169608208,0.9024575266717532,0.03868164249375139
nested26,random,500,0.6596406631933955,0.6583286362443732,0.5780696202060099,0.7492460769072512,0.5291905939342635,0.7993474483605602,0.9024575266717532,0.3732669327374897
repeat256_field,observed,50,0.9401160460142737,0.9402614946296777,0.9370323126349868,0.9427391587957645,0.936940715140537,0.9430368892851088,0.9390644716053103,0.003972417679798501
repeat256_field,random,50,0.6265866551462236,0.6267313700173559,0.5321937591730787,0.6975079800367352,0.5153620819215232,0.7420198962552238,0.9390644716053103,0.42370238968378704
repeat256_subfield217,observed,50,0.9113747384873061,0.9115032575804074,0.9100585912012679,0.9122045295586809,0.9098242949593319,0.9122757644099795,0.9110821830679933,0.0012578881086613425
repeat256_subfield217,random,50,0.6364083299051595,0.6357105774182927,0.6141785422580509,0.6618009747831518,0.613500752596067,0.6711087024451697,0.9110821830679933,0.2975814304719263
size128_field,observed,50,0.937727735567906,0.9374777840843775,0.9339991367519395,0.9418824238870153,0.9333858253052499,0.9442339044418241,0.9390644716053103,0.005678646300060319
size128_field,random,50,0.6184213717194095,0.615021030657686,0.5597276632315125,0.6868083733214695,0.5572275141741212,0.7112164844926323,0.9390644716053103,0.38183695743118906
size128_subfield183,observed,50,0.9125159473810786,0.9125737074356531,0.9112404163383654,0.9136688925132099,0.9111284341718116,0.9137985652454208,,
size128_subfield183,random,50,0.6168451026884214,0.6144283290906878,0.5897880867266484,0.6460231737570398,0.5858127909372145,0.6489296958460091,,
size256_field,observed,50,0.9397693410820713,0.939705799675173,0.9373269748499888,0.9432179720686942,0.9371182580324131,0.9434924753031497,0.9390644716053103,0.004428003697839467
size256_field,random,50,0.626139127719146,0.6276247296422496,0.5542887927704174,0.6993179114549138,0.5467094119048144,0.7444707632908044,0.9390644716053103,0.3923550597004959
size256_subfield183,observed,50,0.9141001625616926,0.9140562895713128,0.9132125214292991,0.9148079338310802,0.9129765121061116,0.9154931935309937,,
size256_subfield183,random,50,0.6287221286236476,0.6298861191705273,0.6072472772729353,0.6500813617125641,0.6037204312945826,0.6532907981672401,,
size512_field,observed,50,0.9409544039730245,0.940731034290117,0.9392709988864315,0.9432356176081443,0.9389556173109506,0.9435021986220862,0.9390644716053103,0.004437727016775916
size512_field,random,50,0.6470666585356127,0.6421203030387599,0.5436168315902491,0.7275763511715387,0.5307714470226219,0.7572438130840509,0.9390644716053103,0.40829302458268835
size512_subfield183,observed,50,0.9148033971247073,0.9147491343648249,0.9143846742700653,0.9153032539096513,0.9143669945434795,0.915409579883224,,
size512_subfield183,random,50,0.6605384195174204,0.659837761684279,0.636529183889236,0.69178446700323,0.633149350305759,0.6989939963467803,,
