recipe,k,field_id,model,n,mean,median,p025,p975,min,max,positive_fraction,negative_fraction
mean,10,11,specter,50,-0.08647599999999998,-0.08610000000000001,-0.09753972222222218,-0.07438499999999999,-0.10535555555555554,-0.0732666666666667,0.0,1.0
mean,10,11,specter2,50,-0.1169951111111111,-0.1166166666666667,-0.13186194444444457,-0.10244777777777772,-0.1359999999999999,-0.10168888888888883,0.0,1.0
mean,10,11,scincl,50,-0.10991733333333337,-0.11107222222222218,-0.11966472222222226,-0.10012333333333331,-0.12180000000000013,-0.09642222222222219,0.0,1.0
mean,10,11,scibert,50,0.17463088888888886,0.17507222222222224,0.1664066666666666,0.18600194444444448,0.16479999999999995,0.18856666666666677,1.0,0.0
mean,10,11,bert,50,0.13684644444444444,0.1374777777777778,0.12831027777777776,0.14532305555555555,0.12150000000000005,0.14622222222222214,1.0,0.0
mean,10,11,mpnet,50,-0.14975311111111111,-0.14949444444444449,-0.16200972222222226,-0.13817972222222225,-0.16293333333333326,-0.13584444444444455,0.0,1.0
mean,10,11,minilm,50,-0.09946888888888891,-0.0989944444444445,-0.11289611111111114,-0.08768916666666667,-0.11429999999999996,-0.08196666666666663,0.0,1.0
mean,10,11,pubmedbert,50,0.13365555555555556,0.13437222222222223,0.12333666666666676,0.1418536111111111,0.12316666666666676,0.1458666666666667,1.0,0.0
mean,10,11,biobert,50,0.15800066666666665,0.15861666666666668,0.14699333333333325,0.1672158333333333,0.14631111111111117,0.16778888888888888,1.0,0.0
mean,10,11,simcse,50,0.09666244444444444,0.09702222222222223,0.0882638888888888,0.10458027777777786,0.08448888888888884,0.10654444444444444,1.0,0.0
mean,25,11,specter,50,-0.1039048888888889,-0.10433111111111115,-0.11411966666666679,-0.0944947777777778,-0.11828444444444441,-0.08807555555555557,0.0,1.0
mean,25,11,specter2,50,-0.12947955555555557,-0.12858000000000003,-0.1398591111111111,-0.11755466666666671,-0.1480311111111111,-0.11306222222222229,0.0,1.0
mean,25,11,scincl,50,-0.12140319999999999,-0.12149555555555558,-0.13042655555555555,-0.10901388888888892,-0.13361777777777772,-0.1042844444444444,0.0,1.0
mean,25,11,scibert,50,0.17737431111111107,0.1774844444444445,0.169918,0.18515166666666663,0.1677777777777778,0.18692444444444434,1.0,0.0
mean,25,11,bert,50,0.12664115555555555,0.12706000000000006,0.11943122222222231,0.13442455555555557,0.11901777777777789,0.13532444444444447,1.0,0.0
mean,25,11,mpnet,50,-0.15172382222222222,-0.15117333333333338,-0.16293444444444444,-0.1426185555555556,-0.16583111111111115,-0.13991555555555568,0.0,1.0
mean,25,11,minilm,50,-0.09661502222222222,-0.09620444444444443,-0.10623311111111121,-0.08773477777777776,-0.10722222222222211,-0.08714222222222223,0.0,1.0
mean,25,11,pubmedbert,50,0.13042800000000002,0.13126444444444446,0.1224133333333334,0.13715933333333327,0.11774666666666667,0.13864444444444435,1.0,0.0
mean,25,11,biobert,50,0.1605031111111111,0.16034444444444446,0.15159255555555548,0.17009566666666665,0.14937777777777772,0.17074222222222224,1.0,0.0
mean,25,11,simcse,50,0.09366177777777779,0.09399333333333326,0.08622833333333337,0.10335888888888892,0.08561777777777779,0.10419111111111123,1.0,0.0
mean,50,11,specter,50,-0.11653177777777782,-0.11711444444444447,-0.12567666666666671,-0.10539383333333337,-0.13390666666666673,-0.10347777777777778,0.0,1.0
mean,50,11,specter2,50,-0.13957217777777775,-0.13970555555555564,-0.14951583333333324,-0.12780750000000002,-0.1519222222222223,-0.12711555555555554,0.0,1.0
mean,50,11,scincl,50,-0.12983422222222224,-0.1305188888888888,-0.1398248333333332,-0.11544688888888895,-0.14098888888888883,-0.11138666666666674,0.0,1.0
mean,50,11,scibert,50,0.17334195555555554,0.17374111111111112,0.16398466666666667,0.17964766666666673,0.16371111111111114,0.18167777777777772,1.0,0.0
mean,50,11,bert,50,0.11232871111111113,0.11249111111111121,0.10494838888888897,0.12006594444444439,0.10385111111111112,0.12174666666666656,1.0,0.0
mean,50,11,mpnet,50,-0.1528633777777778,-0.15251222222222227,-0.16301950000000004,-0.1421632222222223,-0.1671244444444444,-0.14045999999999992,0.0,1.0
mean,50,11,minilm,50,-0.09457266666666664,-0.09474222222222223,-0.10553972222222223,-0.08419527777777781,-0.11019333333333337,-0.08224444444444445,0.0,1.0
mean,50,11,pubmedbert,50,0.12373404444444447,0.12429111111111113,0.11682744444444436,0.1300938888888889,0.11530666666666667,0.13135777777777768,1.0,0.0
mean,50,11,biobert,50,0.160356,0.1595577777777778,0.1503962222222222,0.17115611111111118,0.1498422222222222,0.17190444444444453,1.0,0.0
mean,50,11,simcse,50,0.08409853333333332,0.08475111111111111,0.07657127777777775,0.09327466666666678,0.07384000000000002,0.09379555555555563,1.0,0.0
cls,25,11,specter,50,-0.15282551111111112,-0.15234666666666674,-0.16266144444444444,-0.14381755555555556,-0.16672444444444445,-0.13974666666666669,0.0,1.0
cls,25,11,specter2,50,-0.16816471111111114,-0.16693333333333327,-0.17837211111111112,-0.15563111111111114,-0.18564888888888886,-0.1546133333333335,0.0,1.0
cls,25,11,scincl,50,-0.16412853333333335,-0.16453777777777778,-0.17196944444444448,-0.15421688888888893,-0.1750222222222222,-0.15020444444444447,0.0,1.0
