recipe,k,field_id,n,mean,median,p025,p975,min,max,positive_fraction
mean,10,11,50,0.013718555555555557,0.013915000000000066,0.006770305555555509,0.019368222222222103,0.006034444444444453,0.020576666666666577,1.0
mean,25,11,50,0.008548186666666669,0.00899511111111101,0.0022483888888890054,0.014804788888888929,0.0005324444444444465,0.016655555555555646,1.0
mean,50,11,50,0.0020485022222222348,0.002105777777777762,-0.004686311111111188,0.00814372222222236,-0.005636666666666623,0.011022666666666736,0.68
cls,25,11,50,-0.04028426666666665,-0.03990600000000011,-0.045474033333333136,-0.0353994222222221,-0.04656177777777781,-0.03416533333333316,0.0
sep,25,11,50,-0.025731502222222213,-0.025949555555555504,-0.03177315555555556,-0.0201254555555556,-0.03253599999999979,-0.019399999999999862,0.0
mean,10,12,50,0.054753688888888874,0.05446944444444435,0.04913797222222217,0.06146372222222211,0.04492222222222253,0.06165666666666669,1.0
mean,25,12,50,0.05629416,0.05629844444444454,0.05022357777777795,0.06192012222222223,0.04943733333333333,0.06366711111111101,1.0
mean,50,12,50,0.051747448888888894,0.051974555555555635,0.046145488888888926,0.05720388333333345,0.045859111111111184,0.058933111111111214,1.0
cls,25,12,50,0.019108506666666667,0.01895533333333349,0.014349455555555557,0.02499357777777772,0.012885333333333526,0.026226222222222373,1.0
sep,25,12,50,0.0206786488888889,0.020092222222222123,0.015304933333333482,0.025879144444444478,0.013608888888889004,0.028637333333333292,1.0
mean,10,13,50,-0.005649755555555547,-0.005757222222222302,-0.011199638888888874,-0.0004650277777778327,-0.01393555555555559,0.0007111111111112178,0.02
mean,25,13,50,-0.013531022222222222,-0.013645777777777812,-0.018817355555555554,-0.008708688888888826,-0.019459111111111094,-0.008344444444444488,0.0
mean,50,13,50,-0.021789413333333344,-0.02187633333333333,-0.026743244444444536,-0.017441938888888873,-0.027058888888888966,-0.01704799999999984,0.0
cls,25,13,50,-0.060560168888888904,-0.06051200000000001,-0.06448763333333336,-0.056417922222222125,-0.06516177777777798,-0.0559977777777777,0.0
sep,25,13,50,-0.04684447999999999,-0.04703177777777778,-0.051387300000000115,-0.0424642444444445,-0.05180444444444443,-0.040635111111110955,0.0
mean,10,14,50,0.02137184444444449,0.021829444444444568,0.014442305555555571,0.02789822222222226,0.012542222222222343,0.03068666666666664,1.0
