recipe,k,model,n,mean,median,p025,p975,min,max
mean,10,specter,50,-0.06815777777777779,-0.068267094017094,-0.07043400641025642,-0.06608547008547007,-0.07113931623931623,-0.06585982905982905
mean,10,specter2,50,-0.0952778034188034,-0.09521581196581197,-0.09822837606837605,-0.09307766025641026,-0.09825085470085469,-0.09162478632478634
mean,10,scincl,50,-0.09785104273504273,-0.0979173076923077,-0.10028236111111112,-0.09498625000000001,-0.10040982905982908,-0.09398632478632479
mean,10,scibert,50,0.16620467521367518,0.16630641025641024,0.16468392094017095,0.16791199786324784,0.16410470085470086,0.16810170940170938
mean,10,bert,50,0.13356214529914529,0.1334980769230769,0.13180448717948717,0.1356655876068376,0.1316111111111111,0.13597307692307692
mean,10,mpnet,50,-0.13714802564102566,-0.13713205128205125,-0.138869155982906,-0.13551601495726495,-0.1393871794871795,-0.13320042735042736
mean,10,minilm,50,-0.08692551282051282,-0.08701410256410257,-0.08931766025641028,-0.08428325854700854,-0.08967863247863249,-0.0837017094017094
mean,10,pubmedbert,50,0.14087035897435898,0.14087136752136753,0.1393142200854701,0.14273511752136753,0.1392119658119658,0.14283846153846153
mean,10,biobert,50,0.15262047008547008,0.15252350427350425,0.15094747863247865,0.15425526709401707,0.15075811965811967,0.15491581196581194
mean,10,simcse,50,0.0892180683760684,0.0891465811965812,0.08777102564102567,0.0908499252136752,0.08736495726495727,0.09141068376068377
mean,25,specter,50,-0.08092451623931624,-0.08084478632478631,-0.0823633846153846,-0.07951855982905984,-0.08253863247863248,-0.07877641025641027
mean,25,specter2,50,-0.10506252649572652,-0.10517709401709402,-0.10746820085470085,-0.10314203418803419,-0.10843162393162395,-0.10133111111111114
mean,25,scincl,50,-0.10791897435897436,-0.10776273504273504,-0.10981361538461537,-0.1060989188034188,-0.11096222222222221,-0.10588871794871794
mean,25,scibert,50,0.1658803658119658,0.16592769230769233,0.16449638034188035,0.16704087606837606,0.16395811965811966,0.16753606837606835
mean,25,bert,50,0.12760881709401709,0.12737376068376066,0.12575423076923078,0.12912064529914527,0.12566854700854702,0.13043384615384615
mean,25,mpnet,50,-0.14041557948717948,-0.14025299145299147,-0.14282897008547008,-0.13822958974358973,-0.1430694017094017,-0.1363690598290598
mean,25,minilm,50,-0.08901242393162394,-0.08912957264957266,-0.09065317948717948,-0.08690634615384614,-0.09095965811965812,-0.08634222222222218
mean,25,pubmedbert,50,0.13996103247863248,0.13997982905982906,0.13879035897435898,0.14115050427350426,0.13865162393162397,0.14118188034188034
mean,25,biobert,50,0.15866662905982903,0.1586263247863248,0.1572058547008547,0.16043250427350425,0.15708581196581198,0.16046888888888894
mean,25,simcse,50,0.08707969914529916,0.08710811965811965,0.08539339743589744,0.08859216666666665,0.0851890598290598,0.08878222222222223
mean,50,specter,50,-0.09071080683760685,-0.09049226495726498,-0.09247409615384616,-0.08877883119658117,-0.09253752136752134,-0.08863521367521368
mean,50,specter2,50,-0.11241916923076921,-0.11245004273504275,-0.11414871367521368,-0.11065636538461539,-0.11494538461538463,-0.10948213675213679
mean,50,scincl,50,-0.11464659487179485,-0.11463662393162391,-0.11662845512820513,-0.1127545106837607,-0.1166942735042735,-0.11226649572649573
mean,50,scibert,50,0.15990091282051283,0.16004299145299145,0.15824675854700854,0.16085605341880338,0.15800324786324788,0.16165094017094012
mean,50,bert,50,0.1148562,0.11480901709401709,0.1133972222222222,0.11689197863247865,0.11297,0.11724683760683757
mean,50,mpnet,50,-0.13937335042735044,-0.13932141025641023,-0.14152069017094018,-0.1374120235042735,-0.1418026495726496,-0.13588683760683765
mean,50,minilm,50,-0.08916554871794871,-0.0891535042735043,-0.09072028418803417,-0.08696657051282054,-0.09083256410256411,-0.0862029914529914
mean,50,pubmedbert,50,0.1345165829059829,0.13452764957264957,0.1332585405982906,0.13569823504273504,0.13305222222222224,0.13600196581196577
mean,50,biobert,50,0.16113898632478635,0.16099089743589745,0.15991773504273504,0.1630677393162393,0.15921615384615387,0.16377350427350426
mean,50,simcse,50,0.08000384102564104,0.07988128205128206,0.0785049829059829,0.08156164316239317,0.0781920512820513,0.08192700854700855
cls,25,specter,50,-0.12534022905982908,-0.12526897435897438,-0.12693607264957263,-0.12365058974358976,-0.1272731623931624,-0.12324290598290598
cls,25,specter2,50,-0.1445726324786325,-0.14467564102564107,-0.14681435042735044,-0.14267824358974354,-0.1476105982905983,-0.14115726495726497
cls,25,scincl,50,-0.14926449914529913,-0.14908435897435898,-0.15128277350427352,-0.14742108974358978,-0.15175504273504273,-0.14736461538461534
cls,25,scibert,50,0.07914696410256411,0.0793373504273504,0.07780580341880344,0.08026393162393161,0.07734017094017097,0.0807765811965812
cls,25,bert,50,0.09675379487179488,0.09676649572649572,0.09588001709401711,0.0978116111111111,0.09528649572649574,0.09795111111111111
cls,25,mpnet,50,-0.18587749059829062,-0.18571059829059827,-0.1881368504273504,-0.18381192735042737,-0.18851076923076926,-0.1821230769230769
cls,25,minilm,50,-0.13554930256410258,-0.13568333333333327,-0.13715026923076926,-0.1338461239316239,-0.13777316239316237,-0.13288615384615388
cls,25,pubmedbert,50,0.10761292307692308,0.10754829059829062,0.10670525213675214,0.10895365384615384,0.10597076923076923,0.10908581196581199
cls,25,biobert,50,0.10863714188034188,0.10867042735042734,0.10745657264957266,0.10994256837606836,0.10684700854700856,0.11033931623931625
cls,25,simcse,50,0.035676676923076925,0.03577042735042736,0.03388205982905984,0.03700828205128204,0.033768547008547006,0.037451794871794876
sep,25,specter,50,-0.09007304615384616,-0.08992478632478632,-0.09157198290598291,-0.08857454700854703,-0.09174119658119657,-0.08799452991452995
sep,25,specter2,50,-0.11385695384615384,-0.11390051282051283,-0.11596224786324785,-0.111811735042735,-0.11706820512820512,-0.11030495726495727
sep,25,scincl,50,-0.11572229401709402,-0.11559393162393164,-0.11777892307692307,-0.11388216666666669,-0.11858581196581196,-0.11360307692307693
sep,25,scibert,50,0.07677283076923076,0.07691111111111112,0.07567705555555554,0.07810394017094015,0.07562017094017091,0.07844444444444444
sep,25,bert,50,0.0736480547008547,0.07366136752136752,0.07243492307692309,0.07480368376068378,0.07201282051282051,0.07503076923076926
sep,25,mpnet,50,-0.14904703931623933,-0.148832905982906,-0.1513564188034188,-0.14686906410256412,-0.15163675213675212,-0.1453034188034188
sep,25,minilm,50,-0.10037444102564103,-0.10039820512820515,-0.10209929487179487,-0.09828661965811966,-0.10216974358974358,-0.09788615384615383
sep,25,pubmedbert,50,0.0878216888888889,0.08783418803418802,0.08607608974358974,0.08947307264957262,0.08563128205128206,0.08960478632478631
sep,25,biobert,50,0.0731369846153846,0.07302675213675214,0.07170057264957264,0.07479936324786325,0.071685641025641,0.07482239316239317
sep,25,simcse,50,0.05805674188034188,0.057998119658119664,0.056215931623931625,0.059453764957264954,0.05595128205128204,0.05955264957264958
