recipe,k,measure,full52000,n,mean,median,p025,p975,min,max,opposite_sign_fraction,negative_fraction
mean,10,model_change,0.7320513247863247,50,0.7019717521367521,0.7019879914529915,0.7010704273504272,0.7028715170940171,0.7009886324786324,0.7032905982905983,0.0,0.0
mean,10,title_only_change,0.7540117307692308,50,0.7216833076923078,0.7216998076923078,0.7204702788461538,0.722720576923077,0.7201957692307691,0.7230080769230768,0.0,0.0
mean,10,title_minus_model,0.02196040598290598,50,0.019711555555555562,0.019665341880341886,0.01853823076923078,0.020812098290598297,0.017985427350427345,0.021267521367521372,0.0,0.0
mean,25,model_change,0.6875885128205128,50,0.6493367323076923,0.6493382905982905,0.6483698589743588,0.6504193803418803,0.6483401709401709,0.6505020170940171,0.0,0.0
mean,25,title_only_change,0.7067224615384615,50,0.6649229846153846,0.6649546153846153,0.6636484230769231,0.6658969076923077,0.6635872307692309,0.6665083076923075,0.0,0.0
mean,25,title_minus_model,0.01913394871794872,50,0.015586252307692307,0.015602632478632493,0.014449167521367502,0.016888944871794844,0.014337316239316252,0.017283162393162407,0.0,0.0
mean,50,model_change,0.6481315726495727,50,0.6010890885470085,0.601129641025641,0.6001052414529915,0.6023853017094017,0.599844170940171,0.602492735042735,0.0,0.0
mean,50,title_only_change,0.6637594615384614,50,0.6114991938461539,0.6115034230769231,0.6101851076923078,0.6125177153846154,0.6098530769230769,0.612644076923077,0.0,0.0
mean,50,title_minus_model,0.015627888888888893,50,0.010410105299145296,0.01044070940170941,0.009397856623931632,0.011830885683760685,0.009229598290598265,0.012226700854700836,0.0,0.0
cls,25,model_change,0.7659723589743589,50,0.7282430222222223,0.7282377948717949,0.72741437008547,0.7291358538461539,0.727295623931624,0.7292325811965811,0.0,0.0
cls,25,title_only_change,0.7356005384615385,50,0.696965356923077,0.6969663076923078,0.6959200653846154,0.6979816346153846,0.6958139999999998,0.6983783076923078,0.0,0.0
cls,25,title_minus_model,-0.030371820512820513,50,-0.0312776652991453,-0.031235376068376074,-0.03223830042735044,-0.030320180769230796,-0.03227637606837607,-0.030266461538461544,0.0,1.0
sep,25,model_change,0.7292996752136752,50,0.6914565811965813,0.6913964957264956,0.6904860350427352,0.6924702376068377,0.6902922393162393,0.6926046495726494,0.0,0.0
sep,25,title_only_change,0.7121972307692309,50,0.6714928338461539,0.6715493076923077,0.670325876923077,0.672559046153846,0.6702326153846153,0.6729713846153846,0.0,0.0
sep,25,title_minus_model,-0.017102444444444448,50,-0.019963747350427344,-0.01994817094017093,-0.02099846367521368,-0.018824302564102568,-0.021041572649572644,-0.018715008547008513,0.0,1.0
