metric,cutoff,original,centered,pairs
angle_p50,0.0,unanimous,unanimous,27
angle_p50,0.0,unanimous,contradiction,7
angle_p50,0.0,unanimous,unresolved,8
angle_p50,0.0,contradiction,unanimous,67
angle_p50,0.0,contradiction,contradiction,142
angle_p50,0.0,contradiction,unresolved,53
angle_p50,0.0,unresolved,unanimous,11
angle_p50,0.0,unresolved,contradiction,2
angle_p50,0.0,unresolved,unresolved,8
pr,0.0,unanimous,unanimous,48
pr,0.0,unanimous,contradiction,0
pr,0.0,unanimous,unresolved,6
pr,0.0,contradiction,unanimous,1
pr,0.0,contradiction,contradiction,204
pr,0.0,contradiction,unresolved,16
pr,0.0,unresolved,unanimous,14
pr,0.0,unresolved,contradiction,7
pr,0.0,unresolved,unresolved,29
angle_p50,0.01,unanimous,unanimous,16
angle_p50,0.01,unanimous,contradiction,6
angle_p50,0.01,unanimous,unresolved,8
angle_p50,0.01,contradiction,unanimous,25
angle_p50,0.01,contradiction,contradiction,101
angle_p50,0.01,contradiction,unresolved,112
angle_p50,0.01,unresolved,unanimous,18
angle_p50,0.01,unresolved,contradiction,6
angle_p50,0.01,unresolved,unresolved,33
pr,0.01,unanimous,unanimous,45
pr,0.01,unanimous,contradiction,0
pr,0.01,unanimous,unresolved,5
pr,0.01,contradiction,unanimous,1
pr,0.01,contradiction,contradiction,195
pr,0.01,contradiction,unresolved,17
pr,0.01,unresolved,unanimous,11
pr,0.01,unresolved,contradiction,6
pr,0.01,unresolved,unresolved,45
angle_p50,0.05,unanimous,unanimous,4
angle_p50,0.05,unanimous,contradiction,1
angle_p50,0.05,unanimous,unresolved,5
angle_p50,0.05,contradiction,unanimous,0
angle_p50,0.05,contradiction,contradiction,5
angle_p50,0.05,contradiction,unresolved,91
angle_p50,0.05,unresolved,unanimous,0
angle_p50,0.05,unresolved,contradiction,5
angle_p50,0.05,unresolved,unresolved,214
pr,0.05,unanimous,unanimous,34
pr,0.05,unanimous,contradiction,0
pr,0.05,unanimous,unresolved,2
pr,0.05,contradiction,unanimous,1
pr,0.05,contradiction,contradiction,152
pr,0.05,contradiction,unresolved,24
pr,0.05,unresolved,unanimous,4
pr,0.05,unresolved,contradiction,4
pr,0.05,unresolved,unresolved,104
angle_p50,0.1,unanimous,unanimous,0
angle_p50,0.1,unanimous,contradiction,0
angle_p50,0.1,unanimous,unresolved,0
angle_p50,0.1,contradiction,unanimous,0
angle_p50,0.1,contradiction,contradiction,0
angle_p50,0.1,contradiction,unresolved,19
angle_p50,0.1,unresolved,unanimous,1
angle_p50,0.1,unresolved,contradiction,1
angle_p50,0.1,unresolved,unresolved,304
pr,0.1,unanimous,unanimous,23
pr,0.1,unanimous,contradiction,0
pr,0.1,unanimous,unresolved,3
pr,0.1,contradiction,unanimous,1
pr,0.1,contradiction,contradiction,102
pr,0.1,contradiction,unresolved,23
pr,0.1,unresolved,unanimous,3
pr,0.1,unresolved,contradiction,4
pr,0.1,unresolved,unresolved,166
