metric,cutoff,field_a,field_b,model_a,model_b,original_direction_a,original_direction_b,centered_direction_a,centered_direction_b,same_directions,both_reversed
angle_p50,0.0,11,12,specter,bert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter,mpnet,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter,minilm,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter,biobert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter,simcse,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter2,bert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter2,mpnet,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter2,minilm,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter2,biobert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,specter2,simcse,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scincl,bert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scincl,mpnet,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scincl,minilm,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scincl,biobert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scincl,simcse,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scibert,bert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scibert,mpnet,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scibert,minilm,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scibert,biobert,-1,1,-1,-1,False,False
angle_p50,0.0,11,12,scibert,simcse,-1,1,-1,-1,False,False
angle_p50,0.0,11,13,specter,specter2,1,-1,1,0,False,False
angle_p50,0.0,11,13,specter,bert,1,-1,1,-1,True,False
angle_p50,0.0,11,13,specter,biobert,1,-1,1,-1,True,False
angle_p50,0.0,11,13,specter,simcse,1,-1,1,0,False,False
angle_p50,0.0,11,13,specter2,scincl,-1,1,0,1,False,False
angle_p50,0.0,11,13,specter2,mpnet,-1,1,0,1,False,False
angle_p50,0.0,11,13,specter2,minilm,-1,1,0,1,False,False
angle_p50,0.0,11,13,scincl,bert,1,-1,1,-1,True,False
angle_p50,0.0,11,13,scincl,biobert,1,-1,1,-1,True,False
angle_p50,0.0,11,13,scincl,simcse,1,-1,1,0,False,False
angle_p50,0.0,11,13,bert,mpnet,-1,1,-1,1,True,False
angle_p50,0.0,11,13,bert,minilm,-1,1,-1,1,True,False
angle_p50,0.0,11,13,mpnet,biobert,1,-1,1,-1,True,False
angle_p50,0.0,11,13,mpnet,simcse,1,-1,1,0,False,False
