representation,metric,cutoff,unanimous,contradiction,unresolved,pairs,conditions
original,angle_p50,0.0,42,262,21,325,26
original,pr,0.0,54,221,50,325,26
original,erank,0.0,33,252,40,325,26
original,d80,0.0,6,283,36,325,26
global_centered,angle_p50,0.0,105,151,69,325,26
global_centered,pr,0.0,63,211,51,325,26
original,angle_p50,0.01,30,238,57,325,26
original,pr,0.01,50,213,62,325,26
original,erank,0.01,27,238,60,325,26
original,d80,0.01,6,283,36,325,26
global_centered,angle_p50,0.01,59,113,153,325,26
global_centered,pr,0.01,57,201,67,325,26
original,angle_p50,0.05,10,96,219,325,26
original,pr,0.05,36,177,112,325,26
original,erank,0.05,15,178,132,325,26
original,d80,0.05,0,199,126,325,26
global_centered,angle_p50,0.05,4,11,310,325,26
global_centered,pr,0.05,39,156,130,325,26
original,angle_p50,0.1,0,19,306,325,26
original,pr,0.1,26,126,173,325,26
original,erank,0.1,9,109,207,325,26
original,d80,0.1,0,94,231,325,26
global_centered,angle_p50,0.1,1,1,323,325,26
global_centered,pr,0.1,27,106,192,325,26
