representation,metric,cutoff,field_a,field_b,model,direction,smallest_relative_difference,largest_relative_difference
original,angle_p50,0.0,11,12,specter,-1,-0.16264265440950093,-0.1326270749373851
original,angle_p50,0.0,11,12,specter2,-1,-0.06999123300315992,-0.0577226625355818
original,angle_p50,0.0,11,12,scincl,-1,-0.03709028325897447,-0.016150520814902643
original,angle_p50,0.0,11,12,scibert,-1,-0.02466573910345571,-0.0029757840279573794
original,angle_p50,0.0,11,12,bert,1,0.10106968054980947,0.1167636810270433
original,angle_p50,0.0,11,12,mpnet,1,0.008820379573931277,0.020092422190605825
original,angle_p50,0.0,11,12,minilm,1,0.018369394199248382,0.028174637662884153
original,angle_p50,0.0,11,12,pubmedbert,0,-0.006483493417092641,0.0161592355683919
original,angle_p50,0.0,11,12,biobert,1,0.06794781673389721,0.08935427033267214
original,angle_p50,0.0,11,12,simcse,1,0.13595198909162845,0.1546782763488752
original,angle_p50,0.0,11,13,specter,1,0.022750030633642504,0.03822391903808909
original,angle_p50,0.0,11,13,specter2,-1,-0.01605551272725571,-0.001288566396373363
original,angle_p50,0.0,11,13,scincl,1,0.058382939014655556,0.07184724094574198
original,angle_p50,0.0,11,13,scibert,0,-0.010994833308775069,0.00807605539533019
original,angle_p50,0.0,11,13,bert,-1,-0.05876138294258614,-0.027168027015752844
original,angle_p50,0.0,11,13,mpnet,1,0.027119703974579707,0.03794279958877186
original,angle_p50,0.0,11,13,minilm,1,0.019899291506767888,0.032078225067324224
original,angle_p50,0.0,11,13,pubmedbert,0,-0.001048100689497121,0.01849635131638824
original,angle_p50,0.0,11,13,biobert,-1,-0.04416503810375481,-0.022342416397643724
original,angle_p50,0.0,11,13,simcse,-1,-0.041070606887378465,-0.015639907491870084
original,angle_p50,0.0,11,14,specter,-1,-0.06615547947717881,-0.04687504680003399
original,angle_p50,0.0,11,14,specter2,-1,-0.05823372656984404,-0.04735748215000493
original,angle_p50,0.0,11,14,scincl,1,0.023903011552703055,0.04092593762122959
original,angle_p50,0.0,11,14,scibert,-1,-0.048075994637554076,-0.02788109845353728
original,angle_p50,0.0,11,14,bert,-1,-0.020915732669233637,-0.0002973421303312557
original,angle_p50,0.0,11,14,mpnet,-1,-0.01424398977097434,-0.002323401871030612
original,angle_p50,0.0,11,14,minilm,0,-9.939659911560275e-06,0.011699506336887874
original,angle_p50,0.0,11,14,pubmedbert,-1,-0.05243664213308499,-0.02977967853453169
original,angle_p50,0.0,11,14,biobert,0,-0.010101733875071446,0.017170182443938257
original,angle_p50,0.0,11,14,simcse,1,0.02640642049038021,0.051133804899978694
original,angle_p50,0.0,11,15,specter,-1,-0.06099257162526666,-0.04689123940849441
original,angle_p50,0.0,11,15,specter2,-1,-0.020459073921005873,-0.01010037299049733
original,angle_p50,0.0,11,15,scincl,-1,-0.028380093953585716,-0.014424832368494277
original,angle_p50,0.0,11,15,scibert,-1,-0.08010065613208499,-0.0645208551499122
original,angle_p50,0.0,11,15,bert,-1,-0.07715216438031576,-0.056746513010920506
original,angle_p50,0.0,11,15,mpnet,0,-0.010429757780936534,0.0007033555654169778
original,angle_p50,0.0,11,15,minilm,1,0.008855847864619884,0.018242377370290556
original,angle_p50,0.0,11,15,pubmedbert,-1,-0.06931026916478959,-0.0474937656310137
original,angle_p50,0.0,11,15,biobert,-1,-0.06360970220635456,-0.0429050124009657
original,angle_p50,0.0,11,15,simcse,-1,-0.05493877584124818,-0.03606896064614874
original,angle_p50,0.0,11,16,specter,-1,-0.06664729509884443,-0.04948534449204912
original,angle_p50,0.0,11,16,specter2,-1,-0.020876001007522522,-0.009072086434724524
original,angle_p50,0.0,11,16,scincl,-1,-0.09097044887315005,-0.07033023986665252
original,angle_p50,0.0,11,16,scibert,-1,-0.01965734705896673,-0.00245548949482356
original,angle_p50,0.0,11,16,bert,-1,-0.04804605126172133,-0.01895714445673844
original,angle_p50,0.0,11,16,mpnet,-1,-0.04190195715693861,-0.028044647385454535
original,angle_p50,0.0,11,16,minilm,-1,-0.01676888289374902,-0.006312990118976135
original,angle_p50,0.0,11,16,pubmedbert,1,0.015144526619698284,0.04300312303705297
original,angle_p50,0.0,11,16,biobert,1,0.020126986012184656,0.045872468897617855
original,angle_p50,0.0,11,16,simcse,-1,-0.07474085661938729,-0.04990076833051158
original,angle_p50,0.0,11,17,specter,1,8.185067381418646e-05,0.01403116141219481
original,angle_p50,0.0,11,17,specter2,1,0.03578436686576733,0.04697146459166386
original,angle_p50,0.0,11,17,scincl,1,0.1809478168458886,0.19060139738073217
original,angle_p50,0.0,11,17,scibert,-1,-0.046072205318733274,-0.029734089115910658
original,angle_p50,0.0,11,17,bert,0,-0.022912809664635797,0.000887767194688956
original,angle_p50,0.0,11,17,mpnet,1,0.05405125121477932,0.0626722429433068
original,angle_p50,0.0,11,17,minilm,1,0.06021247335385225,0.067965877092913
original,angle_p50,0.0,11,17,pubmedbert,-1,-0.036509014324974165,-0.017504195822027054
original,angle_p50,0.0,11,17,biobert,-1,-0.029685477717706712,-0.009180887658406332
original,angle_p50,0.0,11,17,simcse,0,-0.0030822237387866246,0.020171465389450072
original,angle_p50,0.0,11,18,specter,-1,-0.062229815779237876,-0.040416031609892905
original,angle_p50,0.0,11,18,specter2,-1,-0.025556266113747568,-0.013347877227103207
original,angle_p50,0.0,11,18,scincl,1,0.09770530485768641,0.114103564696218
original,angle_p50,0.0,11,18,scibert,-1,-0.04086601321625656,-0.01697199143496353
original,angle_p50,0.0,11,18,bert,0,-0.0269276803503785,0.0014280924735763523
original,angle_p50,0.0,11,18,mpnet,1,0.028997697559811582,0.04163854791218972
original,angle_p50,0.0,11,18,minilm,1,0.03796099724653966,0.048971830311661975
original,angle_p50,0.0,11,18,pubmedbert,-1,-0.03080345888633657,-0.007864406465411098
original,angle_p50,0.0,11,18,biobert,0,-0.001755946633685415,0.023585939200408836
original,angle_p50,0.0,11,18,simcse,1,0.0027526260063077284,0.03439081837706414
original,angle_p50,0.0,11,19,specter,-1,-0.08137181722067828,-0.06505966737228736
original,angle_p50,0.0,11,19,specter2,1,0.0003712588987419726,0.010817385442377257
original,angle_p50,0.0,11,19,scincl,-1,-0.023432913245536962,-0.00945017592423417
original,angle_p50,0.0,11,19,scibert,-1,-0.028867613301291516,-0.010088314030312195
original,angle_p50,0.0,11,19,bert,1,0.006398511734510537,0.03180629799488371
original,angle_p50,0.0,11,19,mpnet,1,0.003842266261167514,0.013176731043257723
original,angle_p50,0.0,11,19,minilm,0,-0.0019340213413885123,0.010729340694559669
original,angle_p50,0.0,11,19,pubmedbert,-1,-0.03720982402497715,-0.014689190213631348
original,angle_p50,0.0,11,19,biobert,0,-0.021907277767445978,0.002505267784325534
original,angle_p50,0.0,11,19,simcse,1,0.011229304380065155,0.03164522772388722
original,angle_p50,0.0,11,20,specter,-1,-0.07106148441849507,-0.053454767761298275
original,angle_p50,0.0,11,20,specter2,-1,-0.04550662159252424,-0.036605748269921336
original,angle_p50,0.0,11,20,scincl,0,-0.0030531041166038993,0.015506902768789653
original,angle_p50,0.0,11,20,scibert,-1,-0.024920482125960364,-0.009456905021512248
original,angle_p50,0.0,11,20,bert,1,0.015431750167860565,0.039189102988964074
original,angle_p50,0.0,11,20,mpnet,1,0.012770587618717428,0.023049999698241373
original,angle_p50,0.0,11,20,minilm,1,0.018300997334922176,0.02885020673152101
original,angle_p50,0.0,11,20,pubmedbert,-1,-0.026306064097365012,-0.0088806656747844
original,angle_p50,0.0,11,20,biobert,1,0.015444315916314087,0.03492039218455713
original,angle_p50,0.0,11,20,simcse,1,0.05595832304681885,0.07500807569735835
original,angle_p50,0.0,11,21,specter,-1,-0.03603360916877407,-0.01830876011458659
original,angle_p50,0.0,11,21,specter2,0,-0.0030281178063396898,0.009098237168478504
original,angle_p50,0.0,11,21,scincl,1,0.026783756966446526,0.041801471407998635
original,angle_p50,0.0,11,21,scibert,0,-0.01979410151617819,0.0002240950923897201
original,angle_p50,0.0,11,21,bert,1,0.027328852795737716,0.04748855918682891
original,angle_p50,0.0,11,21,mpnet,1,0.02238240650465724,0.03204099960029151
original,angle_p50,0.0,11,21,minilm,1,0.02691784678970384,0.03523046291434824
original,angle_p50,0.0,11,21,pubmedbert,0,-0.0008398841204325733,0.019759106818868652
original,angle_p50,0.0,11,21,biobert,0,-0.0009107343567222711,0.01816116806361643
original,angle_p50,0.0,11,21,simcse,1,0.012622459201857143,0.03402605570889347
original,angle_p50,0.0,11,22,specter,1,0.00745588251080734,0.02545222079901422
original,angle_p50,0.0,11,22,specter2,1,0.03516555901219255,0.04272106763144307
original,angle_p50,0.0,11,22,scincl,1,0.13189801529609022,0.14433591859588582
original,angle_p50,0.0,11,22,scibert,-1,-0.027502747135696348,-0.009803406910687684
original,angle_p50,0.0,11,22,bert,0,-0.018346202528446858,0.0010659255757433754
original,angle_p50,0.0,11,22,mpnet,1,0.06457470673049095,0.07292378524491773
original,angle_p50,0.0,11,22,minilm,1,0.06760750721289824,0.07513689766863249
original,angle_p50,0.0,11,22,pubmedbert,-1,-0.019089846030518616,-0.0008683423791069554
original,angle_p50,0.0,11,22,biobert,0,-0.01720581398780269,0.0002526014003601996
original,angle_p50,0.0,11,22,simcse,1,0.0008802024578641799,0.02375426131640716
original,angle_p50,0.0,11,23,specter,-1,-0.03875959400608842,-0.018583984170900788
original,angle_p50,0.0,11,23,specter2,0,-0.00011976300295446545,0.01347615612841477
original,angle_p50,0.0,11,23,scincl,1,0.021206209980048223,0.038846293654395445
original,angle_p50,0.0,11,23,scibert,0,-0.012021404064078119,0.0035430013753736224
original,angle_p50,0.0,11,23,bert,1,0.021593847955995105,0.03952377253493332
original,angle_p50,0.0,11,23,mpnet,1,0.03194767017050167,0.044465204206635474
original,angle_p50,0.0,11,23,minilm,1,0.030089074332820275,0.03948855231199467
original,angle_p50,0.0,11,23,pubmedbert,0,-0.0103762732886177,0.00867023455117587
original,angle_p50,0.0,11,23,biobert,0,-0.0007556484145992118,0.018949830632386904
original,angle_p50,0.0,11,23,simcse,1,0.0436687037537284,0.06408643071406388
original,angle_p50,0.0,11,24,specter,0,-0.008318136783185883,0.005563779937678996
original,angle_p50,0.0,11,24,specter2,-1,-0.04889595460404541,-0.03614061001771273
original,angle_p50,0.0,11,24,scincl,0,-0.007287025818280933,0.007362405912962661
original,angle_p50,0.0,11,24,scibert,-1,-0.03306939855478558,-0.01586825513767445
original,angle_p50,0.0,11,24,bert,-1,-0.14732062537672352,-0.12504643786794548
original,angle_p50,0.0,11,24,mpnet,-1,-0.013331243026359957,-0.0042789041643929784
original,angle_p50,0.0,11,24,minilm,-1,-0.015424182084709576,-0.007877085082584214
original,angle_p50,0.0,11,24,pubmedbert,-1,-0.04013248713665127,-0.027721459610644667
original,angle_p50,0.0,11,24,biobert,-1,-0.08391496145736585,-0.0703374768752102
original,angle_p50,0.0,11,24,simcse,-1,-0.09429346256591906,-0.07143394341458437
original,angle_p50,0.0,11,25,specter,-1,-0.09334289643338327,-0.07573510151011618
original,angle_p50,0.0,11,25,specter2,0,-0.007313876678627243,0.0007615380162107156
original,angle_p50,0.0,11,25,scincl,-1,-0.03306410418729583,-0.017669093498869602
original,angle_p50,0.0,11,25,scibert,-1,-0.0714422830225064,-0.05439325071521428
original,angle_p50,0.0,11,25,bert,-1,-0.1111979932452978,-0.09284924874180636
original,angle_p50,0.0,11,25,mpnet,0,-0.003985473482861379,0.006241586133062319
original,angle_p50,0.0,11,25,minilm,1,0.013482561690473679,0.023279429008481314
original,angle_p50,0.0,11,25,pubmedbert,-1,-0.05408107181753799,-0.031998040424365215
original,angle_p50,0.0,11,25,biobert,-1,-0.06883056271992896,-0.044515446566129976
original,angle_p50,0.0,11,25,simcse,-1,-0.08753568255384397,-0.0633570988172026
original,angle_p50,0.0,11,26,specter,-1,-0.13836760096391096,-0.11511419629467616
original,angle_p50,0.0,11,26,specter2,-1,-0.019511842078648065,-0.006484287899856406
original,angle_p50,0.0,11,26,scincl,1,0.04331946885190498,0.06545365089929517
original,angle_p50,0.0,11,26,scibert,0,-0.0019703607764483795,0.019803347138750534
original,angle_p50,0.0,11,26,bert,1,0.01896372435165269,0.04567172038137661
original,angle_p50,0.0,11,26,mpnet,1,0.058915702061711935,0.06705159692626746
original,angle_p50,0.0,11,26,minilm,1,0.053354957155043174,0.06267647521173401
original,angle_p50,0.0,11,26,pubmedbert,1,0.026965502119326402,0.05111135038013574
original,angle_p50,0.0,11,26,biobert,1,0.037550045077459106,0.07182029950835435
original,angle_p50,0.0,11,26,simcse,-1,-0.020105290315426145,-0.002950406687180173
original,angle_p50,0.0,11,27,specter,1,0.050922860345379684,0.06489708618751942
original,angle_p50,0.0,11,27,specter2,1,0.006266452787283269,0.015103757746284837
original,angle_p50,0.0,11,27,scincl,1,0.08473814764111225,0.10087584848482505
original,angle_p50,0.0,11,27,scibert,0,-0.0009192872734735057,0.017289485389244352
original,angle_p50,0.0,11,27,bert,-1,-0.09282898951262883,-0.06970027456079808
original,angle_p50,0.0,11,27,mpnet,1,0.04104129939762685,0.053086333041612976
original,angle_p50,0.0,11,27,minilm,1,0.03613637779607258,0.04581074756619909
original,angle_p50,0.0,11,27,pubmedbert,0,-0.009628728512856488,0.007698841521939573
original,angle_p50,0.0,11,27,biobert,-1,-0.03592146698924836,-0.016123708982749094
original,angle_p50,0.0,11,27,simcse,-1,-0.06862751826497453,-0.042906358825952534
original,angle_p50,0.0,11,28,specter,-1,-0.02333857177412277,-0.003926017238147641
original,angle_p50,0.0,11,28,specter2,1,0.003519455060382347,0.011003868574033309
original,angle_p50,0.0,11,28,scincl,1,0.09517754615366221,0.1101672885692719
original,angle_p50,0.0,11,28,scibert,-1,-0.020353755918469888,-0.004308810146046413
original,angle_p50,0.0,11,28,bert,-1,-0.07078813500748836,-0.053479372380871026
